Date,CPT
2022-02-28,165.11000061035156
2022-03-01,163.8000030517578
2022-03-02,167.11000061035156
2022-03-03,168.08999633789062
2022-03-04,172.3699951171875
2022-03-07,170.17999267578125
2022-03-08,167.4600067138672
2022-03-09,168.99000549316406
2022-03-10,168.9199981689453
2022-03-11,166.1699981689453
2022-03-14,164.58999633789062
2022-03-15,165.75
2022-03-16,166.66000366210938
2022-03-17,167.77000427246094
2022-03-18,164.75
2022-03-21,164.94000244140625
2022-03-22,162.6699981689453
2022-03-23,162.6699981689453
2022-03-24,163.80999755859375
2022-03-25,164.75
2022-03-28,168.8300018310547
2022-03-29,171.3300018310547
2022-03-30,169.61000061035156
2022-03-31,166.1999969482422
2022-04-01,171.60000610351562
2022-04-04,168.99000549316406
2022-04-05,169.91000366210938
2022-04-06,175.2100067138672
2022-04-07,172.61000061035156
2022-04-08,168.2100067138672
2022-04-11,165.74000549316406
2022-04-12,165.22000122070312
2022-04-13,165.0500030517578
2022-04-14,164.6199951171875
2022-04-18,163.0800018310547
2022-04-19,165.74000549316406
2022-04-20,169.02999877929688
2022-04-21,170.6300048828125
2022-04-22,167.07000732421875
2022-04-25,164.1999969482422
2022-04-26,162.92999267578125
2022-04-27,161.7100067138672
2022-04-28,162.14999389648438
2022-04-29,156.88999938964844
2022-05-02,150.36000061035156
2022-05-03,152.61000061035156
2022-05-04,152.7899932861328
2022-05-05,150.5500030517578
2022-05-06,148.80999755859375
2022-05-09,143.3699951171875
2022-05-10,141.55999755859375
2022-05-11,143.5
2022-05-12,144.22000122070312
2022-05-13,145.99000549316406
2022-05-16,144.2100067138672
2022-05-17,143.1699981689453
2022-05-18,138.24000549316406
2022-05-19,138.0
2022-05-20,138.63999938964844
2022-05-23,140.83999633789062
2022-05-24,141.22999572753906
2022-05-25,141.60000610351562
2022-05-26,141.89999389648438
2022-05-27,144.97999572753906
2022-05-31,143.49000549316406
2022-06-01,143.55999755859375
2022-06-02,144.66000366210938
2022-06-03,143.55999755859375
2022-06-06,139.83999633789062
2022-06-07,142.6300048828125
2022-06-08,139.36000061035156
2022-06-09,134.91000366210938
2022-06-10,133.19000244140625
2022-06-13,126.5
2022-06-14,126.0
2022-06-15,128.5500030517578
2022-06-16,127.58000183105469
2022-06-17,128.5800018310547
2022-06-21,130.3699951171875
2022-06-22,131.88999938964844
2022-06-23,134.61000061035156
2022-06-24,135.11000061035156
2022-06-27,135.5500030517578
2022-06-28,134.77999877929688
2022-06-29,133.9199981689453
2022-06-30,134.47999572753906
2022-07-01,136.05999755859375
2022-07-05,133.91000366210938
2022-07-06,134.72999572753906
2022-07-07,134.16000366210938
2022-07-08,132.74000549316406
2022-07-11,132.7899932861328
2022-07-12,132.55999755859375
2022-07-13,132.35000610351562
2022-07-14,130.5
2022-07-15,132.0800018310547
2022-07-18,131.13999938964844
2022-07-19,133.8300018310547
