Date,SWK
2022-02-28,162.6999969482422
2022-03-01,158.0399932861328
2022-03-02,164.30999755859375
2022-03-03,166.14999389648438
2022-03-04,161.66000366210938
2022-03-07,152.55999755859375
2022-03-08,149.08999633789062
2022-03-09,152.66000366210938
2022-03-10,149.60000610351562
2022-03-11,146.4600067138672
2022-03-14,144.99000549316406
2022-03-15,145.75999450683594
2022-03-16,148.39999389648438
2022-03-17,150.2899932861328
2022-03-18,151.1999969482422
2022-03-21,148.22999572753906
2022-03-22,145.9199981689453
2022-03-23,141.27999877929688
2022-03-24,138.74000549316406
2022-03-25,138.32000732421875
2022-03-28,140.99000549316406
2022-03-29,146.3699951171875
2022-03-30,143.0800018310547
2022-03-31,139.7899932861328
2022-04-01,140.89999389648438
2022-04-04,141.47000122070312
2022-04-05,141.60000610351562
2022-04-06,139.75
2022-04-07,139.11000061035156
2022-04-08,140.9199981689453
2022-04-11,141.0
2022-04-12,140.27999877929688
2022-04-13,141.4499969482422
2022-04-14,140.32000732421875
2022-04-18,140.1699981689453
2022-04-19,144.55999755859375
2022-04-20,144.27999877929688
2022-04-21,144.25
2022-04-22,141.49000549316406
2022-04-25,141.47999572753906
2022-04-26,138.17999267578125
2022-04-27,139.13999938964844
2022-04-28,127.12999725341797
2022-04-29,120.1500015258789
2022-05-02,122.80999755859375
2022-05-03,126.23999786376953
2022-05-04,130.88999938964844
2022-05-05,123.61000061035156
2022-05-06,121.02999877929688
2022-05-09,125.66000366210938
2022-05-10,121.48999786376953
2022-05-11,118.70999908447266
2022-05-12,120.47000122070312
2022-05-13,121.61000061035156
2022-05-16,118.44000244140625
2022-05-17,122.94999694824219
2022-05-18,116.1500015258789
2022-05-19,116.05000305175781
2022-05-20,116.3499984741211
2022-05-23,117.72000122070312
2022-05-24,116.04000091552734
2022-05-25,118.5999984741211
2022-05-26,119.19999694824219
2022-05-27,119.68000030517578
2022-05-31,118.69000244140625
2022-06-01,114.69999694824219
2022-06-02,116.4000015258789
2022-06-03,114.52999877929688
2022-06-06,120.31999969482422
2022-06-07,120.29000091552734
2022-06-08,119.44999694824219
2022-06-09,117.91999816894531
2022-06-10,109.95999908447266
2022-06-13,105.81999969482422
2022-06-14,106.7699966430664
2022-06-15,106.55999755859375
2022-06-16,101.69999694824219
2022-06-17,103.25
2022-06-21,102.6500015258789
2022-06-22,102.0
2022-06-23,106.44000244140625
2022-06-24,111.16000366210938
2022-06-27,109.2300033569336
2022-06-28,107.47000122070312
2022-06-29,106.08999633789062
2022-06-30,104.86000061035156
2022-07-01,107.29000091552734
2022-07-05,110.37000274658203
2022-07-06,110.91000366210938
2022-07-07,111.91000366210938
2022-07-08,110.27999877929688
2022-07-11,108.7699966430664
2022-07-12,107.27999877929688
2022-07-13,108.0199966430664
2022-07-14,106.11000061035156
2022-07-15,107.12999725341797
2022-07-18,106.80999755859375
2022-07-19,112.54000091552734
2022-07-20,114.2300033569336
2022-07-21,115.73999786376953
2022-07-22,115.69999694824219
2022-07-25,114.31999969482422
2022-07-26,115.05999755859375
2022-07-27,117.44999694824219
2022-07-28,98.58000183105469
2022-07-29,97.33000183105469
2022-08-01,97.12000274658203
2022-08-02,94.05999755859375
2022-08-03,93.69999694824219
2022-08-04,93.66000366210938
2022-08-05,95.97000122070312
2022-08-08,96.93000030517578
2022-08-09,91.69999694824219
2022-08-10,94.93000030517578
2022-08-11,98.30000305175781
2022-08-12,99.86000061035156
2022-08-15,101.54000091552734
2022-08-16,103.58000183105469
2022-08-17,102.54000091552734
2022-08-18,102.47000122070312
2022-08-19,98.98999786376953
2022-08-22,94.26000213623047
2022-08-23,92.33000183105469
2022-08-24,93.54000091552734
2022-08-25,95.04000091552734
2022-08-26,90.06999969482422
2022-08-29,89.94000244140625
2022-08-30,89.0199966430664
2022-08-31,88.0999984741211
2022-09-01,87.68000030517578
2022-09-02,85.7699966430664
2022-09-06,85.30000305175781
2022-09-07,87.4800033569336
2022-09-08,88.05000305175781
2022-09-09,89.5
2022-09-12,91.75
2022-09-13,87.38999938964844
2022-09-14,86.52999877929688
2022-09-15,85.62000274658203
2022-09-16,85.44999694824219
2022-09-19,86.45999908447266
2022-09-20,84.36000061035156
2022-09-21,83.45999908447266
2022-09-22,80.7699966430664
2022-09-23,78.9800033569336
2022-09-26,78.83999633789062
2022-09-27,77.66999816894531
2022-09-28,79.58999633789062
2022-09-29,77.20999908447266
2022-09-30,75.20999908447266
2022-10-03,79.02999877929688
2022-10-04,83.22000122070312
2022-10-05,82.30000305175781
2022-10-06,81.05999755859375
2022-10-07,77.5199966430664
2022-10-10,77.23999786376953
2022-10-11,76.6500015258789
2022-10-12,75.72000122070312
2022-10-13,77.04000091552734
2022-10-14,76.52999877929688
2022-10-17,76.47000122070312
2022-10-18,77.33000183105469
2022-10-19,74.08999633789062
2022-10-20,72.1500015258789
2022-10-21,73.94999694824219
2022-10-24,75.94000244140625
2022-10-25,78.88999938964844
2022-10-26,79.30000305175781
2022-10-27,75.66999816894531
2022-10-28,78.51000213623047
2022-10-31,78.48999786376953
2022-11-01,76.58999633789062
2022-11-02,73.27999877929688
2022-11-03,71.66000366210938
2022-11-04,74.63999938964844
2022-11-07,76.47000122070312
2022-11-08,76.48999786376953
2022-11-09,73.86000061035156
2022-11-10,81.44999694824219
2022-11-11,84.19999694824219
2022-11-14,81.16999816894531
2022-11-15,85.33999633789062
2022-11-16,81.69999694824219
2022-11-17,80.5
2022-11-18,80.19999694824219
2022-11-21,80.76000213623047
2022-11-22,82.2699966430664
2022-11-23,82.27999877929688
