Date,COR
2022-02-28,142.52999877929688
2022-03-01,141.97000122070312
2022-03-02,143.0
2022-03-03,145.47000122070312
2022-03-04,147.3000030517578
2022-03-07,144.83999633789062
2022-03-08,144.41000366210938
2022-03-09,145.8300018310547
2022-03-10,146.1699981689453
2022-03-11,144.55999755859375
2022-03-14,146.14999389648438
2022-03-15,151.38999938964844
2022-03-16,150.5
2022-03-17,152.1999969482422
2022-03-18,152.0
2022-03-21,153.17999267578125
2022-03-22,152.11000061035156
2022-03-23,151.52999877929688
2022-03-24,152.61000061035156
2022-03-25,154.69000244140625
2022-03-28,154.72999572753906
2022-03-29,155.0399932861328
2022-03-30,155.13999938964844
2022-03-31,154.7100067138672
2022-04-01,156.52000427246094
2022-04-04,154.75
2022-04-05,155.75999450683594
2022-04-06,158.13999938964844
2022-04-07,162.9199981689453
2022-04-08,165.44000244140625
2022-04-11,162.64999389648438
2022-04-12,162.6199951171875
2022-04-13,162.9600067138672
2022-04-14,161.2100067138672
2022-04-18,161.89999389648438
2022-04-19,162.85000610351562
2022-04-20,165.72999572753906
2022-04-21,165.02000427246094
2022-04-22,159.0
2022-04-25,158.47000122070312
2022-04-26,157.25
2022-04-27,157.4600067138672
2022-04-28,157.75
2022-04-29,151.2899932861328
2022-05-02,148.97000122070312
2022-05-03,150.75999450683594
2022-05-04,156.7899932861328
2022-05-05,155.19000244140625
2022-05-06,159.00999450683594
2022-05-09,157.32000732421875
2022-05-10,159.64999389648438
2022-05-11,161.3000030517578
2022-05-12,151.61000061035156
2022-05-13,152.88999938964844
2022-05-16,154.5500030517578
2022-05-17,156.92999267578125
2022-05-18,151.11000061035156
2022-05-19,149.3800048828125
2022-05-20,150.17999267578125
2022-05-23,152.6999969482422
2022-05-24,153.0800018310547
2022-05-25,154.27000427246094
2022-05-26,155.8000030517578
2022-05-27,156.86000061035156
2022-05-31,154.7899932861328
2022-06-01,150.00999450683594
2022-06-02,148.2100067138672
2022-06-03,147.02999877929688
2022-06-06,146.88999938964844
2022-06-07,149.55999755859375
2022-06-08,146.4199981689453
2022-06-09,143.9600067138672
2022-06-10,144.4499969482422
2022-06-13,141.52000427246094
2022-06-14,141.2100067138672
2022-06-15,142.30999755859375
2022-06-16,140.9600067138672
2022-06-17,140.67999267578125
2022-06-21,143.25999450683594
2022-06-22,145.02000427246094
2022-06-23,144.60000610351562
2022-06-24,148.4600067138672
2022-06-27,149.22000122070312
2022-06-28,143.19000244140625
2022-06-29,143.5800018310547
2022-06-30,141.47999572753906
2022-07-01,143.13999938964844
