Date,ALGN
2022-02-28,511.4599914550781
2022-03-01,500.9700012207031
2022-03-02,496.1400146484375
2022-03-03,477.45001220703125
2022-03-04,464.4800109863281
2022-03-07,435.57000732421875
2022-03-08,415.010009765625
2022-03-09,442.04998779296875
2022-03-10,430.0899963378906
2022-03-11,400.6700134277344
2022-03-14,378.0899963378906
2022-03-15,390.7300109863281
2022-03-16,420.6499938964844
2022-03-17,425.4800109863281
2022-03-18,442.8699951171875
2022-03-21,432.4700012207031
2022-03-22,457.0299987792969
2022-03-23,437.05999755859375
2022-03-24,436.260009765625
2022-03-25,430.44000244140625
2022-03-28,434.0
2022-03-29,452.94000244140625
2022-03-30,442.1700134277344
2022-03-31,436.0
2022-04-01,446.4100036621094
2022-04-04,445.3900146484375
2022-04-05,436.79998779296875
2022-04-06,421.739990234375
2022-04-07,422.17999267578125
2022-04-08,420.55999755859375
2022-04-11,409.69000244140625
2022-04-12,406.2300109863281
2022-04-13,416.9100036621094
2022-04-14,409.82000732421875
2022-04-18,405.8800048828125
2022-04-19,424.5400085449219
2022-04-20,419.17999267578125
2022-04-21,383.6300048828125
2022-04-22,360.57000732421875
2022-04-25,368.8599853515625
2022-04-26,361.29998779296875
2022-04-27,360.42999267578125
2022-04-28,304.6600036621094
2022-04-29,289.9100036621094
2022-05-02,308.8800048828125
2022-05-03,301.0199890136719
2022-05-04,310.8900146484375
2022-05-05,283.7200012207031
2022-05-06,280.4100036621094
2022-05-09,268.9599914550781
2022-05-10,258.1300048828125
2022-05-11,256.1099853515625
2022-05-12,259.5299987792969
2022-05-13,275.5199890136719
2022-05-16,274.20001220703125
2022-05-17,280.5899963378906
2022-05-18,269.1099853515625
2022-05-19,273.8900146484375
2022-05-20,275.0400085449219
2022-05-23,278.7099914550781
2022-05-24,270.17999267578125
2022-05-25,276.57000732421875
2022-05-26,274.8299865722656
2022-05-27,284.57000732421875
2022-05-31,277.6400146484375
2022-06-01,265.1700134277344
2022-06-02,284.8699951171875
2022-06-03,273.6000061035156
2022-06-06,269.010009765625
2022-06-07,273.510009765625
2022-06-08,273.1300048828125
2022-06-09,262.54998779296875
2022-06-10,257.05999755859375
2022-06-13,244.00999450683594
2022-06-14,238.0800018310547
2022-06-15,243.77999877929688
2022-06-16,229.82000732421875
2022-06-17,234.47000122070312
2022-06-21,230.30999755859375
2022-06-22,235.08999633789062
2022-06-23,251.1199951171875
2022-06-24,258.75
2022-06-27,250.1699981689453
2022-06-28,241.9199981689453
2022-06-29,242.14999389648438
2022-06-30,236.6699981689453
2022-07-01,247.33999633789062
2022-07-05,254.11000061035156
2022-07-06,249.5399932861328
2022-07-07,259.6400146484375
2022-07-08,261.5199890136719
2022-07-11,249.47999572753906
2022-07-12,248.97999572753906
2022-07-13,249.86000061035156
2022-07-14,247.17999267578125
2022-07-15,254.8800048828125
2022-07-18,254.0800018310547
2022-07-19,267.30999755859375
2022-07-20,274.489990234375
2022-07-21,284.239990234375
2022-07-22,265.8800048828125
2022-07-25,252.07000732421875
2022-07-26,251.86000061035156
2022-07-27,262.6099853515625
2022-07-28,282.25
2022-07-29,280.9700012207031
2022-08-01,282.82000732421875
2022-08-02,281.2300109863281
2022-08-03,286.2099914550781
2022-08-04,293.7300109863281
2022-08-05,293.8900146484375
2022-08-08,293.05999755859375
2022-08-09,273.6400146484375
2022-08-10,287.80999755859375
2022-08-11,287.3800048828125
2022-08-12,289.0
2022-08-15,286.19000244140625
2022-08-16,289.0400085449219
2022-08-17,277.6600036621094
2022-08-18,281.6600036621094
2022-08-19,269.82000732421875
2022-08-22,256.04998779296875
2022-08-23,252.22999572753906
2022-08-24,261.70001220703125
2022-08-25,272.989990234375
2022-08-26,252.4499969482422
2022-08-29,247.99000549316406
2022-08-30,246.67999267578125
2022-08-31,243.6999969482422
2022-09-01,245.74000549316406
2022-09-02,244.50999450683594
2022-09-06,238.99000549316406
2022-09-07,249.94000244140625
2022-09-08,257.29998779296875
2022-09-09,263.1099853515625
2022-09-12,267.7900085449219
2022-09-13,247.05999755859375
2022-09-14,246.74000549316406
2022-09-15,252.0
2022-09-16,249.02000427246094
2022-09-19,244.19000244140625
2022-09-20,232.22000122070312
2022-09-21,226.67999267578125
2022-09-22,217.9499969482422
2022-09-23,222.42999267578125
2022-09-26,219.63999938964844
2022-09-27,214.22000122070312
2022-09-28,212.10000610351562
2022-09-29,211.00999450683594
2022-09-30,207.11000061035156
2022-10-03,215.63999938964844
2022-10-04,229.91000366210938
2022-10-05,228.80999755859375
2022-10-06,222.36000061035156
2022-10-07,211.5800018310547
2022-10-10,207.3800048828125
2022-10-11,208.4499969482422
2022-10-12,208.0500030517578
2022-10-13,212.30999755859375
2022-10-14,201.6300048828125
2022-10-17,211.44000244140625
2022-10-18,210.0
2022-10-19,204.97999572753906
2022-10-20,198.27999877929688
2022-10-21,207.6699981689453
2022-10-24,211.38999938964844
2022-10-25,217.97999572753906
2022-10-26,221.63999938964844
2022-10-27,181.52999877929688
2022-10-28,188.6199951171875
2022-10-31,194.3000030517578
2022-11-01,193.05999755859375
2022-11-02,179.0800018310547
2022-11-03,175.8300018310547
2022-11-04,180.92999267578125
2022-11-07,181.3699951171875
2022-11-08,180.39999389648438
2022-11-09,174.5800018310547
2022-11-10,196.47999572753906
2022-11-11,218.97999572753906
2022-11-14,210.3300018310547
2022-11-15,212.9199981689453
2022-11-16,201.38999938964844
2022-11-17,194.9600067138672
2022-11-18,193.55999755859375
2022-11-21,191.6300048828125
2022-11-22,191.38999938964844
2022-11-23,196.27999877929688
