Date,CTAS
2022-02-28,93.83000183105469
2022-03-01,93.0374984741211
2022-03-02,95.24749755859375
2022-03-03,94.60250091552734
2022-03-04,94.73750305175781
2022-03-07,92.75499725341797
2022-03-08,91.87750244140625
2022-03-09,93.54000091552734
2022-03-10,92.4375
2022-03-11,92.32499694824219
2022-03-14,93.75250244140625
2022-03-15,95.52749633789062
2022-03-16,97.28250122070312
2022-03-17,98.74500274658203
2022-03-18,100.09249877929688
2022-03-21,97.82499694824219
2022-03-22,98.25
2022-03-23,100.33499908447266
2022-03-24,102.60250091552734
2022-03-25,103.33000183105469
2022-03-28,105.80999755859375
2022-03-29,107.87750244140625
2022-03-30,108.00250244140625
2022-03-31,106.34750366210938
2022-04-01,105.97000122070312
2022-04-04,107.30500030517578
2022-04-05,107.8499984741211
2022-04-06,107.7874984741211
2022-04-07,108.55999755859375
2022-04-08,107.27999877929688
2022-04-11,104.50250244140625
2022-04-12,103.94249725341797
2022-04-13,104.84500122070312
2022-04-14,103.4175033569336
2022-04-18,103.29499816894531
2022-04-19,104.73999786376953
2022-04-20,105.36499786376953
2022-04-21,104.72250366210938
2022-04-22,101.99749755859375
2022-04-25,102.48999786376953
2022-04-26,99.90249633789062
2022-04-27,100.25
2022-04-28,102.67500305175781
2022-04-29,99.31500244140625
2022-05-02,97.86499786376953
2022-05-03,97.57749938964844
2022-05-04,100.25749969482422
2022-05-05,96.68499755859375
2022-05-06,95.98500061035156
2022-05-09,93.55750274658203
2022-05-10,94.55750274658203
2022-05-11,92.73500061035156
2022-05-12,91.79000091552734
2022-05-13,93.99250030517578
2022-05-16,94.43250274658203
2022-05-17,95.32749938964844
2022-05-18,89.56500244140625
2022-05-19,89.69999694824219
2022-05-20,90.90499877929688
2022-05-23,92.56999969482422
2022-05-24,92.73500061035156
2022-05-25,91.9124984741211
2022-05-26,95.85749816894531
2022-05-27,99.22750091552734
2022-05-31,99.5824966430664
2022-06-01,97.69999694824219
2022-06-02,99.55750274658203
2022-06-03,99.02249908447266
2022-06-06,99.3550033569336
2022-06-07,100.9000015258789
2022-06-08,99.83999633789062
2022-06-09,97.7300033569336
2022-06-10,93.69000244140625
2022-06-13,89.4625015258789
2022-06-14,88.11000061035156
2022-06-15,88.70999908447266
2022-06-16,87.22250366210938
2022-06-17,86.8375015258789
2022-06-21,89.6050033569336
2022-06-22,89.80500030517578
2022-06-23,91.63249969482422
2022-06-24,94.79499816894531
2022-06-27,94.97750091552734
2022-06-28,92.87249755859375
2022-06-29,93.11250305175781
2022-06-30,93.38249969482422
2022-07-01,94.17749786376953
2022-07-05,93.83999633789062
2022-07-06,95.02999877929688
2022-07-07,95.22250366210938
2022-07-08,95.26750183105469
2022-07-11,95.19249725341797
2022-07-12,94.36499786376953
2022-07-13,94.39250183105469
2022-07-14,96.78250122070312
2022-07-15,97.06999969482422
2022-07-18,94.73249816894531
2022-07-19,96.67250061035156
2022-07-20,98.02249908447266
2022-07-21,99.99749755859375
2022-07-22,99.18250274658203
2022-07-25,99.1675033569336
2022-07-26,99.4574966430664
2022-07-27,102.30750274658203
2022-07-28,105.00499725341797
2022-07-29,106.37249755859375
2022-08-01,105.98249816894531
2022-08-02,105.69000244140625
2022-08-03,106.51750183105469
2022-08-04,106.79750061035156
2022-08-05,105.90249633789062
2022-08-08,106.40249633789062
2022-08-09,106.18250274658203
2022-08-10,107.94499969482422
2022-08-11,107.41000366210938
2022-08-12,108.55999755859375
2022-08-15,109.75749969482422
2022-08-16,109.45249938964844
2022-08-17,109.7750015258789
2022-08-18,110.11000061035156
2022-08-19,109.12999725341797
2022-08-22,107.57250213623047
2022-08-23,107.00250244140625
2022-08-24,107.27999877929688
2022-08-25,108.3324966430664
2022-08-26,105.00499725341797
2022-08-29,104.0
2022-08-30,102.42500305175781
2022-08-31,101.70999908447266
2022-09-01,101.88500213623047
2022-09-02,101.44750213623047
2022-09-06,103.4124984741211
2022-09-07,107.04750061035156
2022-09-08,107.34750366210938
2022-09-09,107.8375015258789
2022-09-12,107.22750091552734
2022-09-13,102.16000366210938
2022-09-14,100.72250366210938
2022-09-15,99.64250183105469
2022-09-16,101.0824966430664
2022-09-19,101.95999908447266
2022-09-20,101.5
2022-09-21,99.95999908447266
2022-09-22,97.19249725341797
2022-09-23,97.47250366210938
2022-09-26,96.7874984741211
2022-09-27,95.88249969482422
2022-09-28,98.63749694824219
2022-09-29,97.38749694824219
2022-09-30,97.04750061035156
2022-10-03,100.20999908447266
2022-10-04,102.75499725341797
2022-10-05,102.98500061035156
2022-10-06,102.65249633789062
2022-10-07,99.60250091552734
2022-10-10,99.42749786376953
2022-10-11,98.375
2022-10-12,96.87000274658203
2022-10-13,98.20500183105469
2022-10-14,95.33999633789062
2022-10-17,98.51249694824219
2022-10-18,100.5199966430664
2022-10-19,100.0625
2022-10-20,98.17500305175781
2022-10-21,99.98500061035156
2022-10-24,101.58000183105469
2022-10-25,102.59750366210938
2022-10-26,102.9749984741211
2022-10-27,103.6624984741211
2022-10-28,106.91000366210938
2022-10-31,106.88749694824219
2022-11-01,107.06749725341797
2022-11-02,103.95249938964844
2022-11-03,102.73500061035156
2022-11-04,102.66000366210938
2022-11-07,104.96499633789062
2022-11-08,107.75499725341797
2022-11-09,105.00749969482422
2022-11-10,111.12750244140625
2022-11-11,110.96499633789062
2022-11-14,110.97000122070312
2022-11-15,111.20249938964844
2022-11-16,111.42749786376953
2022-11-17,110.81999969482422
2022-11-18,112.34249877929688
2022-11-21,112.41500091552734
2022-11-22,113.83000183105469
