Date,VRSN
2022-02-28,213.72000122070312
2022-03-01,216.0399932861328
2022-03-02,217.85000610351562
2022-03-03,218.72999572753906
2022-03-04,217.8699951171875
2022-03-07,214.85000610351562
2022-03-08,206.8300018310547
2022-03-09,209.58999633789062
2022-03-10,208.27999877929688
2022-03-11,204.16000366210938
2022-03-14,199.42999267578125
2022-03-15,204.38999938964844
2022-03-16,206.35000610351562
2022-03-17,212.66000366210938
2022-03-18,220.75
2022-03-21,214.9199981689453
2022-03-22,218.0800018310547
2022-03-23,211.8300018310547
2022-03-24,215.11000061035156
2022-03-25,215.75
2022-03-28,219.74000549316406
2022-03-29,221.3000030517578
2022-03-30,222.1199951171875
2022-03-31,222.4600067138672
2022-04-01,225.27000427246094
2022-04-04,226.5500030517578
2022-04-05,223.39999389648438
2022-04-06,220.0
2022-04-07,220.6999969482422
2022-04-08,218.77999877929688
2022-04-11,213.85000610351562
2022-04-12,213.33999633789062
2022-04-13,215.3300018310547
2022-04-14,215.39999389648438
2022-04-18,213.32000732421875
2022-04-19,218.27999877929688
2022-04-20,219.42999267578125
2022-04-21,212.5500030517578
2022-04-22,205.85000610351562
2022-04-25,211.1699981689453
2022-04-26,205.5800018310547
2022-04-27,203.61000061035156
2022-04-28,208.4199981689453
2022-04-29,178.69000244140625
2022-05-02,175.0
2022-05-03,183.13999938964844
2022-05-04,186.47999572753906
2022-05-05,175.75
2022-05-06,172.0500030517578
2022-05-09,164.86000061035156
2022-05-10,167.69000244140625
2022-05-11,166.94000244140625
2022-05-12,164.41000366210938
2022-05-13,165.11000061035156
2022-05-16,164.5500030517578
2022-05-17,168.52000427246094
2022-05-18,162.52000427246094
2022-05-19,163.4499969482422
2022-05-20,165.55999755859375
2022-05-23,166.7100067138672
2022-05-24,166.6199951171875
2022-05-25,170.97999572753906
2022-05-26,172.7100067138672
2022-05-27,176.32000732421875
2022-05-31,174.5500030517578
2022-06-01,174.3699951171875
2022-06-02,180.3300018310547
2022-06-03,177.6999969482422
2022-06-06,177.75999450683594
2022-06-07,179.0800018310547
2022-06-08,177.2100067138672
2022-06-09,173.61000061035156
2022-06-10,169.10000610351562
2022-06-13,162.6699981689453
2022-06-14,161.17999267578125
2022-06-15,163.8800048828125
2022-06-16,156.50999450683594
2022-06-17,157.5399932861328
2022-06-21,160.67999267578125
2022-06-22,157.77000427246094
2022-06-23,163.88999938964844
2022-06-24,169.27000427246094
2022-06-27,168.85000610351562
2022-06-28,164.25999450683594
2022-06-29,166.25999450683594
2022-06-30,167.3300018310547
2022-07-01,170.80999755859375
2022-07-05,172.3000030517578
2022-07-06,176.05999755859375
2022-07-07,178.6199951171875
2022-07-08,178.6300048828125
2022-07-11,175.83999633789062
2022-07-12,174.42999267578125
2022-07-13,175.27000427246094
2022-07-14,173.99000549316406
2022-07-15,177.47999572753906
2022-07-18,175.6300048828125
2022-07-19,181.82000732421875
2022-07-20,183.5800018310547
2022-07-21,186.75999450683594
2022-07-22,185.3000030517578
2022-07-25,181.44000244140625
2022-07-26,177.27999877929688
2022-07-27,181.38999938964844
2022-07-28,182.5399932861328
2022-07-29,189.16000366210938
2022-08-01,193.1199951171875
2022-08-02,193.11000061035156
2022-08-03,195.5399932861328
2022-08-04,197.1999969482422
2022-08-05,198.6999969482422
2022-08-08,197.64999389648438
2022-08-09,196.24000549316406
2022-08-10,199.85000610351562
2022-08-11,197.27999877929688
2022-08-12,202.08999633789062
2022-08-15,204.3300018310547
2022-08-16,204.0
2022-08-17,204.77999877929688
2022-08-18,206.47000122070312
2022-08-19,201.47000122070312
2022-08-22,196.00999450683594
2022-08-23,194.17999267578125
2022-08-24,193.3800048828125
2022-08-25,194.61000061035156
2022-08-26,187.50999450683594
2022-08-29,184.0800018310547
2022-08-30,181.75
2022-08-31,182.22000122070312
2022-09-01,182.42999267578125
2022-09-02,181.4499969482422
2022-09-06,182.2899932861328
2022-09-07,186.52999877929688
2022-09-08,187.3300018310547
2022-09-09,190.55999755859375
2022-09-12,189.0399932861328
2022-09-13,178.75
2022-09-14,178.33999633789062
2022-09-15,174.6199951171875
2022-09-16,175.02999877929688
2022-09-19,176.27000427246094
2022-09-20,174.72999572753906
2022-09-21,176.72000122070312
2022-09-22,174.63999938964844
2022-09-23,173.6999969482422
2022-09-26,173.3800048828125
2022-09-27,172.52999877929688
2022-09-28,177.2899932861328
2022-09-29,176.1699981689453
2022-09-30,173.6999969482422
2022-10-03,179.3000030517578
2022-10-04,183.4600067138672
2022-10-05,183.8699951171875
2022-10-06,182.0800018310547
2022-10-07,177.86000061035156
2022-10-10,176.99000549316406
2022-10-11,174.88999938964844
2022-10-12,175.67999267578125
2022-10-13,176.85000610351562
2022-10-14,174.0800018310547
2022-10-17,179.5500030517578
2022-10-18,182.88999938964844
2022-10-19,182.10000610351562
2022-10-20,178.6699981689453
2022-10-21,179.14999389648438
2022-10-24,182.1999969482422
2022-10-25,187.82000732421875
2022-10-26,184.99000549316406
2022-10-27,185.7899932861328
2022-10-28,203.3699951171875
2022-10-31,200.4600067138672
2022-11-01,196.97000122070312
2022-11-02,186.61000061035156
2022-11-03,180.19000244140625
2022-11-04,176.69000244140625
2022-11-07,177.8800048828125
2022-11-08,180.72999572753906
2022-11-09,178.32000732421875
2022-11-10,191.1199951171875
2022-11-11,192.38999938964844
2022-11-14,190.4499969482422
2022-11-15,195.52999877929688
2022-11-16,197.5500030517578
2022-11-17,195.5500030517578
2022-11-18,194.25
2022-11-21,195.50999450683594
2022-11-22,197.66000366210938
2022-11-23,199.30999755859375
2022-11-25,198.8699951171875
2022-11-28,197.75
2022-11-29,194.9600067138672
2022-11-30,199.80999755859375
2022-12-01,204.57000732421875
2022-12-02,202.10000610351562
2022-12-05,197.2899932861328
2022-12-06,197.4499969482422
2022-12-07,195.99000549316406
2022-12-08,197.39999389648438
2022-12-09,197.6699981689453
2022-12-12,199.69000244140625
2022-12-13,202.35000610351562
2022-12-14,200.86000061035156
2022-12-15,199.6699981689453
2022-12-16,200.64999389648438
2022-12-19,200.49000549316406
2022-12-20,202.74000549316406
2022-12-21,204.80999755859375
2022-12-22,203.42999267578125
2022-12-23,203.72000122070312
2022-12-27,204.07000732421875
2022-12-28,201.1300048828125
2022-12-29,205.3800048828125
2022-12-30,205.44000244140625
2023-01-03,201.9199981689453
2023-01-04,205.55999755859375
2023-01-05,200.0399932861328
2023-01-06,205.30999755859375
2023-01-09,208.25
2023-01-10,208.0
2023-01-11,211.6699981689453
2023-01-12,212.94000244140625
2023-01-13,213.91000366210938
2023-01-17,214.47999572753906
2023-01-18,212.32000732421875
2023-01-19,211.63999938964844
2023-01-20,214.91000366210938
2023-01-23,215.50999450683594
2023-01-24,215.50999450683594
2023-01-25,214.9499969482422
2023-01-26,217.88999938964844
2023-01-27,218.52000427246094
2023-01-30,216.19000244140625
2023-01-31,218.0500030517578
2023-02-01,220.72999572753906
