Date,HPE
2022-02-28,15.920000076293945
2022-03-01,15.40999984741211
2022-03-02,16.989999771118164
2022-03-03,16.75
2022-03-04,16.420000076293945
2022-03-07,15.770000457763672
2022-03-08,16.09000015258789
2022-03-09,16.3700008392334
2022-03-10,16.360000610351562
2022-03-11,16.549999237060547
2022-03-14,16.31999969482422
2022-03-15,16.530000686645508
2022-03-16,16.760000228881836
2022-03-17,16.719999313354492
2022-03-18,17.040000915527344
2022-03-21,17.049999237060547
2022-03-22,17.1299991607666
2022-03-23,16.969999313354492
2022-03-24,17.049999237060547
2022-03-25,17.540000915527344
2022-03-28,17.3799991607666
2022-03-29,17.559999465942383
2022-03-30,17.280000686645508
2022-03-31,16.709999084472656
2022-04-01,16.290000915527344
2022-04-04,16.31999969482422
2022-04-05,15.800000190734863
2022-04-06,15.569999694824219
2022-04-07,16.0
2022-04-08,16.100000381469727
2022-04-11,15.8100004196167
2022-04-12,15.40999984741211
2022-04-13,15.479999542236328
2022-04-14,15.380000114440918
2022-04-18,15.710000038146973
2022-04-19,16.110000610351562
2022-04-20,16.520000457763672
2022-04-21,16.31999969482422
2022-04-22,15.75
2022-04-25,15.59000015258789
2022-04-26,15.270000457763672
2022-04-27,15.380000114440918
2022-04-28,15.699999809265137
2022-04-29,15.40999984741211
2022-05-02,15.380000114440918
2022-05-03,15.489999771118164
2022-05-04,16.09000015258789
2022-05-05,15.949999809265137
2022-05-06,15.6899995803833
2022-05-09,15.84000015258789
2022-05-10,16.219999313354492
2022-05-11,15.579999923706055
2022-05-12,15.619999885559082
2022-05-13,15.949999809265137
2022-05-16,15.970000267028809
2022-05-17,16.75
2022-05-18,15.760000228881836
2022-05-19,15.039999961853027
2022-05-20,14.15999984741211
2022-05-23,14.510000228881836
2022-05-24,14.5600004196167
2022-05-25,14.90999984741211
2022-05-26,15.09000015258789
2022-05-27,15.789999961853027
2022-05-31,15.600000381469727
2022-06-01,15.779999732971191
2022-06-02,14.960000038146973
2022-06-03,15.079999923706055
2022-06-06,15.220000267028809
2022-06-07,15.34000015258789
2022-06-08,14.970000267028809
2022-06-09,14.680000305175781
2022-06-10,14.229999542236328
2022-06-13,13.699999809265137
2022-06-14,13.670000076293945
2022-06-15,14.069999694824219
2022-06-16,13.350000381469727
2022-06-17,13.420000076293945
2022-06-21,13.899999618530273
2022-06-22,13.729999542236328
2022-06-23,13.619999885559082
2022-06-24,14.0600004196167
2022-06-27,14.130000114440918
2022-06-28,13.75
2022-06-29,13.359999656677246
2022-06-30,13.260000228881836
2022-07-01,12.960000038146973
2022-07-05,12.829999923706055
2022-07-06,12.770000457763672
2022-07-07,13.039999961853027
2022-07-08,13.1899995803833
2022-07-11,13.0600004196167
2022-07-12,13.119999885559082
2022-07-13,13.0
2022-07-14,13.010000228881836
2022-07-15,13.270000457763672
2022-07-18,13.15999984741211
2022-07-19,13.779999732971191
2022-07-20,13.90999984741211
2022-07-21,14.0600004196167
2022-07-22,13.770000457763672
2022-07-25,13.880000114440918
2022-07-26,13.779999732971191
2022-07-27,13.989999771118164
2022-07-28,14.079999923706055
2022-07-29,14.239999771118164
2022-08-01,14.420000076293945
2022-08-02,14.170000076293945
