Date,TPR
2022-02-28,40.900001525878906
2022-03-01,38.810001373291016
2022-03-02,41.349998474121094
2022-03-03,39.79999923706055
2022-03-04,36.45000076293945
2022-03-07,32.119998931884766
2022-03-08,32.43000030517578
2022-03-09,35.880001068115234
2022-03-10,35.56999969482422
2022-03-11,34.349998474121094
2022-03-14,33.7400016784668
2022-03-15,35.150001525878906
2022-03-16,37.060001373291016
2022-03-17,37.43000030517578
2022-03-18,38.40999984741211
2022-03-21,37.880001068115234
2022-03-22,37.849998474121094
2022-03-23,37.529998779296875
2022-03-24,37.650001525878906
2022-03-25,38.45000076293945
2022-03-28,38.400001525878906
2022-03-29,40.15999984741211
2022-03-30,39.16999816894531
2022-03-31,37.150001525878906
2022-04-01,36.11000061035156
2022-04-04,36.209999084472656
2022-04-05,34.459999084472656
2022-04-06,33.59000015258789
2022-04-07,33.29999923706055
2022-04-08,33.25
2022-04-11,33.54999923706055
2022-04-12,34.060001373291016
2022-04-13,34.43000030517578
2022-04-14,33.7400016784668
2022-04-18,33.90999984741211
2022-04-19,35.31999969482422
2022-04-20,34.959999084472656
2022-04-21,34.540000915527344
2022-04-22,32.959999084472656
2022-04-25,33.16999816894531
2022-04-26,32.439998626708984
2022-04-27,32.720001220703125
2022-04-28,33.400001525878906
2022-04-29,32.91999816894531
2022-05-02,33.599998474121094
2022-05-03,32.7400016784668
2022-05-04,33.25
2022-05-05,31.479999542236328
2022-05-06,30.34000015258789
2022-05-09,28.84000015258789
2022-05-10,28.290000915527344
2022-05-11,26.520000457763672
2022-05-12,30.6299991607666
2022-05-13,31.510000228881836
2022-05-16,32.029998779296875
2022-05-17,33.029998779296875
2022-05-18,31.850000381469727
2022-05-19,30.969999313354492
2022-05-20,31.40999984741211
2022-05-23,31.299999237060547
2022-05-24,30.040000915527344
2022-05-25,31.520000457763672
2022-05-26,33.400001525878906
2022-05-27,34.34000015258789
2022-05-31,34.5
2022-06-01,34.13999938964844
2022-06-02,35.15999984741211
2022-06-03,34.880001068115234
2022-06-06,34.619998931884766
2022-06-07,34.88999938964844
2022-06-08,34.810001373291016
2022-06-09,34.34000015258789
2022-06-10,32.70000076293945
2022-06-13,30.93000030517578
2022-06-14,31.600000381469727
2022-06-15,32.70000076293945
2022-06-16,30.520000457763672
2022-06-17,32.099998474121094
2022-06-21,32.150001525878906
2022-06-22,31.110000610351562
2022-06-23,32.09000015258789
2022-06-24,33.33000183105469
2022-06-27,32.54999923706055
2022-06-28,32.220001220703125
2022-06-29,31.209999084472656
2022-06-30,30.520000457763672
2022-07-01,30.81999969482422
