Date,BG
2022-02-28,104.55000305175781
2022-03-01,105.87000274658203
2022-03-02,107.7699966430664
2022-03-03,109.20999908447266
2022-03-04,108.31999969482422
2022-03-07,108.75
2022-03-08,106.30999755859375
2022-03-09,107.4800033569336
2022-03-10,109.75
2022-03-11,109.93000030517578
2022-03-14,108.1500015258789
2022-03-15,108.05999755859375
2022-03-16,104.05999755859375
2022-03-17,105.38999938964844
2022-03-18,104.91000366210938
2022-03-21,110.08000183105469
2022-03-22,110.33000183105469
2022-03-23,111.95999908447266
2022-03-24,113.98999786376953
2022-03-25,117.20999908447266
2022-03-28,113.86000061035156
2022-03-29,108.08000183105469
2022-03-30,109.70999908447266
2022-03-31,110.80999755859375
2022-04-01,112.77999877929688
2022-04-04,111.44999694824219
2022-04-05,111.88999938964844
2022-04-06,113.16000366210938
2022-04-07,116.73999786376953
2022-04-08,118.25
2022-04-11,117.66999816894531
2022-04-12,119.30000305175781
2022-04-13,120.95999908447266
2022-04-14,123.95999908447266
2022-04-18,126.76000213623047
2022-04-19,123.23999786376953
2022-04-20,126.0
2022-04-21,122.33000183105469
2022-04-22,117.94000244140625
2022-04-25,116.38999938964844
2022-04-26,114.86000061035156
2022-04-27,118.95999908447266
2022-04-28,116.83000183105469
2022-04-29,113.12000274658203
2022-05-02,115.23999786376953
2022-05-03,116.7699966430664
2022-05-04,118.68000030517578
2022-05-05,114.81999969482422
2022-05-06,115.2300033569336
2022-05-09,107.83000183105469
2022-05-10,110.33000183105469
2022-05-11,109.7699966430664
2022-05-12,109.16999816894531
2022-05-13,109.58000183105469
2022-05-16,112.56999969482422
2022-05-17,116.48999786376953
2022-05-18,111.29000091552734
2022-05-19,110.3499984741211
2022-05-20,109.37999725341797
2022-05-23,113.44000244140625
2022-05-24,115.45999908447266
2022-05-25,115.7300033569336
2022-05-26,114.93000030517578
2022-05-27,114.72000122070312
2022-05-31,118.31999969482422
2022-06-01,114.0999984741211
2022-06-02,115.19999694824219
2022-06-03,112.98999786376953
2022-06-06,111.9000015258789
2022-06-07,112.80999755859375
2022-06-08,112.52999877929688
2022-06-09,110.19000244140625
2022-06-10,106.95999908447266
2022-06-13,102.44000244140625
2022-06-14,104.3499984741211
2022-06-15,103.91999816894531
2022-06-16,100.23999786376953
2022-06-17,97.5999984741211
2022-06-21,98.70999908447266
2022-06-22,93.05999755859375
2022-06-23,87.38999938964844
2022-06-24,88.38999938964844
2022-06-27,90.91999816894531
2022-06-28,90.70999908447266
2022-06-29,91.4800033569336
2022-06-30,90.69000244140625
2022-07-01,90.94999694824219
2022-07-05,86.62000274658203
