Date,ABT
2022-02-28,120.62000274658203
2022-03-01,118.16999816894531
2022-03-02,120.36000061035156
2022-03-03,120.97000122070312
2022-03-04,121.41000366210938
2022-03-07,118.86000061035156
2022-03-08,116.11000061035156
2022-03-09,118.38999938964844
2022-03-10,117.0
2022-03-11,114.0199966430664
2022-03-14,115.5199966430664
2022-03-15,117.4800033569336
2022-03-16,119.4800033569336
2022-03-17,121.19999694824219
2022-03-18,122.44999694824219
2022-03-21,121.76000213623047
2022-03-22,121.88999938964844
2022-03-23,116.91999816894531
2022-03-24,117.81999969482422
2022-03-25,118.94999694824219
2022-03-28,119.98999786376953
2022-03-29,120.19000244140625
2022-03-30,120.37999725341797
2022-03-31,118.36000061035156
2022-04-01,118.58000183105469
2022-04-04,118.87999725341797
2022-04-05,119.4800033569336
2022-04-06,119.94000244140625
2022-04-07,123.37000274658203
2022-04-08,123.25
2022-04-11,120.04000091552734
2022-04-12,118.38999938964844
2022-04-13,119.4800033569336
2022-04-14,117.69000244140625
2022-04-18,116.29000091552734
2022-04-19,119.9800033569336
2022-04-20,122.63999938964844
2022-04-21,123.37000274658203
2022-04-22,119.63999938964844
2022-04-25,120.01000213623047
2022-04-26,116.97000122070312
2022-04-27,116.72000122070312
2022-04-28,118.01000213623047
2022-04-29,113.5
2022-05-02,112.83000183105469
2022-05-03,112.43000030517578
2022-05-04,115.69999694824219
2022-05-05,113.01000213623047
2022-05-06,112.2699966430664
2022-05-09,107.38999938964844
2022-05-10,106.75
2022-05-11,105.83999633789062
2022-05-12,107.97000122070312
2022-05-13,109.87999725341797
2022-05-16,109.70999908447266
2022-05-17,114.54000091552734
2022-05-18,112.73999786376953
2022-05-19,112.44000244140625
2022-05-20,113.23999786376953
2022-05-23,115.02999877929688
2022-05-24,113.7699966430664
2022-05-25,113.19000244140625
2022-05-26,114.87000274658203
2022-05-27,116.69000244140625
2022-05-31,117.45999908447266
2022-06-01,115.08000183105469
2022-06-02,117.51000213623047
2022-06-03,116.56999969482422
2022-06-06,116.41999816894531
2022-06-07,116.87999725341797
2022-06-08,114.69000244140625
2022-06-09,112.70999908447266
2022-06-10,109.62999725341797
2022-06-13,105.91000366210938
2022-06-14,102.94000244140625
2022-06-15,104.80000305175781
2022-06-16,102.06999969482422
2022-06-17,102.52999877929688
2022-06-21,104.41000366210938
2022-06-22,105.44000244140625
2022-06-23,106.20999908447266
2022-06-24,109.44999694824219
2022-06-27,109.08000183105469
2022-06-28,106.97000122070312
2022-06-29,109.0999984741211
2022-06-30,108.6500015258789
2022-07-01,110.22000122070312
2022-07-05,109.30000305175781
2022-07-06,108.69000244140625
2022-07-07,109.48999786376953
2022-07-08,109.26000213623047
2022-07-11,108.88999938964844
2022-07-12,108.30000305175781
2022-07-13,106.20999908447266
2022-07-14,105.70999908447266
2022-07-15,108.81999969482422
2022-07-18,107.0199966430664
2022-07-19,109.93000030517578
2022-07-20,108.2300033569336
2022-07-21,110.69000244140625
2022-07-22,109.19999694824219
2022-07-25,108.5
2022-07-26,109.08999633789062
2022-07-27,109.98999786376953
2022-07-28,110.36000061035156
2022-07-29,108.83999633789062
2022-08-01,109.5199966430664
2022-08-02,108.63999938964844
2022-08-03,109.61000061035156
2022-08-04,109.72000122070312
2022-08-05,109.25
2022-08-08,109.0
2022-08-09,107.91000366210938
2022-08-10,110.2699966430664
2022-08-11,110.48999786376953
2022-08-12,111.4800033569336
2022-08-15,111.9000015258789
2022-08-16,112.02999877929688
2022-08-17,110.55000305175781
2022-08-18,109.95999908447266
2022-08-19,110.05999755859375
2022-08-22,107.44999694824219
2022-08-23,106.01000213623047
2022-08-24,105.44000244140625
2022-08-25,105.88999938964844
2022-08-26,101.9000015258789
2022-08-29,101.83999633789062
2022-08-30,102.19999694824219
2022-08-31,102.6500015258789
2022-09-01,104.83999633789062
2022-09-02,102.5
2022-09-06,102.70999908447266
2022-09-07,104.69999694824219
2022-09-08,106.98999786376953
2022-09-09,108.4800033569336
2022-09-12,109.29000091552734
2022-09-13,105.83999633789062
2022-09-14,105.77999877929688
2022-09-15,105.05999755859375
2022-09-16,104.0
2022-09-19,104.08999633789062
2022-09-20,102.30999755859375
2022-09-21,100.6500015258789
2022-09-22,101.06999969482422
2022-09-23,100.68000030517578
2022-09-26,99.83999633789062
2022-09-27,98.33000183105469
2022-09-28,98.72000122070312
2022-09-29,98.29000091552734
2022-09-30,96.76000213623047
2022-10-03,99.5199966430664
2022-10-04,103.08000183105469
2022-10-05,103.37999725341797
2022-10-06,102.44999694824219
2022-10-07,101.79000091552734
2022-10-10,101.12999725341797
2022-10-11,101.75
2022-10-12,100.08000183105469
2022-10-13,102.47000122070312
2022-10-14,100.91000366210938
2022-10-17,103.5199966430664
2022-10-18,104.9800033569336
2022-10-19,98.11000061035156
2022-10-20,95.20999908447266
2022-10-21,95.05999755859375
2022-10-24,98.29000091552734
2022-10-25,97.94999694824219
2022-10-26,98.41999816894531
2022-10-27,96.93000030517578
2022-10-28,99.48999786376953
2022-10-31,98.94000244140625
2022-11-01,99.30999755859375
2022-11-02,98.04000091552734
2022-11-03,96.44999694824219
2022-11-04,98.06999969482422
2022-11-07,99.5
2022-11-08,99.63999938964844
2022-11-09,99.45999908447266
2022-11-10,104.2300033569336
2022-11-11,104.08999633789062
2022-11-14,102.01000213623047
2022-11-15,103.13999938964844
2022-11-16,103.61000061035156
2022-11-17,102.55999755859375
2022-11-18,103.87000274658203
2022-11-21,103.87999725341797
2022-11-22,104.87000274658203
2022-11-23,106.0199966430664
2022-11-25,106.95999908447266
