Date,BX
2022-02-28,127.47000122070312
2022-03-01,123.76000213623047
2022-03-02,130.22000122070312
2022-03-03,125.8499984741211
2022-03-04,121.16000366210938
2022-03-07,109.04000091552734
2022-03-08,108.62000274658203
2022-03-09,116.13999938964844
2022-03-10,116.86000061035156
2022-03-11,116.05000305175781
2022-03-14,108.76000213623047
2022-03-15,109.72000122070312
2022-03-16,116.05000305175781
2022-03-17,119.93000030517578
2022-03-18,122.8499984741211
2022-03-21,122.62000274658203
2022-03-22,126.12999725341797
2022-03-23,123.77999877929688
2022-03-24,125.69999694824219
2022-03-25,123.80000305175781
2022-03-28,124.52999877929688
2022-03-29,131.77999877929688
2022-03-30,127.2300033569336
2022-03-31,126.94000244140625
2022-04-01,128.1300048828125
2022-04-04,130.57000732421875
2022-04-05,123.61000061035156
2022-04-06,118.23999786376953
2022-04-07,115.63999938964844
2022-04-08,114.97000122070312
2022-04-11,112.80000305175781
2022-04-12,113.43000030517578
2022-04-13,116.44000244140625
2022-04-14,112.9800033569336
2022-04-18,111.98999786376953
2022-04-19,117.4800033569336
2022-04-20,120.38999938964844
2022-04-21,112.62000274658203
2022-04-22,110.58999633789062
2022-04-25,112.5199966430664
2022-04-26,107.27999877929688
2022-04-27,107.47000122070312
2022-04-28,108.29000091552734
2022-04-29,101.56999969482422
2022-05-02,105.80000305175781
2022-05-03,107.62000274658203
2022-05-04,111.5999984741211
2022-05-05,104.95999908447266
2022-05-06,101.48999786376953
2022-05-09,96.66000366210938
2022-05-10,99.0199966430664
2022-05-11,96.69999694824219
2022-05-12,99.41999816894531
2022-05-13,107.81999969482422
2022-05-16,104.69999694824219
2022-05-17,107.7300033569336
2022-05-18,103.54000091552734
2022-05-19,104.58000183105469
2022-05-20,107.56999969482422
2022-05-23,108.44999694824219
2022-05-24,107.9000015258789
2022-05-25,111.05000305175781
2022-05-26,118.30000305175781
2022-05-27,121.04000091552734
2022-05-31,117.79000091552734
2022-06-01,116.08999633789062
2022-06-02,121.70999908447266
2022-06-03,121.3499984741211
2022-06-06,118.80000305175781
2022-06-07,119.83000183105469
2022-06-08,116.4000015258789
2022-06-09,113.8499984741211
2022-06-10,107.62999725341797
2022-06-13,97.5199966430664
2022-06-14,95.41999816894531
2022-06-15,96.80000305175781
2022-06-16,89.68000030517578
2022-06-17,90.25
2022-06-21,91.2300033569336
2022-06-22,91.26000213623047
2022-06-23,93.3499984741211
2022-06-24,98.87000274658203
2022-06-27,97.87000274658203
2022-06-28,94.83999633789062
2022-06-29,91.06999969482422
2022-06-30,91.2300033569336
2022-07-01,92.83000183105469
2022-07-05,94.02999877929688
2022-07-06,93.97000122070312
2022-07-07,97.36000061035156
2022-07-08,96.13999938964844
2022-07-11,95.20999908447266
2022-07-12,94.0199966430664
2022-07-13,91.4000015258789
2022-07-14,89.62999725341797
2022-07-15,93.0
2022-07-18,93.1500015258789
2022-07-19,98.97000122070312
2022-07-20,101.0999984741211
2022-07-21,97.87999725341797
2022-07-22,96.43000030517578
2022-07-25,97.26000213623047
2022-07-26,93.5999984741211
2022-07-27,97.72000122070312
2022-07-28,102.4800033569336
2022-07-29,102.06999969482422
2022-08-01,103.23999786376953
2022-08-02,100.56999969482422
2022-08-03,101.08999633789062
2022-08-04,102.83999633789062
2022-08-05,101.19999694824219
2022-08-08,102.70999908447266
2022-08-09,100.81999969482422
2022-08-10,107.94000244140625
2022-08-11,106.01000213623047
2022-08-12,108.79000091552734
2022-08-15,108.68000030517578
2022-08-16,107.58000183105469
2022-08-17,106.5
2022-08-18,107.33999633789062
2022-08-19,103.30000305175781
2022-08-22,101.0
2022-08-23,102.3499984741211
2022-08-24,102.76000213623047
2022-08-25,105.44000244140625
2022-08-26,98.55000305175781
2022-08-29,96.19000244140625
2022-08-30,95.62000274658203
2022-08-31,93.94000244140625
2022-09-01,94.1500015258789
2022-09-02,93.81999969482422
2022-09-06,94.08999633789062
2022-09-07,96.33999633789062
2022-09-08,96.9000015258789
2022-09-09,99.66999816894531
2022-09-12,100.81999969482422
2022-09-13,94.37000274658203
2022-09-14,95.36000061035156
2022-09-15,94.69999694824219
2022-09-16,92.18000030517578
2022-09-19,95.1500015258789
2022-09-20,90.94000244140625
2022-09-21,88.7699966430664
2022-09-22,85.4000015258789
2022-09-23,83.5
2022-09-26,83.16000366210938
2022-09-27,81.94999694824219
2022-09-28,86.01000213623047
2022-09-29,84.45999908447266
2022-09-30,83.69999694824219
2022-10-03,86.48999786376953
2022-10-04,93.5199966430664
2022-10-05,92.04000091552734
2022-10-06,91.61000061035156
2022-10-07,86.37999725341797
2022-10-10,85.5
2022-10-11,83.44000244140625
2022-10-12,85.54000091552734
2022-10-13,86.30999755859375
2022-10-14,84.12000274658203
2022-10-17,88.2300033569336
2022-10-18,90.12000274658203
2022-10-19,87.73999786376953
2022-10-20,84.04000091552734
2022-10-21,85.43000030517578
2022-10-24,86.2699966430664
2022-10-25,91.55000305175781
2022-10-26,92.73999786376953
2022-10-27,93.44999694824219
2022-10-28,93.18000030517578
2022-10-31,91.13999938964844
2022-11-01,92.94000244140625
2022-11-02,92.3499984741211
2022-11-03,88.02999877929688
2022-11-04,90.04000091552734
2022-11-07,92.18000030517578
2022-11-08,92.94999694824219
2022-11-09,89.98999786376953
2022-11-10,103.5199966430664
2022-11-11,108.7699966430664
2022-11-14,101.41000366210938
2022-11-15,97.61000061035156
2022-11-16,94.04000091552734
2022-11-17,90.51000213623047
2022-11-18,91.68000030517578
2022-11-21,89.8499984741211
2022-11-22,87.80000305175781
