Date,DUK
2022-02-28,100.41000366210938
2022-03-01,99.83000183105469
2022-03-02,100.79000091552734
2022-03-03,102.63999938964844
2022-03-04,105.26000213623047
2022-03-07,106.69999694824219
2022-03-08,105.47000122070312
2022-03-09,105.33000183105469
2022-03-10,106.19000244140625
2022-03-11,106.13999938964844
2022-03-14,106.30000305175781
2022-03-15,106.69000244140625
2022-03-16,105.97000122070312
2022-03-17,106.5
2022-03-18,105.05000305175781
2022-03-21,106.16000366210938
2022-03-22,106.19000244140625
2022-03-23,106.83000183105469
2022-03-24,107.47000122070312
2022-03-25,109.12999725341797
2022-03-28,110.04000091552734
2022-03-29,110.97000122070312
2022-03-30,111.4800033569336
2022-03-31,111.66000366210938
2022-04-01,112.81999969482422
2022-04-04,111.79000091552734
2022-04-05,112.5199966430664
2022-04-06,115.1500015258789
2022-04-07,114.86000061035156
2022-04-08,115.3499984741211
2022-04-11,114.2300033569336
2022-04-12,115.41999816894531
2022-04-13,115.11000061035156
2022-04-14,114.8499984741211
2022-04-18,114.23999786376953
2022-04-19,114.47000122070312
2022-04-20,115.43000030517578
2022-04-21,115.27999877929688
2022-04-22,114.27999877929688
2022-04-25,113.7699966430664
2022-04-26,113.5
2022-04-27,113.08999633789062
2022-04-28,113.80000305175781
2022-04-29,110.16000366210938
2022-05-02,108.69999694824219
2022-05-03,108.36000061035156
2022-05-04,110.51000213623047
2022-05-05,110.05000305175781
2022-05-06,111.31999969482422
2022-05-09,110.80000305175781
2022-05-10,108.91000366210938
2022-05-11,109.91000366210938
2022-05-12,108.8499984741211
2022-05-13,109.30000305175781
2022-05-16,110.02999877929688
2022-05-17,109.3499984741211
2022-05-18,108.9000015258789
2022-05-19,108.94999694824219
2022-05-20,109.83000183105469
2022-05-23,110.80999755859375
2022-05-24,112.9800033569336
2022-05-25,112.38999938964844
2022-05-26,113.2300033569336
2022-05-27,114.4000015258789
2022-05-31,112.5199966430664
2022-06-01,111.66999816894531
2022-06-02,111.79000091552734
2022-06-03,111.16000366210938
2022-06-06,111.11000061035156
2022-06-07,112.33999633789062
2022-06-08,110.48999786376953
2022-06-09,107.7300033569336
2022-06-10,107.7699966430664
2022-06-13,103.43000030517578
2022-06-14,100.94000244140625
2022-06-15,100.18000030517578
2022-06-16,99.54000091552734
2022-06-17,97.81999969482422
2022-06-21,99.20999908447266
2022-06-22,100.16000366210938
2022-06-23,103.41000366210938
2022-06-24,104.52999877929688
2022-06-27,105.19999694824219
2022-06-28,105.69999694824219
2022-06-29,106.01000213623047
2022-06-30,107.20999908447266
2022-07-01,109.62000274658203
2022-07-05,106.33999633789062
2022-07-06,107.58000183105469
2022-07-07,106.83000183105469
2022-07-08,105.91000366210938
2022-07-11,107.95999908447266
2022-07-12,107.66999816894531
2022-07-13,107.23999786376953
2022-07-14,106.94999694824219
2022-07-15,107.43000030517578
2022-07-18,105.43000030517578
2022-07-19,105.54000091552734
