Date,OXY
2022-02-28,43.72999954223633
2022-03-01,46.790000915527344
2022-03-02,48.369998931884766
2022-03-03,47.75
2022-03-04,56.150001525878906
2022-03-07,55.380001068115234
2022-03-08,54.599998474121094
2022-03-09,57.5
2022-03-10,58.130001068115234
2022-03-11,57.95000076293945
2022-03-14,55.59000015258789
2022-03-15,54.529998779296875
2022-03-16,52.9900016784668
2022-03-17,58.0099983215332
2022-03-18,56.2400016784668
2022-03-21,60.959999084472656
2022-03-22,59.63999938964844
2022-03-23,59.84000015258789
2022-03-24,57.75
2022-03-25,58.709999084472656
2022-03-28,56.63999938964844
2022-03-29,56.790000915527344
2022-03-30,57.47999954223633
2022-03-31,56.7400016784668
2022-04-01,58.11000061035156
2022-04-04,57.790000915527344
2022-04-05,55.720001220703125
2022-04-06,56.099998474121094
2022-04-07,57.68000030517578
2022-04-08,61.79999923706055
2022-04-11,57.91999816894531
2022-04-12,59.13999938964844
2022-04-13,59.619998931884766
2022-04-14,59.34000015258789
2022-04-18,61.369998931884766
2022-04-19,60.380001068115234
2022-04-20,61.470001220703125
2022-04-21,59.20000076293945
2022-04-22,56.619998931884766
2022-04-25,54.91999816894531
2022-04-26,54.81999969482422
2022-04-27,55.59000015258789
2022-04-28,57.029998779296875
2022-04-29,55.09000015258789
2022-05-02,58.29999923706055
2022-05-03,59.2400016784668
2022-05-04,61.56999969482422
2022-05-05,62.290000915527344
2022-05-06,64.94000244140625
2022-05-09,57.84000015258789
2022-05-10,59.40999984741211
2022-05-11,60.099998474121094
2022-05-12,59.220001220703125
2022-05-13,64.08000183105469
2022-05-16,67.72000122070312
2022-05-17,67.94000244140625
2022-05-18,64.30000305175781
2022-05-19,63.959999084472656
2022-05-20,63.2599983215332
2022-05-23,65.41999816894531
2022-05-24,65.06999969482422
2022-05-25,66.38999938964844
2022-05-26,68.66000366210938
2022-05-27,70.86000061035156
2022-05-31,69.30999755859375
2022-06-01,70.41999816894531
2022-06-02,69.30000305175781
2022-06-03,70.29000091552734
2022-06-06,69.61000061035156
2022-06-07,70.55000305175781
2022-06-08,69.02999877929688
2022-06-09,65.18000030517578
2022-06-10,63.869998931884766
2022-06-13,59.83000183105469
2022-06-14,62.09000015258789
2022-06-15,60.279998779296875
2022-06-16,56.810001373291016
2022-06-17,55.68000030517578
2022-06-21,57.869998931884766
2022-06-22,55.77000045776367
2022-06-23,56.09000015258789
2022-06-24,57.52000045776367
2022-06-27,58.900001525878906
2022-06-28,61.709999084472656
2022-06-29,59.099998474121094
2022-06-30,58.880001068115234
2022-07-01,60.439998626708984
2022-07-05,59.11000061035156
2022-07-06,59.11000061035156
2022-07-07,61.470001220703125
2022-07-08,60.66999816894531
2022-07-11,59.52000045776367
2022-07-12,57.369998931884766
2022-07-13,58.0099983215332
2022-07-14,57.22999954223633
2022-07-15,58.709999084472656
2022-07-18,60.04999923706055
2022-07-19,62.81999969482422
2022-07-20,63.54999923706055
2022-07-21,62.0
2022-07-22,61.060001373291016
2022-07-25,64.41000366210938
2022-07-26,62.06999969482422
2022-07-27,62.779998779296875
2022-07-28,62.63999938964844
2022-07-29,65.75
2022-08-01,65.2300033569336
2022-08-02,65.05999755859375
2022-08-03,60.9900016784668
2022-08-04,57.459999084472656
2022-08-05,59.0099983215332
2022-08-08,60.040000915527344
2022-08-09,62.40999984741211
2022-08-10,62.86000061035156
2022-08-11,65.69000244140625
2022-08-12,65.7300033569336
2022-08-15,64.33999633789062
2022-08-16,63.5099983215332
2022-08-17,62.970001220703125
2022-08-18,64.87999725341797
2022-08-19,71.29000091552734
2022-08-22,69.02999877929688
2022-08-23,73.79000091552734
2022-08-24,74.91000366210938
2022-08-25,74.4800033569336
2022-08-26,73.55000305175781
2022-08-29,75.26000213623047
2022-08-30,72.01000213623047
2022-08-31,71.0
2022-09-01,68.4000015258789
2022-09-02,68.7699966430664
2022-09-06,66.87999725341797
2022-09-07,65.43000030517578
2022-09-08,64.61000061035156
2022-09-09,65.61000061035156
2022-09-12,66.80000305175781
2022-09-13,65.33999633789062
2022-09-14,67.19999694824219
2022-09-15,65.08999633789062
2022-09-16,64.41000366210938
2022-09-19,64.68000030517578
2022-09-20,64.27999877929688
2022-09-21,62.68000030517578
2022-09-22,61.880001068115234
2022-09-23,58.72999954223633
2022-09-26,57.880001068115234
2022-09-27,58.529998779296875
2022-09-28,61.40999984741211
2022-09-29,62.11000061035156
2022-09-30,61.45000076293945
2022-10-03,64.05999755859375
2022-10-04,66.16999816894531
2022-10-05,67.73999786376953
2022-10-06,70.5
2022-10-07,69.80000305175781
2022-10-10,65.62999725341797
2022-10-11,64.02999877929688
2022-10-12,65.11000061035156
2022-10-13,68.0
2022-10-14,66.68000030517578
2022-10-17,67.36000061035156
2022-10-18,67.77999877929688
2022-10-19,68.45999908447266
2022-10-20,68.8499984741211
2022-10-21,71.26000213623047
2022-10-24,70.83000183105469
2022-10-25,71.08999633789062
2022-10-26,72.5199966430664
2022-10-27,71.87000274658203
2022-10-28,71.83999633789062
2022-10-31,72.5999984741211
2022-11-01,73.80000305175781
2022-11-02,71.0999984741211
2022-11-03,72.16000366210938
2022-11-04,73.2699966430664
2022-11-07,75.97000122070312
2022-11-08,74.83000183105469
2022-11-09,67.93000030517578
2022-11-10,70.4800033569336
2022-11-11,74.33000183105469
2022-11-14,73.27999877929688
2022-11-15,74.43000030517578
2022-11-16,71.93000030517578
2022-11-17,71.45999908447266
2022-11-18,71.25
2022-11-21,69.58999633789062
2022-11-22,72.7699966430664
2022-11-23,71.12000274658203
