Date,AFL
2022-02-28,61.09000015258789
2022-03-01,58.47999954223633
2022-03-02,60.13999938964844
2022-03-03,61.15999984741211
2022-03-04,60.099998474121094
2022-03-07,59.029998779296875
2022-03-08,59.22999954223633
2022-03-09,60.38999938964844
2022-03-10,59.959999084472656
2022-03-11,59.959999084472656
2022-03-14,60.84000015258789
2022-03-15,61.2599983215332
2022-03-16,62.619998931884766
2022-03-17,62.900001525878906
2022-03-18,62.95000076293945
2022-03-21,63.400001525878906
2022-03-22,64.45999908447266
2022-03-23,63.7400016784668
2022-03-24,64.48999786376953
2022-03-25,65.52999877929688
2022-03-28,65.27999877929688
2022-03-29,65.31999969482422
2022-03-30,65.5
2022-03-31,64.38999938964844
2022-04-01,64.83999633789062
2022-04-04,63.61000061035156
2022-04-05,63.77000045776367
2022-04-06,65.06999969482422
2022-04-07,65.16999816894531
2022-04-08,65.5199966430664
2022-04-11,65.19000244140625
2022-04-12,64.88999938964844
2022-04-13,64.98999786376953
2022-04-14,65.33000183105469
2022-04-18,65.5199966430664
2022-04-19,65.48999786376953
2022-04-20,66.62000274658203
2022-04-21,65.5
2022-04-22,63.369998931884766
2022-04-25,62.400001525878906
2022-04-26,60.77000045776367
2022-04-27,60.81999969482422
2022-04-28,59.2599983215332
2022-04-29,57.279998779296875
2022-05-02,57.29999923706055
2022-05-03,57.91999816894531
2022-05-04,59.68000030517578
2022-05-05,58.029998779296875
2022-05-06,58.22999954223633
2022-05-09,57.560001373291016
2022-05-10,57.34000015258789
2022-05-11,56.880001068115234
2022-05-12,56.11000061035156
2022-05-13,56.279998779296875
2022-05-16,56.189998626708984
2022-05-17,57.2400016784668
2022-05-18,56.31999969482422
2022-05-19,55.599998474121094
2022-05-20,55.09000015258789
2022-05-23,56.529998779296875
2022-05-24,57.08000183105469
2022-05-25,57.79999923706055
2022-05-26,59.119998931884766
2022-05-27,60.40999984741211
2022-05-31,60.56999969482422
2022-06-01,59.810001373291016
2022-06-02,59.689998626708984
2022-06-03,58.81999969482422
2022-06-06,59.15999984741211
2022-06-07,59.630001068115234
2022-06-08,58.720001220703125
2022-06-09,57.43000030517578
2022-06-10,55.630001068115234
2022-06-13,53.7400016784668
2022-06-14,53.709999084472656
2022-06-15,54.22999954223633
2022-06-16,53.0099983215332
2022-06-17,53.04999923706055
2022-06-21,54.18000030517578
2022-06-22,53.959999084472656
2022-06-23,53.650001525878906
2022-06-24,55.790000915527344
2022-06-27,55.88999938964844
2022-06-28,55.900001525878906
2022-06-29,55.459999084472656
2022-06-30,55.33000183105469
2022-07-01,56.2400016784668
2022-07-05,55.52000045776367
2022-07-06,55.939998626708984
2022-07-07,56.349998474121094
2022-07-08,56.25
2022-07-11,56.040000915527344
2022-07-12,55.7400016784668
2022-07-13,54.59000015258789
2022-07-14,53.45000076293945
2022-07-15,54.310001373291016
2022-07-18,54.16999816894531
2022-07-19,54.970001220703125
2022-07-20,54.70000076293945
2022-07-21,55.029998779296875
2022-07-22,55.279998779296875
2022-07-25,56.060001373291016
2022-07-26,55.63999938964844
2022-07-27,56.0
2022-07-28,56.41999816894531
2022-07-29,57.29999923706055
2022-08-01,56.709999084472656
2022-08-02,58.7400016784668
2022-08-03,59.0099983215332
2022-08-04,59.16999816894531
2022-08-05,59.43000030517578
2022-08-08,59.58000183105469
2022-08-09,60.41999816894531
2022-08-10,61.709999084472656
2022-08-11,62.63999938964844
2022-08-12,64.02999877929688
2022-08-15,64.06999969482422
2022-08-16,63.9900016784668
2022-08-17,63.900001525878906
2022-08-18,64.55000305175781
2022-08-19,63.68000030517578
2022-08-22,62.209999084472656
2022-08-23,61.59000015258789
2022-08-24,61.54999923706055
2022-08-25,62.2400016784668
2022-08-26,60.869998931884766
2022-08-29,60.81999969482422
2022-08-30,60.130001068115234
2022-08-31,59.41999816894531
2022-09-01,59.52000045776367
2022-09-02,59.400001525878906
2022-09-06,59.529998779296875
2022-09-07,60.86000061035156
2022-09-08,61.66999816894531
2022-09-09,61.880001068115234
2022-09-12,62.5
2022-09-13,60.790000915527344
2022-09-14,60.130001068115234
2022-09-15,59.560001373291016
2022-09-16,59.5
2022-09-19,60.369998931884766
2022-09-20,60.529998779296875
2022-09-21,59.790000915527344
2022-09-22,58.66999816894531
2022-09-23,57.790000915527344
2022-09-26,56.83000183105469
2022-09-27,56.56999969482422
2022-09-28,57.209999084472656
2022-09-29,56.58000183105469
2022-09-30,56.20000076293945
2022-10-03,57.86000061035156
2022-10-04,60.0099983215332
2022-10-05,59.66999816894531
2022-10-06,59.13999938964844
2022-10-07,57.689998626708984
2022-10-10,58.02000045776367
2022-10-11,58.099998474121094
2022-10-12,57.40999984741211
2022-10-13,59.689998626708984
2022-10-14,59.130001068115234
2022-10-17,59.630001068115234
2022-10-18,60.189998626708984
2022-10-19,60.13999938964844
2022-10-20,59.150001525878906
2022-10-21,60.970001220703125
2022-10-24,61.880001068115234
2022-10-25,61.95000076293945
2022-10-26,61.959999084472656
2022-10-27,62.70000076293945
2022-10-28,64.79000091552734
2022-10-31,65.11000061035156
2022-11-01,66.80999755859375
2022-11-02,66.69000244140625
2022-11-03,65.97000122070312
2022-11-04,67.18000030517578
2022-11-07,67.81999969482422
2022-11-08,67.9800033569336
2022-11-09,67.5199966430664
2022-11-10,69.97000122070312
2022-11-11,70.30000305175781
2022-11-14,68.70999908447266
2022-11-15,70.2300033569336
2022-11-16,70.80999755859375
2022-11-17,70.58999633789062
2022-11-18,70.94000244140625
2022-11-21,71.37000274658203
2022-11-22,71.98999786376953
2022-11-23,72.0
