Date,ALLE
2022-02-28,114.5199966430664
2022-03-01,114.62999725341797
2022-03-02,117.37000274658203
2022-03-03,117.70999908447266
2022-03-04,117.29000091552734
2022-03-07,114.7300033569336
2022-03-08,111.43000030517578
2022-03-09,114.54000091552734
2022-03-10,112.9000015258789
2022-03-11,111.30999755859375
2022-03-14,111.94999694824219
2022-03-15,114.47000122070312
2022-03-16,116.44000244140625
2022-03-17,117.79000091552734
2022-03-18,118.13999938964844
2022-03-21,117.25
2022-03-22,117.47000122070312
2022-03-23,113.19000244140625
2022-03-24,112.58999633789062
2022-03-25,112.30000305175781
2022-03-28,113.4800033569336
2022-03-29,115.05000305175781
2022-03-30,113.3499984741211
2022-03-31,109.77999877929688
2022-04-01,111.5199966430664
2022-04-04,111.30000305175781
2022-04-05,110.12999725341797
2022-04-06,106.97000122070312
2022-04-07,108.44999694824219
2022-04-08,106.69999694824219
2022-04-11,106.5199966430664
2022-04-12,105.80000305175781
2022-04-13,108.19000244140625
2022-04-14,107.43000030517578
2022-04-18,106.5999984741211
2022-04-19,109.29000091552734
2022-04-20,112.58999633789062
2022-04-21,112.08999633789062
2022-04-22,114.51000213623047
2022-04-25,114.72000122070312
2022-04-26,114.2300033569336
2022-04-27,116.0199966430664
2022-04-28,119.19999694824219
2022-04-29,114.23999786376953
2022-05-02,114.77999877929688
2022-05-03,115.4000015258789
2022-05-04,118.45999908447266
2022-05-05,113.76000213623047
2022-05-06,112.56999969482422
2022-05-09,113.8499984741211
2022-05-10,110.70999908447266
2022-05-11,108.5999984741211
2022-05-12,111.18000030517578
2022-05-13,112.77999877929688
2022-05-16,111.75
2022-05-17,113.66000366210938
2022-05-18,109.16000366210938
2022-05-19,108.80999755859375
2022-05-20,109.08000183105469
2022-05-23,108.51000213623047
2022-05-24,108.01000213623047
2022-05-25,108.0999984741211
2022-05-26,110.77999877929688
2022-05-27,113.54000091552734
2022-05-31,111.6500015258789
2022-06-01,111.83999633789062
2022-06-02,114.11000061035156
2022-06-03,111.44000244140625
2022-06-06,112.08000183105469
2022-06-07,113.36000061035156
2022-06-08,110.45999908447266
2022-06-09,108.52999877929688
2022-06-10,107.12000274658203
2022-06-13,103.12000274658203
2022-06-14,101.2699966430664
2022-06-15,100.69000244140625
2022-06-16,96.37000274658203
2022-06-17,95.66999816894531
2022-06-21,95.08000183105469
2022-06-22,95.44999694824219
2022-06-23,96.80999755859375
2022-06-24,99.5999984741211
2022-06-27,99.23999786376953
2022-06-28,98.4000015258789
2022-06-29,98.38999938964844
2022-06-30,97.9000015258789
2022-07-01,99.61000061035156
2022-07-05,100.41000366210938
2022-07-06,100.69999694824219
2022-07-07,101.01000213623047
2022-07-08,98.54000091552734
2022-07-11,97.88999938964844
2022-07-12,96.91000366210938
2022-07-13,95.45999908447266
2022-07-14,95.5999984741211
2022-07-15,97.01000213623047
2022-07-18,95.6500015258789
2022-07-19,100.48999786376953
2022-07-20,101.61000061035156
2022-07-21,103.45999908447266
2022-07-22,103.38999938964844
2022-07-25,103.01000213623047
2022-07-26,102.69000244140625
2022-07-27,104.19000244140625
2022-07-28,104.30999755859375
2022-07-29,105.69999694824219
2022-08-01,105.37000274658203
2022-08-02,102.73999786376953
2022-08-03,103.52999877929688
2022-08-04,103.23999786376953
2022-08-05,102.22000122070312
2022-08-08,102.87000274658203
2022-08-09,99.13999938964844
2022-08-10,101.87000274658203
2022-08-11,102.83000183105469
2022-08-12,106.41000366210938
2022-08-15,107.19999694824219
2022-08-16,108.45999908447266
2022-08-17,108.56999969482422
2022-08-18,109.11000061035156
2022-08-19,106.44999694824219
2022-08-22,103.13999938964844
2022-08-23,101.91999816894531
2022-08-24,101.87000274658203
2022-08-25,103.31999969482422
2022-08-26,97.66000366210938
2022-08-29,96.72000122070312
2022-08-30,96.69000244140625
2022-08-31,95.0999984741211
2022-09-01,95.7300033569336
2022-09-02,94.88999938964844
2022-09-06,94.63999938964844
2022-09-07,98.0
2022-09-08,98.1500015258789
2022-09-09,99.62999725341797
2022-09-12,101.20999908447266
2022-09-13,95.88999938964844
2022-09-14,95.1500015258789
2022-09-15,93.1500015258789
2022-09-16,89.69000244140625
2022-09-19,92.20999908447266
2022-09-20,91.0999984741211
2022-09-21,91.12999725341797
2022-09-22,90.62999725341797
2022-09-23,92.04000091552734
2022-09-26,90.19000244140625
2022-09-27,88.98999786376953
2022-09-28,91.80000305175781
2022-09-29,89.2699966430664
2022-09-30,89.68000030517578
2022-10-03,92.44999694824219
2022-10-04,95.83999633789062
2022-10-05,95.95999908447266
2022-10-06,94.41000366210938
2022-10-07,92.41999816894531
2022-10-10,91.79000091552734
2022-10-11,91.58000183105469
2022-10-12,90.5
2022-10-13,92.19999694824219
2022-10-14,89.94000244140625
2022-10-17,93.52999877929688
2022-10-18,95.18000030517578
2022-10-19,92.11000061035156
2022-10-20,89.80000305175781
2022-10-21,92.79000091552734
2022-10-24,94.36000061035156
2022-10-25,97.54000091552734
2022-10-26,97.33000183105469
2022-10-27,103.45999908447266
2022-10-28,106.19000244140625
2022-10-31,104.7699966430664
2022-11-01,106.55999755859375
2022-11-02,102.01000213623047
2022-11-03,102.33999633789062
2022-11-04,103.12000274658203
2022-11-07,107.06999969482422
2022-11-08,106.77999877929688
2022-11-09,104.37000274658203
2022-11-10,113.9800033569336
2022-11-11,113.56999969482422
2022-11-14,110.94999694824219
2022-11-15,112.63999938964844
2022-11-16,111.05000305175781
2022-11-17,110.7699966430664
2022-11-18,112.95999908447266
2022-11-21,112.66000366210938
2022-11-22,113.94000244140625
