Date,LULU
2022-02-28,319.94000244140625
2022-03-01,315.17999267578125
2022-03-02,330.07000732421875
2022-03-03,322.8399963378906
2022-03-04,320.5799865722656
2022-03-07,302.3800048828125
2022-03-08,296.5199890136719
2022-03-09,305.82000732421875
2022-03-10,301.739990234375
2022-03-11,291.54998779296875
2022-03-14,289.239990234375
2022-03-15,289.9200134277344
2022-03-16,305.1000061035156
2022-03-17,307.6000061035156
2022-03-18,316.92999267578125
2022-03-21,308.2200012207031
2022-03-22,315.0299987792969
2022-03-23,310.4200134277344
2022-03-24,317.739990234375
2022-03-25,321.1400146484375
2022-03-28,331.7799987792969
2022-03-29,343.9700012207031
2022-03-30,376.9200134277344
2022-03-31,365.2300109863281
2022-04-01,367.44000244140625
2022-04-04,384.17999267578125
2022-04-05,378.989990234375
2022-04-06,371.8299865722656
2022-04-07,379.2300109863281
2022-04-08,369.4599914550781
2022-04-11,368.739990234375
2022-04-12,376.1600036621094
2022-04-13,395.0299987792969
2022-04-14,390.7799987792969
2022-04-18,387.55999755859375
2022-04-19,404.6600036621094
2022-04-20,385.3999938964844
2022-04-21,377.25
2022-04-22,363.6600036621094
2022-04-25,368.0899963378906
2022-04-26,352.5299987792969
2022-04-27,354.0199890136719
2022-04-28,362.42999267578125
2022-04-29,354.6300048828125
2022-05-02,360.8399963378906
2022-05-03,355.70001220703125
2022-05-04,364.6700134277344
2022-05-05,343.6000061035156
2022-05-06,317.04998779296875
2022-05-09,292.67999267578125
2022-05-10,302.1099853515625
2022-05-11,291.29998779296875
2022-05-12,294.0
2022-05-13,309.2900085449219
2022-05-16,304.1499938964844
2022-05-17,305.4800109863281
2022-05-18,272.5199890136719
2022-05-19,271.2200012207031
2022-05-20,274.0400085449219
2022-05-23,272.8399963378906
2022-05-24,257.510009765625
2022-05-25,260.6600036621094
2022-05-26,287.4800109863281
2022-05-27,293.6499938964844
2022-05-31,292.69000244140625
2022-06-01,289.9599914550781
2022-06-02,302.5799865722656
2022-06-03,300.79998779296875
2022-06-06,301.6199951171875
2022-06-07,306.19000244140625
2022-06-08,307.7699890136719
2022-06-09,302.29998779296875
2022-06-10,291.6000061035156
2022-06-13,278.5799865722656
2022-06-14,280.5
2022-06-15,285.7200012207031
2022-06-16,271.3399963378906
2022-06-17,278.1300048828125
2022-06-21,276.45001220703125
