Date,ABBV
2022-02-28,147.77000427246094
2022-03-01,147.69000244140625
2022-03-02,149.57000732421875
2022-03-03,150.41000366210938
2022-03-04,150.55999755859375
2022-03-07,149.4499969482422
2022-03-08,147.14999389648438
2022-03-09,148.83999633789062
2022-03-10,149.1699981689453
2022-03-11,149.05999755859375
2022-03-14,152.10000610351562
2022-03-15,155.8800048828125
2022-03-16,156.0500030517578
2022-03-17,158.58999633789062
2022-03-18,159.1999969482422
2022-03-21,160.0500030517578
2022-03-22,160.00999450683594
2022-03-23,158.4199981689453
2022-03-24,160.27999877929688
2022-03-25,161.3300018310547
2022-03-28,161.97000122070312
2022-03-29,162.17999267578125
2022-03-30,163.75
2022-03-31,162.11000061035156
2022-04-01,162.67999267578125
2022-04-04,161.88999938964844
2022-04-05,163.42999267578125
2022-04-06,168.91000366210938
2022-04-07,173.27999877929688
2022-04-08,174.9600067138672
2022-04-11,169.8300018310547
2022-04-12,167.30999755859375
2022-04-13,158.9499969482422
2022-04-14,162.30999755859375
2022-04-18,159.36000061035156
2022-04-19,156.35000610351562
2022-04-20,156.6999969482422
2022-04-21,158.52000427246094
2022-04-22,154.99000549316406
2022-04-25,156.3000030517578
2022-04-26,156.17999267578125
2022-04-27,157.6199951171875
2022-04-28,156.30999755859375
2022-04-29,146.8800048828125
2022-05-02,147.8699951171875
2022-05-03,149.60000610351562
2022-05-04,151.58999633789062
2022-05-05,152.17999267578125
2022-05-06,152.8300018310547
2022-05-09,150.9600067138672
2022-05-10,152.08999633789062
2022-05-11,151.9600067138672
2022-05-12,154.2899932861328
2022-05-13,153.5
2022-05-16,155.47000122070312
2022-05-17,154.77999877929688
2022-05-18,152.42999267578125
2022-05-19,151.72000122070312
2022-05-20,151.00999450683594
2022-05-23,148.02999877929688
2022-05-24,149.11000061035156
2022-05-25,151.9600067138672
2022-05-26,150.57000732421875
2022-05-27,150.0
2022-05-31,147.3699951171875
2022-06-01,146.02000427246094
2022-06-02,146.75
2022-06-03,147.1699981689453
2022-06-06,146.52999877929688
2022-06-07,149.13999938964844
2022-06-08,149.25
2022-06-09,145.42999267578125
2022-06-10,143.1999969482422
2022-06-13,139.4199981689453
2022-06-14,137.6199951171875
2022-06-15,138.08999633789062
2022-06-16,139.14999389648438
2022-06-17,138.27999877929688
2022-06-21,143.47000122070312
2022-06-22,147.55999755859375
2022-06-23,149.4499969482422
2022-06-24,152.33999633789062
2022-06-27,153.13999938964844
2022-06-28,152.49000549316406
2022-06-29,154.13999938964844
2022-06-30,153.16000366210938
2022-07-01,153.8000030517578
2022-07-05,153.92999267578125
2022-07-06,152.52999877929688
2022-07-07,152.0
2022-07-08,152.85000610351562
2022-07-11,153.22999572753906
2022-07-12,152.4600067138672
2022-07-13,152.14999389648438
2022-07-14,150.44000244140625
2022-07-15,153.6199951171875
2022-07-18,149.57000732421875
2022-07-19,149.74000549316406
2022-07-20,147.69000244140625
2022-07-21,147.75
2022-07-22,148.47000122070312
2022-07-25,150.22000122070312
2022-07-26,150.8699951171875
2022-07-27,151.14999389648438
2022-07-28,149.75
2022-07-29,143.50999450683594
2022-08-01,140.22000122070312
2022-08-02,140.38999938964844
2022-08-03,141.1999969482422
2022-08-04,138.9199981689453
2022-08-05,138.0399932861328
2022-08-08,140.33999633789062
2022-08-09,140.25
2022-08-10,140.94000244140625
2022-08-11,142.0800018310547
2022-08-12,142.60000610351562
2022-08-15,142.2899932861328
2022-08-16,142.5500030517578
2022-08-17,141.44000244140625
2022-08-18,141.2899932861328
2022-08-19,141.85000610351562
2022-08-22,140.33999633789062
2022-08-23,139.02000427246094
2022-08-24,137.91000366210938
2022-08-25,139.3300018310547
2022-08-26,136.35000610351562
2022-08-29,135.7100067138672
2022-08-30,135.5500030517578
2022-08-31,134.4600067138672
2022-09-01,138.4499969482422
2022-09-02,136.27999877929688
2022-09-06,137.58999633789062
2022-09-07,138.7100067138672
2022-09-08,140.52000427246094
2022-09-09,141.4199981689453
2022-09-12,142.24000549316406
2022-09-13,138.52999877929688
2022-09-14,139.5500030517578
2022-09-15,142.50999450683594
2022-09-16,144.05999755859375
2022-09-19,142.66000366210938
2022-09-20,141.77000427246094
2022-09-21,140.30999755859375
2022-09-22,143.00999450683594
2022-09-23,143.05999755859375
2022-09-26,141.2100067138672
2022-09-27,141.72000122070312
2022-09-28,144.60000610351562
2022-09-29,142.72000122070312
2022-09-30,134.2100067138672
2022-10-03,138.32000732421875
2022-10-04,141.99000549316406
2022-10-05,143.3300018310547
2022-10-06,140.2899932861328
2022-10-07,138.75999450683594
2022-10-10,138.30999755859375
2022-10-11,141.50999450683594
2022-10-12,139.97999572753906
2022-10-13,142.9199981689453
2022-10-14,142.94000244140625
2022-10-17,144.41000366210938
2022-10-18,144.60000610351562
2022-10-19,143.1300048828125
2022-10-20,142.92999267578125
2022-10-21,147.05999755859375
2022-10-24,150.88999938964844
2022-10-25,149.82000732421875
2022-10-26,152.50999450683594
2022-10-27,153.5
2022-10-28,147.61000061035156
2022-10-31,146.39999389648438
2022-11-01,146.91000366210938
2022-11-02,144.52000427246094
2022-11-03,144.4199981689453
2022-11-04,145.27999877929688
2022-11-07,148.10000610351562
2022-11-08,148.52999877929688
2022-11-09,147.6199951171875
2022-11-10,149.72000122070312
2022-11-11,150.16000366210938
2022-11-14,151.74000549316406
2022-11-15,153.0399932861328
2022-11-16,151.8699951171875
2022-11-17,152.16000366210938
2022-11-18,154.97999572753906
2022-11-21,157.11000061035156
2022-11-22,159.7899932861328
2022-11-23,159.38999938964844
