Date,PLD
2022-02-28,145.85000610351562
2022-03-01,145.75999450683594
2022-03-02,147.63999938964844
2022-03-03,149.5800018310547
2022-03-04,150.83999633789062
2022-03-07,148.91000366210938
2022-03-08,146.99000549316406
2022-03-09,150.47999572753906
2022-03-10,151.0800018310547
2022-03-11,147.8300018310547
2022-03-14,149.1699981689453
2022-03-15,151.83999633789062
2022-03-16,154.57000732421875
2022-03-17,156.66000366210938
2022-03-18,160.16000366210938
2022-03-21,158.9199981689453
2022-03-22,158.6699981689453
2022-03-23,157.22999572753906
2022-03-24,155.88999938964844
2022-03-25,157.3300018310547
2022-03-28,160.35000610351562
2022-03-29,164.6999969482422
2022-03-30,164.13999938964844
2022-03-31,161.47999572753906
2022-04-01,165.8000030517578
2022-04-04,163.77999877929688
2022-04-05,166.27999877929688
2022-04-06,170.11000061035156
2022-04-07,168.8300018310547
2022-04-08,168.64999389648438
2022-04-11,165.72999572753906
2022-04-12,165.3300018310547
2022-04-13,165.0
2022-04-14,162.6999969482422
2022-04-18,163.0
2022-04-19,169.55999755859375
2022-04-20,172.6699981689453
2022-04-21,170.77999877929688
2022-04-22,168.72999572753906
2022-04-25,167.72999572753906
2022-04-26,165.6300048828125
2022-04-27,167.6699981689453
2022-04-28,173.00999450683594
2022-04-29,160.2899932861328
2022-05-02,153.1300048828125
2022-05-03,152.36000061035156
2022-05-04,152.27999877929688
2022-05-05,144.97999572753906
2022-05-06,140.8800048828125
2022-05-09,132.3699951171875
2022-05-10,125.41000366210938
2022-05-11,123.73999786376953
2022-05-12,123.93000030517578
2022-05-13,128.35000610351562
2022-05-16,125.25
2022-05-17,125.9000015258789
2022-05-18,119.52999877929688
2022-05-19,119.72000122070312
2022-05-20,119.72000122070312
2022-05-23,120.4800033569336
2022-05-24,120.08000183105469
2022-05-25,120.02999877929688
2022-05-26,122.36000061035156
2022-05-27,127.26000213623047
2022-05-31,127.4800033569336
2022-06-01,125.86000061035156
2022-06-02,129.5399932861328
2022-06-03,127.58000183105469
2022-06-06,127.87000274658203
2022-06-07,129.67999267578125
2022-06-08,124.7699966430664
2022-06-09,122.16999816894531
2022-06-10,117.23999786376953
2022-06-13,108.43000030517578
2022-06-14,110.66000366210938
2022-06-15,115.08999633789062
2022-06-16,111.79000091552734
2022-06-17,110.36000061035156
2022-06-21,112.36000061035156
2022-06-22,115.45999908447266
2022-06-23,118.23999786376953
2022-06-24,122.58999633789062
2022-06-27,120.20999908447266
2022-06-28,118.95999908447266
2022-06-29,118.30999755859375
2022-06-30,117.6500015258789
2022-07-01,120.02999877929688
2022-07-05,121.43000030517578
2022-07-06,121.45999908447266
2022-07-07,122.56999969482422
2022-07-08,121.58000183105469
2022-07-11,121.77999877929688
2022-07-12,120.91000366210938
2022-07-13,120.76000213623047
2022-07-14,118.12999725341797
2022-07-15,121.01000213623047
2022-07-18,119.19999694824219
2022-07-19,125.11000061035156
2022-07-20,124.56999969482422
2022-07-21,125.68000030517578
2022-07-22,126.9000015258789
2022-07-25,127.51000213623047
2022-07-26,127.58999633789062
2022-07-27,127.38999938964844
2022-07-28,132.39999389648438
2022-07-29,132.55999755859375
2022-08-01,130.97999572753906
2022-08-02,129.3699951171875
2022-08-03,130.72000122070312
2022-08-04,130.75
2022-08-05,131.38999938964844
2022-08-08,131.22000122070312
2022-08-09,132.89999389648438
2022-08-10,134.41000366210938
2022-08-11,134.22999572753906
2022-08-12,137.24000549316406
2022-08-15,138.3800048828125
2022-08-16,137.11000061035156
2022-08-17,137.38999938964844
2022-08-18,136.6300048828125
