Date,TER
2022-02-28,117.91999816894531
2022-03-01,114.55999755859375
2022-03-02,117.30000305175781
2022-03-03,114.16999816894531
2022-03-04,111.75
2022-03-07,106.41999816894531
2022-03-08,107.55000305175781
2022-03-09,111.75
2022-03-10,109.95999908447266
2022-03-11,106.87999725341797
2022-03-14,105.56999969482422
2022-03-15,110.51000213623047
2022-03-16,116.75
2022-03-17,120.5999984741211
2022-03-18,122.94999694824219
2022-03-21,120.94000244140625
2022-03-22,121.0
2022-03-23,116.51000213623047
2022-03-24,122.69000244140625
2022-03-25,124.04000091552734
2022-03-28,122.95999908447266
2022-03-29,125.37000274658203
2022-03-30,121.02999877929688
2022-03-31,118.2300033569336
2022-04-01,116.37000274658203
2022-04-04,118.94000244140625
2022-04-05,111.91000366210938
2022-04-06,111.19999694824219
2022-04-07,111.41999816894531
2022-04-08,108.66000366210938
2022-04-11,107.23999786376953
2022-04-12,108.18000030517578
2022-04-13,109.61000061035156
2022-04-14,106.0199966430664
2022-04-18,108.13999938964844
2022-04-19,112.61000061035156
2022-04-20,112.9000015258789
2022-04-21,111.19999694824219
2022-04-22,109.19999694824219
2022-04-25,112.56999969482422
2022-04-26,107.69000244140625
2022-04-27,106.31999969482422
2022-04-28,111.68000030517578
2022-04-29,105.45999908447266
2022-05-02,108.56999969482422
2022-05-03,109.33999633789062
2022-05-04,114.16999816894531
2022-05-05,108.51000213623047
2022-05-06,105.91999816894531
2022-05-09,100.22000122070312
2022-05-10,102.45999908447266
2022-05-11,100.41999816894531
2022-05-12,101.86000061035156
2022-05-13,107.3499984741211
2022-05-16,103.5199966430664
2022-05-17,108.51000213623047
2022-05-18,102.80000305175781
2022-05-19,102.18000030517578
2022-05-20,102.37000274658203
2022-05-23,102.88999938964844
2022-05-24,99.19000244140625
2022-05-25,100.2300033569336
2022-05-26,104.94000244140625
2022-05-27,109.4000015258789
2022-05-31,109.26000213623047
2022-06-01,106.63999938964844
2022-06-02,110.58000183105469
2022-06-03,107.43000030517578
2022-06-06,106.80999755859375
2022-06-07,108.5199966430664
2022-06-08,105.11000061035156
