Date,GPC
2022-02-28,122.16000366210938
2022-03-01,120.2699966430664
2022-03-02,124.91999816894531
2022-03-03,123.83000183105469
2022-03-04,122.58999633789062
2022-03-07,118.58999633789062
2022-03-08,119.76000213623047
2022-03-09,121.51000213623047
2022-03-10,122.76000213623047
2022-03-11,121.69000244140625
2022-03-14,122.0999984741211
2022-03-15,124.52999877929688
2022-03-16,128.07000732421875
2022-03-17,128.0500030517578
2022-03-18,129.0
2022-03-21,128.27999877929688
2022-03-22,128.16000366210938
2022-03-23,127.48999786376953
2022-03-24,128.08999633789062
2022-03-25,128.5399932861328
2022-03-28,127.63999938964844
2022-03-29,130.27999877929688
2022-03-30,128.8300018310547
2022-03-31,126.0199966430664
2022-04-01,125.93000030517578
2022-04-04,129.27999877929688
2022-04-05,126.9000015258789
2022-04-06,127.61000061035156
2022-04-07,129.1999969482422
2022-04-08,132.02000427246094
2022-04-11,130.66000366210938
2022-04-12,131.69000244140625
2022-04-13,131.52000427246094
2022-04-14,130.94000244140625
2022-04-18,131.13999938964844
2022-04-19,133.82000732421875
2022-04-20,137.6699981689453
2022-04-21,138.1300048828125
2022-04-22,133.63999938964844
2022-04-25,134.16000366210938
2022-04-26,133.94000244140625
2022-04-27,133.92999267578125
2022-04-28,133.19000244140625
2022-04-29,130.0500030517578
2022-05-02,130.49000549316406
2022-05-03,131.77000427246094
2022-05-04,135.17999267578125
2022-05-05,130.3000030517578
2022-05-06,130.7899932861328
2022-05-09,131.94000244140625
2022-05-10,130.9499969482422
2022-05-11,129.25999450683594
2022-05-12,132.6999969482422
2022-05-13,134.77999877929688
2022-05-16,136.27000427246094
2022-05-17,137.61000061035156
2022-05-18,131.47999572753906
2022-05-19,132.0
2022-05-20,128.5399932861328
2022-05-23,129.63999938964844
2022-05-24,130.92999267578125
2022-05-25,133.1699981689453
2022-05-26,136.0399932861328
2022-05-27,139.17999267578125
2022-05-31,136.72999572753906
2022-06-01,135.82000732421875
2022-06-02,136.77999877929688
2022-06-03,135.9499969482422
2022-06-06,139.66000366210938
2022-06-07,140.80999755859375
2022-06-08,139.4600067138672
2022-06-09,139.58999633789062
2022-06-10,135.92999267578125
2022-06-13,131.61000061035156
2022-06-14,132.44000244140625
2022-06-15,132.4199981689453
2022-06-16,128.30999755859375
2022-06-17,127.22000122070312
2022-06-21,130.80999755859375
2022-06-22,131.6199951171875
2022-06-23,133.2899932861328
2022-06-24,136.75
2022-06-27,137.13999938964844
2022-06-28,135.4499969482422
2022-06-29,133.50999450683594
2022-06-30,133.0
2022-07-01,133.35000610351562
2022-07-05,135.24000549316406
2022-07-06,135.3000030517578
2022-07-07,137.97000122070312
2022-07-08,137.13999938964844
2022-07-11,137.61000061035156
2022-07-12,136.9499969482422
2022-07-13,137.3000030517578
2022-07-14,136.69000244140625
2022-07-15,138.5399932861328
2022-07-18,138.1300048828125
2022-07-19,141.7899932861328
2022-07-20,142.52000427246094
2022-07-21,142.5500030517578
2022-07-22,144.49000549316406
2022-07-25,144.52999877929688
2022-07-26,142.72999572753906
2022-07-27,146.3699951171875
2022-07-28,149.61000061035156
2022-07-29,152.8699951171875
2022-08-01,152.92999267578125
2022-08-02,150.75999450683594
2022-08-03,151.02999877929688
2022-08-04,149.92999267578125
2022-08-05,150.97999572753906
2022-08-08,151.89999389648438
2022-08-09,152.07000732421875
2022-08-10,154.9600067138672
2022-08-11,156.61000061035156
2022-08-12,158.10000610351562
2022-08-15,158.47999572753906
2022-08-16,159.14999389648438
2022-08-17,160.58999633789062
2022-08-18,159.97000122070312
2022-08-19,159.85000610351562
2022-08-22,156.9499969482422
2022-08-23,157.74000549316406
2022-08-24,157.27000427246094
2022-08-25,159.72000122070312
2022-08-26,156.4199981689453
2022-08-29,157.14999389648438
2022-08-30,156.2100067138672
2022-08-31,156.00999450683594
2022-09-01,156.77999877929688
2022-09-02,157.25
2022-09-06,157.38999938964844
2022-09-07,161.9499969482422
2022-09-08,161.94000244140625
2022-09-09,162.8000030517578
2022-09-12,163.14999389648438
2022-09-13,157.94000244140625
2022-09-14,156.2899932861328
2022-09-15,154.41000366210938
2022-09-16,154.67999267578125
2022-09-19,158.52999877929688
2022-09-20,157.14999389648438
2022-09-21,155.60000610351562
2022-09-22,154.32000732421875
2022-09-23,151.0399932861328
2022-09-26,149.1300048828125
2022-09-27,148.63999938964844
2022-09-28,152.6699981689453
2022-09-29,149.6999969482422
2022-09-30,149.32000732421875
2022-10-03,152.91000366210938
2022-10-04,156.47000122070312
2022-10-05,157.50999450683594
2022-10-06,156.8300018310547
2022-10-07,153.8699951171875
2022-10-10,154.5
2022-10-11,156.77999877929688
2022-10-12,154.9199981689453
2022-10-13,156.5399932861328
2022-10-14,154.49000549316406
2022-10-17,158.24000549316406
2022-10-18,160.6300048828125
2022-10-19,158.97000122070312
2022-10-20,157.8699951171875
2022-10-21,162.35000610351562
2022-10-24,170.5500030517578
2022-10-25,171.64999389648438
2022-10-26,171.27999877929688
2022-10-27,174.97999572753906
2022-10-28,178.86000061035156
2022-10-31,177.86000061035156
2022-11-01,179.25
2022-11-02,175.07000732421875
2022-11-03,177.0500030517578
2022-11-04,178.1999969482422
2022-11-07,180.02000427246094
2022-11-08,180.57000732421875
2022-11-09,178.3800048828125
2022-11-10,182.1999969482422
2022-11-11,177.9600067138672
2022-11-14,179.77000427246094
2022-11-15,181.42999267578125
2022-11-16,179.89999389648438
2022-11-17,179.39999389648438
2022-11-18,180.67999267578125
2022-11-21,182.2899932861328
2022-11-22,183.99000549316406
2022-11-23,183.9199981689453
2022-11-25,186.10000610351562
2022-11-28,183.22999572753906
2022-11-29,180.5500030517578
2022-11-30,183.3300018310547
2022-12-01,184.89999389648438
2022-12-02,187.27999877929688
2022-12-05,184.9199981689453
2022-12-06,182.66000366210938
2022-12-07,182.86000061035156
2022-12-08,185.6300048828125
2022-12-09,182.25999450683594
2022-12-12,182.02000427246094
2022-12-13,178.0500030517578
2022-12-14,179.0800018310547
2022-12-15,178.75999450683594
