Date,J
2022-02-28,102.75688934326172
2022-03-01,102.76524353027344
2022-03-02,105.68922424316406
2022-03-03,106.79197692871094
2022-03-04,106.90058135986328
2022-03-07,102.63993072509766
2022-03-08,101.57059478759766
2022-03-09,104.95405578613281
2022-03-10,104.11027526855469
2022-03-11,104.45279693603516
2022-03-14,105.96491241455078
2022-03-15,109.61570739746094
2022-03-16,113.35004425048828
2022-03-17,115.31328582763672
2022-03-18,117.97827911376953
2022-03-21,116.8671646118164
2022-03-22,115.5304946899414
2022-03-23,113.3583984375
2022-03-24,115.80618286132812
2022-03-25,115.18797302246094
2022-03-28,115.7477035522461
2022-03-29,115.91478729248047
2022-03-30,116.57476806640625
2022-03-31,115.1294937133789
2022-04-01,116.60818481445312
2022-04-04,116.8922348022461
2022-04-05,116.83374786376953
2022-04-06,117.80284118652344
2022-04-07,119.98329162597656
2022-04-08,119.91645812988281
2022-04-11,119.20635223388672
2022-04-12,117.20133972167969
2022-04-13,119.83291625976562
2022-04-14,120.85212707519531
2022-04-18,120.40935516357422
2022-04-19,123.09941864013672
2022-04-20,123.14954376220703
2022-04-21,123.77610778808594
2022-04-22,118.79698944091797
2022-04-25,117.25146484375
2022-04-26,115.14620208740234
2022-04-27,118.1871337890625
2022-04-28,118.7218017578125
2022-04-29,115.7477035522461
2022-05-02,115.15455627441406
2022-05-03,115.78947448730469
2022-05-04,118.98914337158203
2022-05-05,114.92898559570312
2022-05-06,115.1294937133789
2022-05-09,108.82205200195312
2022-05-10,108.73851013183594
2022-05-11,109.21470642089844
2022-05-12,108.78028106689453
2022-05-13,111.17794799804688
2022-05-16,111.73767852783203
2022-05-17,113.84294128417969
2022-05-18,110.4427719116211
2022-05-19,111.75438690185547
2022-05-20,113.56725311279297
2022-05-23,114.57810974121094
2022-05-24,114.59481811523438
2022-05-25,114.72013092041016
2022-05-26,115.19632720947266
2022-05-27,117.00919342041016
2022-05-31,117.03424835205078
2022-06-01,116.00668334960938
2022-06-02,117.18463134765625
2022-06-03,115.3968276977539
2022-06-06,113.4920654296875
2022-06-07,115.04594421386719
2022-06-08,111.42021942138672
2022-06-09,110.267333984375
2022-06-10,107.7861328125
2022-06-13,105.0041732788086
2022-06-14,103.85964965820312
2022-06-15,104.160400390625
2022-06-16,99.53216552734375
2022-06-17,99.1562271118164
2022-06-21,101.82122039794922
2022-06-22,101.68755340576172
2022-06-23,102.15538787841797
2022-06-24,104.77861022949219
2022-06-27,105.58061981201172
2022-06-28,104.10192108154297
2022-06-29,103.89306640625
2022-06-30,106.20718383789062
2022-07-01,105.59732818603516
2022-07-05,103.68421173095703
2022-07-06,104.67835998535156
2022-07-07,105.98997497558594
2022-07-08,105.33834838867188
2022-07-11,105.25480651855469
2022-07-12,104.48621368408203
2022-07-13,104.21887969970703
2022-07-14,103.61737823486328
2022-07-15,104.80367279052734
2022-07-18,104.47785949707031
2022-07-19,107.51044464111328
2022-07-20,107.11779022216797
2022-07-21,107.7861328125
2022-07-22,108.20384216308594
2022-07-25,108.74686431884766
2022-07-26,109.27318572998047
2022-07-27,110.76858520507812
2022-07-28,113.40852355957031
2022-07-29,114.70342254638672
2022-08-01,108.20384216308594
2022-08-02,106.75856018066406
2022-08-03,106.6833724975586
2022-08-04,107.59398651123047
2022-08-05,106.51628875732422
2022-08-08,105.17961883544922
2022-08-09,103.42523193359375
2022-08-10,106.34920501708984
2022-08-11,107.44361114501953
2022-08-12,111.11111450195312
2022-08-15,111.52882385253906
2022-08-16,112.1219711303711
2022-08-17,112.50626373291016
2022-08-18,112.87384796142578
2022-08-19,113.55054473876953
2022-08-22,110.14202117919922
2022-08-23,109.45697784423828
2022-08-24,109.87468719482422
2022-08-25,111.67919921875
2022-08-26,106.56641387939453
2022-08-29,107.1595687866211
2022-08-30,103.95989990234375
2022-08-31,104.07685852050781
2022-09-01,103.0492935180664
2022-09-02,99.24812316894531
2022-09-06,100.1754379272461
2022-09-07,102.9740982055664
2022-09-08,102.99080657958984
2022-09-09,104.46115112304688
2022-09-12,103.96825408935547
2022-09-13,100.19214630126953
2022-09-14,99.99164581298828
2022-09-15,99.7744369506836
2022-09-16,97.96992492675781
2022-09-19,100.69339752197266
2022-09-20,99.57393646240234
2022-09-21,97.18463134765625
2022-09-22,97.04261016845703
2022-09-23,95.16291046142578
2022-09-26,93.4001693725586
2022-09-27,91.30326080322266
2022-09-28,92.28905487060547
2022-09-29,90.8938980102539
2022-09-30,90.63491821289062
2022-10-03,93.70927429199219
2022-10-04,97.06767272949219
2022-10-05,95.63909912109375
2022-10-06,95.0542984008789
2022-10-07,93.89306640625
2022-10-10,94.32748413085938
2022-10-11,93.5338363647461
2022-10-12,91.5455322265625
2022-10-13,93.29991912841797
2022-10-14,91.97994995117188
2022-10-17,94.61988067626953
2022-10-18,96.7334976196289
2022-10-19,95.36341094970703
2022-10-20,94.41938018798828
2022-10-21,96.09022521972656
2022-10-24,92.60651397705078
2022-10-25,94.06015014648438
2022-10-26,94.84544372558594
2022-10-27,95.38011932373047
2022-10-28,97.76942443847656
2022-10-31,96.25730895996094
2022-11-01,95.63909912109375
2022-11-02,94.50292205810547
2022-11-03,96.05680847167969
2022-11-04,98.59648895263672
2022-11-07,99.34001922607422
2022-11-08,99.72431182861328
2022-11-09,97.73600769042969
2022-11-10,105.02088928222656
2022-11-11,105.02924346923828
2022-11-14,103.65914916992188
2022-11-15,104.26065063476562
2022-11-16,104.32748413085938
2022-11-17,103.80952453613281
2022-11-18,105.29657745361328
2022-11-21,102.18880462646484
2022-11-22,103.17460632324219
2022-11-23,102.50626373291016
2022-11-25,103.27485656738281
2022-11-28,101.72932434082031
2022-11-29,102.56474304199219
2022-11-30,105.71428680419922
2022-12-01,104.04344177246094
2022-12-02,104.50292205810547
2022-12-05,101.82122039794922
2022-12-06,101.82957458496094
2022-12-07,102.5229721069336
2022-12-08,101.96324157714844
2022-12-09,101.38680267333984
2022-12-12,101.21971893310547
2022-12-13,102.55638885498047
2022-12-14,102.39765930175781
2022-12-15,99.9081039428711
2022-12-16,99.47368621826172
2022-12-19,99.01419830322266
2022-12-20,98.7635726928711
2022-12-21,101.33667755126953
2022-12-22,100.15037536621094
2022-12-23,100.96908569335938
2022-12-27,101.19465637207031
2022-12-28,99.58229064941406
2022-12-29,101.19465637207031
2022-12-30,100.3091049194336
2023-01-03,101.32832336425781
2023-01-04,105.27151489257812
2023-01-05,103.2665023803711
2023-01-06,107.36006927490234
2023-01-09,105.0793685913086
2023-01-10,106.51628875732422
2023-01-11,106.93400573730469
2023-01-12,106.78362274169922
2023-01-13,105.27151489257812
2023-01-17,103.96825408935547
2023-01-18,101.91311645507812
2023-01-19,99.12281036376953
2023-01-20,100.30075073242188
2023-01-23,100.8437728881836
2023-01-24,101.37844848632812
2023-01-25,101.83792877197266
2023-01-26,102.5229721069336
2023-01-27,101.84628295898438
2023-01-30,101.08604431152344
2023-01-31,103.21637725830078
2023-02-01,104.5614013671875
2023-02-02,104.76190185546875
2023-02-03,104.88721466064453
2023-02-06,104.36090087890625
2023-02-07,102.39765930175781
2023-02-08,101.42021942138672
2023-02-09,101.79615783691406
2023-02-10,101.67084503173828
2023-02-13,102.49790954589844
2023-02-14,102.35588836669922
2023-02-15,102.5730972290039
2023-02-16,102.38095092773438
2023-02-17,101.82957458496094
2023-02-21,99.41520690917969
2023-02-22,100.14202117919922
2023-02-23,100.23391723632812
2023-02-24,100.96073150634766
2023-02-27,101.38680267333984
2023-02-28,99.83291625976562
2023-03-01,99.72431182861328
2023-03-02,101.19465637207031
2023-03-03,103.06599426269531
2023-03-06,102.03007507324219
2023-03-07,101.17794799804688
2023-03-08,101.15288543701172
2023-03-09,98.53800964355469
2023-03-10,96.16541290283203
2023-03-13,97.12615203857422
2023-03-14,99.13951873779297
2023-03-15,96.40768432617188
2023-03-16,98.07852935791016
