Date,BXP
2022-02-28,122.30999755859375
2022-03-01,120.83999633789062
2022-03-02,122.9000015258789
2022-03-03,122.51000213623047
2022-03-04,123.16000366210938
2022-03-07,121.11000061035156
2022-03-08,122.05000305175781
2022-03-09,124.0199966430664
2022-03-10,124.97000122070312
2022-03-11,123.44000244140625
2022-03-14,122.80000305175781
2022-03-15,122.66000366210938
2022-03-16,123.77999877929688
2022-03-17,124.73999786376953
2022-03-18,124.55000305175781
2022-03-21,125.51000213623047
2022-03-22,125.41999816894531
2022-03-23,123.27999877929688
2022-03-24,126.12000274658203
2022-03-25,129.77999877929688
2022-03-28,129.75
2022-03-29,132.50999450683594
2022-03-30,130.86000061035156
2022-03-31,128.8000030517578
2022-04-01,130.24000549316406
2022-04-04,128.32000732421875
2022-04-05,125.80000305175781
2022-04-06,125.08000183105469
2022-04-07,122.37000274658203
2022-04-08,122.69999694824219
2022-04-11,123.11000061035156
2022-04-12,123.44000244140625
2022-04-13,124.83999633789062
2022-04-14,124.58999633789062
2022-04-18,123.7699966430664
2022-04-19,126.20999908447266
2022-04-20,127.69000244140625
2022-04-21,127.12999725341797
2022-04-22,125.69000244140625
2022-04-25,125.81999969482422
2022-04-26,124.13999938964844
2022-04-27,122.23999786376953
2022-04-28,123.52999877929688
2022-04-29,117.5999984741211
2022-05-02,117.23999786376953
2022-05-03,121.37999725341797
2022-05-04,122.93000030517578
2022-05-05,119.66999816894531
2022-05-06,119.12000274658203
2022-05-09,114.01000213623047
2022-05-10,110.2699966430664
2022-05-11,109.16000366210938
2022-05-12,111.0999984741211
2022-05-13,112.70999908447266
2022-05-16,112.43000030517578
2022-05-17,114.77999877929688
2022-05-18,109.80000305175781
2022-05-19,105.08000183105469
2022-05-20,105.2300033569336
2022-05-23,106.06999969482422
2022-05-24,105.58000183105469
2022-05-25,107.81999969482422
2022-05-26,109.66000366210938
2022-05-27,112.68000030517578
2022-05-31,111.18000030517578
2022-06-01,108.16999816894531
2022-06-02,109.06999969482422
2022-06-03,106.41999816894531
2022-06-06,105.29000091552734
2022-06-07,107.44000244140625
2022-06-08,103.13999938964844
2022-06-09,98.56999969482422
2022-06-10,96.91999816894531
2022-06-13,91.20999908447266
2022-06-14,90.63999938964844
2022-06-15,92.04000091552734
2022-06-16,88.55000305175781
2022-06-17,90.33000183105469
2022-06-21,90.0
2022-06-22,89.0999984741211
2022-06-23,90.0
2022-06-24,92.0
2022-06-27,91.97000122070312
2022-06-28,91.4000015258789
2022-06-29,90.01000213623047
2022-06-30,88.9800033569336
2022-07-01,90.5999984741211
2022-07-05,91.16000366210938
2022-07-06,90.02999877929688
2022-07-07,90.58999633789062
2022-07-08,89.1500015258789
2022-07-11,87.2699966430664
2022-07-12,87.98999786376953
2022-07-13,86.58999633789062
2022-07-14,85.56999969482422
2022-07-15,87.38999938964844
2022-07-18,87.62000274658203
2022-07-19,89.94999694824219
2022-07-20,89.61000061035156
2022-07-21,88.01000213623047
2022-07-22,88.55000305175781
2022-07-25,89.16000366210938
2022-07-26,88.33000183105469
2022-07-27,90.0
2022-07-28,90.08000183105469
2022-07-29,91.16000366210938
2022-08-01,89.51000213623047
2022-08-02,88.05000305175781
2022-08-03,88.4000015258789
2022-08-04,86.66000366210938
2022-08-05,86.58999633789062
2022-08-08,86.68000030517578
2022-08-09,86.13999938964844
2022-08-10,87.76000213623047
2022-08-11,89.72000122070312
2022-08-12,90.11000061035156
2022-08-15,89.04000091552734
2022-08-16,89.83000183105469
2022-08-17,87.79000091552734
2022-08-18,87.1500015258789
2022-08-19,86.3499984741211
2022-08-22,83.52999877929688
2022-08-23,83.41000366210938
2022-08-24,82.66999816894531
2022-08-25,84.12000274658203
2022-08-26,81.51000213623047
2022-08-29,80.43000030517578
2022-08-30,79.80999755859375
2022-08-31,79.43000030517578
2022-09-01,79.91999816894531
2022-09-02,80.54000091552734
2022-09-06,81.02999877929688
2022-09-07,82.87000274658203
2022-09-08,85.63999938964844
2022-09-09,85.80000305175781
2022-09-12,87.20999908447266
2022-09-13,84.5199966430664
2022-09-14,83.72000122070312
2022-09-15,82.7699966430664
2022-09-16,83.43000030517578
2022-09-19,81.9800033569336
2022-09-20,79.52999877929688
2022-09-21,77.47000122070312
2022-09-22,77.83999633789062
2022-09-23,77.11000061035156
2022-09-26,74.51000213623047
2022-09-27,73.66000366210938
2022-09-28,76.5
2022-09-29,74.68000030517578
2022-09-30,74.97000122070312
2022-10-03,75.73999786376953
2022-10-04,76.95999908447266
2022-10-05,74.5
2022-10-06,73.41999816894531
2022-10-07,71.30999755859375
2022-10-10,70.19000244140625
2022-10-11,71.20999908447266
2022-10-12,71.16999816894531
2022-10-13,73.47000122070312
2022-10-14,73.18000030517578
2022-10-17,74.80000305175781
2022-10-18,74.4000015258789
2022-10-19,71.81999969482422
2022-10-20,72.30000305175781
2022-10-21,72.5
2022-10-24,72.81999969482422
2022-10-25,75.33000183105469
2022-10-26,72.88999938964844
2022-10-27,70.91999816894531
2022-10-28,72.80000305175781
2022-10-31,72.69999694824219
2022-11-01,72.19999694824219
2022-11-02,71.23999786376953
2022-11-03,70.55999755859375
2022-11-04,71.63999938964844
2022-11-07,71.98999786376953
2022-11-08,71.52999877929688
2022-11-09,70.75
2022-11-10,75.4800033569336
2022-11-11,76.08000183105469
2022-11-14,74.41999816894531
2022-11-15,74.38999938964844
2022-11-16,71.16999816894531
2022-11-17,70.62000274658203
2022-11-18,70.88999938964844
2022-11-21,70.63999938964844
2022-11-22,70.5199966430664
2022-11-23,70.13999938964844
