Date,HWM
2022-02-28,35.91999816894531
2022-03-01,33.11000061035156
2022-03-02,35.130001068115234
2022-03-03,34.849998474121094
2022-03-04,33.849998474121094
2022-03-07,32.41999816894531
2022-03-08,32.93000030517578
2022-03-09,33.97999954223633
2022-03-10,34.279998779296875
2022-03-11,33.72999954223633
2022-03-14,33.41999816894531
2022-03-15,34.099998474121094
2022-03-16,34.93000030517578
2022-03-17,34.939998626708984
2022-03-18,35.72999954223633
2022-03-21,35.880001068115234
2022-03-22,37.31999969482422
2022-03-23,36.72999954223633
2022-03-24,37.02000045776367
2022-03-25,37.0
2022-03-28,36.4900016784668
2022-03-29,36.880001068115234
2022-03-30,36.439998626708984
2022-03-31,35.939998626708984
2022-04-01,36.31999969482422
2022-04-04,35.81999969482422
2022-04-05,34.45000076293945
2022-04-06,34.15999984741211
2022-04-07,34.41999816894531
2022-04-08,34.52000045776367
2022-04-11,34.22999954223633
2022-04-12,34.68000030517578
2022-04-13,35.279998779296875
2022-04-14,35.47999954223633
2022-04-18,35.439998626708984
2022-04-19,36.63999938964844
2022-04-20,36.84000015258789
2022-04-21,35.66999816894531
2022-04-22,34.959999084472656
2022-04-25,34.81999969482422
2022-04-26,34.2599983215332
2022-04-27,34.400001525878906
2022-04-28,34.95000076293945
2022-04-29,34.119998931884766
2022-05-02,33.84000015258789
2022-05-03,34.9900016784668
2022-05-04,36.560001373291016
2022-05-05,35.41999816894531
2022-05-06,35.029998779296875
2022-05-09,33.27000045776367
2022-05-10,33.97999954223633
2022-05-11,33.540000915527344
2022-05-12,32.849998474121094
2022-05-13,33.790000915527344
2022-05-16,34.060001373291016
2022-05-17,35.2400016784668
2022-05-18,33.59000015258789
2022-05-19,33.45000076293945
2022-05-20,33.15999984741211
2022-05-23,34.29999923706055
2022-05-24,33.709999084472656
2022-05-25,33.95000076293945
2022-05-26,34.61000061035156
2022-05-27,36.029998779296875
2022-05-31,35.77000045776367
2022-06-01,35.68000030517578
2022-06-02,36.9900016784668
2022-06-03,36.630001068115234
2022-06-06,36.650001525878906
2022-06-07,37.43000030517578
2022-06-08,36.470001220703125
2022-06-09,35.16999816894531
2022-06-10,33.97999954223633
2022-06-13,32.189998626708984
2022-06-14,32.20000076293945
2022-06-15,32.709999084472656
2022-06-16,30.799999237060547
2022-06-17,31.520000457763672
2022-06-21,31.65999984741211
2022-06-22,31.43000030517578
2022-06-23,30.700000762939453
2022-06-24,32.18000030517578
2022-06-27,31.799999237060547
2022-06-28,31.8799991607666
2022-06-29,31.31999969482422
2022-06-30,31.450000762939453
2022-07-01,31.799999237060547
2022-07-05,31.100000381469727
2022-07-06,31.940000534057617
2022-07-07,32.54999923706055
2022-07-08,32.7400016784668
2022-07-11,32.939998626708984
2022-07-12,33.40999984741211
2022-07-13,33.18000030517578
2022-07-14,33.04999923706055
2022-07-15,33.31999969482422
2022-07-18,33.0
2022-07-19,34.47999954223633
2022-07-20,34.849998474121094
2022-07-21,34.75
2022-07-22,34.36000061035156
2022-07-25,34.83000183105469
2022-07-26,34.83000183105469
2022-07-27,35.16999816894531
2022-07-28,36.040000915527344
2022-07-29,37.130001068115234
2022-08-01,37.349998474121094
2022-08-02,37.20000076293945
