Date,PYPL
2022-02-28,111.93000030517578
2022-03-01,106.51000213623047
2022-03-02,106.61000061035156
2022-03-03,101.33999633789062
2022-03-04,99.91000366210938
2022-03-07,93.61000061035156
2022-03-08,94.9000015258789
2022-03-09,100.22000122070312
2022-03-10,98.55000305175781
2022-03-11,96.56999969482422
2022-03-14,96.87000274658203
2022-03-15,100.45999908447266
2022-03-16,107.91999816894531
2022-03-17,112.16000366210938
2022-03-18,118.7699966430664
2022-03-21,114.6500015258789
2022-03-22,117.87000274658203
2022-03-23,114.6500015258789
2022-03-24,116.05000305175781
2022-03-25,113.76000213623047
2022-03-28,116.16999816894531
2022-03-29,121.18000030517578
2022-03-30,118.48999786376953
2022-03-31,115.6500015258789
2022-04-01,116.66999816894531
2022-04-04,121.86000061035156
2022-04-05,117.6500015258789
2022-04-06,112.48999786376953
2022-04-07,113.04000091552734
2022-04-08,111.20999908447266
2022-04-11,109.80999755859375
2022-04-12,108.25
2022-04-13,105.16999816894531
2022-04-14,102.30999755859375
2022-04-18,100.58000183105469
2022-04-19,103.66000366210938
2022-04-20,94.9000015258789
2022-04-21,89.4000015258789
2022-04-22,86.02999877929688
2022-04-25,87.77999877929688
2022-04-26,83.69999694824219
2022-04-27,82.61000061035156
2022-04-28,92.08999633789062
2022-04-29,87.93000030517578
2022-05-02,91.52999877929688
2022-05-03,90.70999908447266
2022-05-04,92.72000122070312
2022-05-05,85.43000030517578
2022-05-06,81.68000030517578
2022-05-09,79.52999877929688
2022-05-10,78.75
2022-05-11,75.16999816894531
2022-05-12,74.29000091552734
2022-05-13,78.83000183105469
2022-05-16,77.6500015258789
2022-05-17,79.75
2022-05-18,77.18000030517578
2022-05-19,81.27999877929688
2022-05-20,80.54000091552734
2022-05-23,81.18000030517578
2022-05-24,78.6500015258789
2022-05-25,80.12000274658203
2022-05-26,80.41999816894531
2022-05-27,85.20999908447266
2022-05-31,85.20999908447266
2022-06-01,82.4800033569336
2022-06-02,88.31999969482422
2022-06-03,86.52999877929688
2022-06-06,86.80999755859375
2022-06-07,88.58999633789062
2022-06-08,87.51000213623047
2022-06-09,84.11000061035156
2022-06-10,79.30000305175781
2022-06-13,73.72000122070312
2022-06-14,72.45999908447266
2022-06-15,75.83000183105469
