Date,FRT
2022-02-28,117.58000183105469
2022-03-01,116.4000015258789
2022-03-02,119.36000061035156
2022-03-03,120.12000274658203
2022-03-04,120.06999969482422
2022-03-07,116.11000061035156
2022-03-08,118.69999694824219
2022-03-09,119.4000015258789
2022-03-10,119.56999969482422
2022-03-11,118.44000244140625
2022-03-14,116.33999633789062
2022-03-15,116.63999938964844
2022-03-16,117.69999694824219
2022-03-17,117.62999725341797
2022-03-18,117.37999725341797
2022-03-21,117.37999725341797
2022-03-22,118.62000274658203
2022-03-23,117.04000091552734
2022-03-24,117.63999938964844
2022-03-25,119.58000183105469
2022-03-28,119.29000091552734
2022-03-29,124.0199966430664
2022-03-30,124.0999984741211
2022-03-31,122.06999969482422
2022-04-01,124.2300033569336
2022-04-04,122.9800033569336
2022-04-05,121.45999908447266
2022-04-06,122.33999633789062
2022-04-07,119.77999877929688
2022-04-08,120.9800033569336
2022-04-11,120.5999984741211
2022-04-12,120.54000091552734
2022-04-13,122.16999816894531
2022-04-14,123.26000213623047
2022-04-18,122.43000030517578
2022-04-19,124.80999755859375
2022-04-20,126.4800033569336
2022-04-21,125.29000091552734
2022-04-22,121.79000091552734
2022-04-25,120.62999725341797
2022-04-26,119.58000183105469
2022-04-27,118.72000122070312
2022-04-28,121.48999786376953
2022-04-29,117.05999755859375
2022-05-02,115.22000122070312
2022-05-03,118.12000274658203
2022-05-04,121.6500015258789
2022-05-05,117.58000183105469
2022-05-06,115.13999938964844
2022-05-09,111.51000213623047
2022-05-10,109.58000183105469
2022-05-11,108.81999969482422
2022-05-12,112.7699966430664
2022-05-13,115.97000122070312
2022-05-16,115.55999755859375
2022-05-17,118.45999908447266
2022-05-18,113.47000122070312
2022-05-19,111.20999908447266
2022-05-20,109.4000015258789
2022-05-23,109.5999984741211
2022-05-24,111.18000030517578
2022-05-25,112.08000183105469
2022-05-26,113.08999633789062
2022-05-27,115.91000366210938
2022-05-31,114.97000122070312
2022-06-01,113.68000030517578
2022-06-02,113.91000366210938
