Date,CTSH
2022-02-28,86.12999725341797
2022-03-01,85.80000305175781
2022-03-02,88.19000244140625
2022-03-03,87.93000030517578
2022-03-04,88.87999725341797
2022-03-07,86.5999984741211
2022-03-08,87.4800033569336
2022-03-09,87.95999908447266
2022-03-10,87.66000366210938
2022-03-11,88.04000091552734
2022-03-14,87.43000030517578
2022-03-15,88.16999816894531
2022-03-16,89.69999694824219
2022-03-17,90.58000183105469
2022-03-18,91.72000122070312
2022-03-21,91.38999938964844
2022-03-22,93.12000274658203
2022-03-23,90.95999908447266
2022-03-24,91.19000244140625
2022-03-25,91.51000213623047
2022-03-28,91.54000091552734
2022-03-29,92.7300033569336
2022-03-30,91.38999938964844
2022-03-31,89.66999816894531
2022-04-01,90.01000213623047
2022-04-04,90.0199966430664
2022-04-05,86.80000305175781
2022-04-06,86.91000366210938
2022-04-07,87.80999755859375
2022-04-08,88.95999908447266
2022-04-11,87.20999908447266
2022-04-12,86.08999633789062
2022-04-13,86.05999755859375
2022-04-14,84.73999786376953
2022-04-18,84.61000061035156
2022-04-19,85.73999786376953
2022-04-20,86.20999908447266
2022-04-21,86.41999816894531
2022-04-22,83.16000366210938
2022-04-25,84.45999908447266
2022-04-26,82.2699966430664
2022-04-27,82.83999633789062
2022-04-28,83.97000122070312
2022-04-29,80.9000015258789
2022-05-02,80.66999816894531
2022-05-03,81.55000305175781
2022-05-04,84.36000061035156
2022-05-05,73.5999984741211
2022-05-06,75.5199966430664
2022-05-09,76.2699966430664
2022-05-10,74.44000244140625
2022-05-11,72.37999725341797
2022-05-12,73.54000091552734
2022-05-13,73.37999725341797
2022-05-16,72.58000183105469
2022-05-17,75.11000061035156
2022-05-18,70.2300033569336
2022-05-19,70.31999969482422
2022-05-20,70.83000183105469
2022-05-23,71.83999633789062
2022-05-24,71.4000015258789
2022-05-25,71.69000244140625
2022-05-26,72.73999786376953
2022-05-27,74.7300033569336
2022-05-31,74.69999694824219
2022-06-01,74.18000030517578
2022-06-02,74.95999908447266
2022-06-03,73.55999755859375
2022-06-06,73.87999725341797
2022-06-07,74.08999633789062
2022-06-08,73.11000061035156
2022-06-09,70.7699966430664
2022-06-10,69.91000366210938
2022-06-13,67.88999938964844
2022-06-14,67.87000274658203
2022-06-15,68.48999786376953
2022-06-16,65.79000091552734
2022-06-17,66.5
2022-06-21,67.75
2022-06-22,67.4800033569336
2022-06-23,67.37999725341797
2022-06-24,70.26000213623047
2022-06-27,69.91000366210938
2022-06-28,68.11000061035156
2022-06-29,68.4800033569336
2022-06-30,67.48999786376953
2022-07-01,68.02999877929688
2022-07-05,67.72000122070312
2022-07-06,68.0199966430664
2022-07-07,67.58000183105469
2022-07-08,67.0199966430664
2022-07-11,65.69999694824219
2022-07-12,65.1500015258789
2022-07-13,65.04000091552734
2022-07-14,64.45999908447266
