Date,AVY
2022-02-28,176.1999969482422
2022-03-01,166.94000244140625
2022-03-02,171.99000549316406
2022-03-03,171.36000061035156
2022-03-04,167.58999633789062
2022-03-07,158.5800018310547
2022-03-08,158.9199981689453
2022-03-09,165.8000030517578
2022-03-10,163.64999389648438
2022-03-11,162.3800048828125
2022-03-14,165.92999267578125
2022-03-15,167.1300048828125
2022-03-16,170.10000610351562
2022-03-17,171.0800018310547
2022-03-18,171.1199951171875
2022-03-21,170.77000427246094
2022-03-22,170.85000610351562
2022-03-23,164.60000610351562
2022-03-24,166.82000732421875
2022-03-25,173.13999938964844
2022-03-28,173.5
2022-03-29,178.89999389648438
2022-03-30,176.8300018310547
2022-03-31,173.97000122070312
2022-04-01,175.0399932861328
2022-04-04,174.57000732421875
2022-04-05,175.41000366210938
2022-04-06,174.2899932861328
2022-04-07,173.74000549316406
2022-04-08,175.8000030517578
2022-04-11,175.5800018310547
2022-04-12,173.49000549316406
2022-04-13,172.50999450683594
2022-04-14,166.49000549316406
2022-04-18,164.17999267578125
2022-04-19,169.02999877929688
2022-04-20,171.0800018310547
2022-04-21,172.5399932861328
2022-04-22,167.4199981689453
2022-04-25,168.69000244140625
2022-04-26,174.22000122070312
2022-04-27,181.3300018310547
2022-04-28,183.57000732421875
2022-04-29,180.60000610351562
2022-05-02,179.25
2022-05-03,181.1699981689453
2022-05-04,185.41000366210938
2022-05-05,179.27000427246094
2022-05-06,177.33999633789062
2022-05-09,176.41000366210938
2022-05-10,171.74000549316406
2022-05-11,171.74000549316406
2022-05-12,172.4499969482422
2022-05-13,174.2899932861328
2022-05-16,173.47000122070312
2022-05-17,178.14999389648438
2022-05-18,168.47000122070312
2022-05-19,167.82000732421875
2022-05-20,164.5
2022-05-23,166.6999969482422
2022-05-24,162.8300018310547
2022-05-25,165.35000610351562
2022-05-26,168.85000610351562
2022-05-27,173.61000061035156
2022-05-31,172.55999755859375
2022-06-01,173.07000732421875
2022-06-02,177.5
2022-06-03,177.32000732421875
2022-06-06,180.00999450683594
2022-06-07,181.6199951171875
2022-06-08,178.7899932861328
2022-06-09,173.9499969482422
2022-06-10,168.88999938964844
2022-06-13,161.1999969482422
2022-06-14,161.08999633789062
2022-06-15,161.10000610351562
2022-06-16,153.30999755859375
2022-06-17,154.91000366210938
2022-06-21,155.35000610351562
2022-06-22,155.6999969482422
2022-06-23,155.49000549316406
2022-06-24,165.35000610351562
2022-06-27,166.9499969482422
2022-06-28,164.1199951171875
2022-06-29,164.0
2022-06-30,161.8699951171875
2022-07-01,164.44000244140625
2022-07-05,163.11000061035156
2022-07-06,165.72999572753906
2022-07-07,167.16000366210938
2022-07-08,164.9499969482422
2022-07-11,163.75
2022-07-12,166.02999877929688
2022-07-13,163.0500030517578
2022-07-14,164.02999877929688
2022-07-15,167.00999450683594
2022-07-18,165.25999450683594
2022-07-19,171.64999389648438
2022-07-20,173.32000732421875
2022-07-21,176.02999877929688
2022-07-22,175.3000030517578
2022-07-25,174.77999877929688
2022-07-26,171.75999450683594
2022-07-27,184.19000244140625
2022-07-28,189.13999938964844
2022-07-29,190.4600067138672
2022-08-01,190.42999267578125
2022-08-02,190.47000122070312
2022-08-03,193.1199951171875
2022-08-04,193.52999877929688
2022-08-05,193.2899932861328
2022-08-08,197.10000610351562
2022-08-09,193.67999267578125
2022-08-10,197.30999755859375
2022-08-11,198.75999450683594
2022-08-12,202.47000122070312
2022-08-15,201.17999267578125
2022-08-16,204.1199951171875
2022-08-17,200.9499969482422
2022-08-18,199.5
2022-08-19,197.0500030517578
2022-08-22,194.3699951171875
2022-08-23,193.49000549316406
2022-08-24,193.72000122070312
2022-08-25,195.6999969482422
2022-08-26,188.77999877929688
2022-08-29,185.99000549316406
2022-08-30,184.14999389648438
2022-08-31,183.6199951171875
2022-09-01,185.50999450683594
2022-09-02,185.47999572753906
2022-09-06,183.52999877929688
2022-09-07,188.6699981689453
2022-09-08,189.0500030517578
2022-09-09,191.0500030517578
2022-09-12,192.0500030517578
2022-09-13,184.6699981689453
2022-09-14,180.19000244140625
2022-09-15,179.36000061035156
2022-09-16,173.3699951171875
2022-09-19,179.24000549316406
2022-09-20,175.8300018310547
2022-09-21,172.94000244140625
2022-09-22,168.91000366210938
2022-09-23,165.6199951171875
2022-09-26,163.6699981689453
2022-09-27,163.0
2022-09-28,166.66000366210938
2022-09-29,163.60000610351562
2022-09-30,162.6999969482422
2022-10-03,168.10000610351562
2022-10-04,173.7899932861328
2022-10-05,171.85000610351562
2022-10-06,170.10000610351562
2022-10-07,165.52999877929688
2022-10-10,165.3800048828125
2022-10-11,166.3699951171875
2022-10-12,163.4600067138672
2022-10-13,166.33999633789062
2022-10-14,166.50999450683594
2022-10-17,169.5
2022-10-18,173.19000244140625
2022-10-19,171.27000427246094
2022-10-20,168.72000122070312
2022-10-21,171.0399932861328
2022-10-24,173.6199951171875
2022-10-25,177.00999450683594
2022-10-26,163.24000549316406
2022-10-27,168.42999267578125
2022-10-28,171.6300048828125
2022-10-31,169.5500030517578
2022-11-01,168.77999877929688
2022-11-02,165.5
2022-11-03,167.5500030517578
2022-11-04,174.55999755859375
2022-11-07,176.13999938964844
2022-11-08,176.08999633789062
2022-11-09,170.60000610351562
2022-11-10,182.6699981689453
2022-11-11,183.8300018310547
2022-11-14,180.5500030517578
2022-11-15,185.27999877929688
2022-11-16,186.5500030517578
2022-11-17,185.85000610351562
2022-11-18,188.22000122070312
2022-11-21,189.17999267578125
2022-11-22,191.3000030517578
2022-11-23,193.00999450683594
