Date,V
2022-02-28,216.1199951171875
2022-03-01,208.97000122070312
2022-03-02,208.47999572753906
2022-03-03,207.22999572753906
2022-03-04,200.2899932861328
2022-03-07,190.6999969482422
2022-03-08,191.7100067138672
2022-03-09,199.75999450683594
2022-03-10,197.97000122070312
2022-03-11,196.7100067138672
2022-03-14,200.3300018310547
2022-03-15,206.13999938964844
2022-03-16,211.8699951171875
2022-03-17,213.4499969482422
2022-03-18,219.11000061035156
2022-03-21,217.0399932861328
2022-03-22,218.47000122070312
2022-03-23,214.67999267578125
2022-03-24,217.30999755859375
2022-03-25,218.42999267578125
2022-03-28,220.77000427246094
2022-03-29,228.1199951171875
2022-03-30,223.9499969482422
2022-03-31,221.77000427246094
2022-04-01,226.36000061035156
2022-04-04,227.74000549316406
2022-04-05,226.08999633789062
2022-04-06,219.00999450683594
2022-04-07,216.14999389648438
2022-04-08,216.97999572753906
2022-04-11,214.75
2022-04-12,211.39999389648438
2022-04-13,213.27000427246094
2022-04-14,212.7899932861328
2022-04-18,213.1699981689453
2022-04-19,215.6999969482422
2022-04-20,217.7899932861328
2022-04-21,216.4499969482422
2022-04-22,208.1699981689453
2022-04-25,209.9499969482422
2022-04-26,201.10000610351562
2022-04-27,214.11000061035156
2022-04-28,220.66000366210938
2022-04-29,213.1300048828125
2022-05-02,211.52999877929688
2022-05-03,208.55999755859375
2022-05-04,214.52000427246094
2022-05-05,205.24000549316406
2022-05-06,202.82000732421875
2022-05-09,193.0
2022-05-10,193.5800018310547
2022-05-11,196.72000122070312
2022-05-12,193.97000122070312
2022-05-13,199.22999572753906
2022-05-16,197.80999755859375
2022-05-17,204.0
2022-05-18,199.99000549316406
2022-05-19,197.3699951171875
2022-05-20,199.02999877929688
2022-05-23,207.55999755859375
2022-05-24,202.6300048828125
2022-05-25,203.83999633789062
2022-05-26,208.5500030517578
2022-05-27,212.8800048828125
2022-05-31,212.1699981689453
2022-06-01,209.92999267578125
2022-06-02,215.0500030517578
2022-06-03,212.64999389648438
