Date,RL
2022-02-28,132.0399932861328
2022-03-01,124.69999694824219
2022-03-02,128.47000122070312
2022-03-03,124.56999969482422
2022-03-04,116.05000305175781
2022-03-07,101.86000061035156
2022-03-08,101.01000213623047
2022-03-09,108.63999938964844
2022-03-10,109.12000274658203
2022-03-11,107.54000091552734
2022-03-14,107.58999633789062
2022-03-15,108.0199966430664
2022-03-16,114.0
2022-03-17,119.22000122070312
2022-03-18,121.4000015258789
2022-03-21,118.5
2022-03-22,117.27999877929688
2022-03-23,116.37000274658203
2022-03-24,117.58000183105469
2022-03-25,117.44000244140625
2022-03-28,119.11000061035156
2022-03-29,122.62999725341797
2022-03-30,119.72000122070312
2022-03-31,113.44000244140625
2022-04-01,112.0
2022-04-04,115.06999969482422
2022-04-05,110.62999725341797
2022-04-06,105.91000366210938
2022-04-07,104.80999755859375
2022-04-08,105.61000061035156
2022-04-11,105.04000091552734
2022-04-12,105.81999969482422
2022-04-13,107.66000366210938
2022-04-14,108.5199966430664
2022-04-18,108.69999694824219
2022-04-19,112.80999755859375
2022-04-20,115.37999725341797
2022-04-21,114.23999786376953
2022-04-22,109.25
2022-04-25,108.43000030517578
2022-04-26,104.31999969482422
2022-04-27,103.38999938964844
2022-04-28,106.76000213623047
2022-04-29,104.33999633789062
2022-05-02,106.69999694824219
2022-05-03,105.80999755859375
2022-05-04,107.58000183105469
2022-05-05,100.20999908447266
2022-05-06,98.54000091552734
2022-05-09,94.87999725341797
2022-05-10,95.05000305175781
2022-05-11,92.37000274658203
2022-05-12,95.45999908447266
2022-05-13,99.93000030517578
2022-05-16,98.30000305175781
2022-05-17,102.0
2022-05-18,95.29000091552734
2022-05-19,92.08999633789062
2022-05-20,93.23999786376953
2022-05-23,90.94999694824219
2022-05-24,91.13999938964844
2022-05-25,93.69000244140625
2022-05-26,98.41000366210938
2022-05-27,98.87000274658203
2022-05-31,101.08999633789062
2022-06-01,101.19000244140625
2022-06-02,104.0999984741211
2022-06-03,105.19000244140625
2022-06-06,105.83000183105469
2022-06-07,106.52999877929688
2022-06-08,104.44000244140625
2022-06-09,103.18000030517578
2022-06-10,99.79000091552734
2022-06-13,94.38999938964844
2022-06-14,94.56999969482422
