Date,HON
2022-02-28,189.75
2022-03-01,183.60000610351562
2022-03-02,186.44000244140625
2022-03-03,187.52000427246094
2022-03-04,187.42999267578125
2022-03-07,182.16000366210938
2022-03-08,183.24000549316406
2022-03-09,185.39999389648438
2022-03-10,184.36000061035156
2022-03-11,182.24000549316406
2022-03-14,183.1999969482422
2022-03-15,187.7899932861328
2022-03-16,191.02999877929688
2022-03-17,191.92999267578125
2022-03-18,194.72000122070312
2022-03-21,193.02000427246094
2022-03-22,195.02999877929688
2022-03-23,192.33999633789062
2022-03-24,194.69000244140625
2022-03-25,197.7899932861328
2022-03-28,197.11000061035156
2022-03-29,197.5399932861328
2022-03-30,196.5399932861328
2022-03-31,194.5800018310547
2022-04-01,196.02999877929688
2022-04-04,196.07000732421875
2022-04-05,193.6300048828125
2022-04-06,193.6199951171875
2022-04-07,192.6999969482422
2022-04-08,190.16000366210938
2022-04-11,189.27000427246094
2022-04-12,190.99000549316406
2022-04-13,194.85000610351562
2022-04-14,195.19000244140625
2022-04-18,192.07000732421875
2022-04-19,197.1999969482422
2022-04-20,196.33999633789062
2022-04-21,195.94000244140625
2022-04-22,190.6300048828125
2022-04-25,191.82000732421875
2022-04-26,187.6699981689453
2022-04-27,186.35000610351562
2022-04-28,189.9199981689453
2022-04-29,193.50999450683594
2022-05-02,196.8699951171875
2022-05-03,197.0399932861328
2022-05-04,205.85000610351562
2022-05-05,197.8699951171875
2022-05-06,195.42999267578125
2022-05-09,193.9600067138672
2022-05-10,194.77000427246094
2022-05-11,192.02000427246094
2022-05-12,192.9199981689453
2022-05-13,193.52999877929688
2022-05-16,193.9600067138672
2022-05-17,199.05999755859375
2022-05-18,193.8699951171875
2022-05-19,192.64999389648438
2022-05-20,189.75
2022-05-23,189.5800018310547
2022-05-24,189.9600067138672
2022-05-25,190.44000244140625
2022-05-26,193.10000610351562
2022-05-27,196.35000610351562
2022-05-31,193.6199951171875
2022-06-01,191.91000366210938
2022-06-02,197.0399932861328
2022-06-03,194.82000732421875
2022-06-06,195.19000244140625
2022-06-07,197.6199951171875
2022-06-08,194.52000427246094
2022-06-09,192.00999450683594
2022-06-10,186.27999877929688
2022-06-13,184.4199981689453
2022-06-14,183.27999877929688
2022-06-15,184.97000122070312
2022-06-16,179.8800048828125
2022-06-17,179.6999969482422
2022-06-21,180.50999450683594
2022-06-22,177.72999572753906
2022-06-23,174.57000732421875
2022-06-24,180.02000427246094
2022-06-27,178.2899932861328
2022-06-28,175.9499969482422
2022-06-29,173.1999969482422
2022-06-30,173.80999755859375
2022-07-01,175.11000061035156
2022-07-05,172.08999633789062
2022-07-06,173.2100067138672
2022-07-07,173.7899932861328
2022-07-08,173.33999633789062
2022-07-11,172.83999633789062
2022-07-12,173.61000061035156
2022-07-13,170.8699951171875
2022-07-14,169.50999450683594
2022-07-15,172.8000030517578
2022-07-18,170.9499969482422
2022-07-19,177.22999572753906
2022-07-20,178.25999450683594
2022-07-21,180.02999877929688
2022-07-22,181.47000122070312
2022-07-25,181.25999450683594
2022-07-26,181.4199981689453
2022-07-27,183.66000366210938
2022-07-28,190.44000244140625
2022-07-29,192.4600067138672
2022-08-01,191.99000549316406
2022-08-02,189.1199951171875
2022-08-03,191.5
2022-08-04,192.44000244140625
2022-08-05,192.27000427246094
2022-08-08,193.97000122070312
2022-08-09,194.08999633789062
2022-08-10,197.22999572753906
2022-08-11,198.50999450683594
2022-08-12,200.8699951171875
2022-08-15,202.25
2022-08-16,203.6699981689453
2022-08-17,202.77999877929688
2022-08-18,203.72000122070312
2022-08-19,201.55999755859375
2022-08-22,197.83999633789062
2022-08-23,197.5500030517578
2022-08-24,197.7899932861328
2022-08-25,200.42999267578125
2022-08-26,193.05999755859375
2022-08-29,192.4199981689453
2022-08-30,190.6999969482422
2022-08-31,189.35000610351562
2022-09-01,190.72999572753906
2022-09-02,186.88999938964844
2022-09-06,185.60000610351562
2022-09-07,189.08999633789062
2022-09-08,187.82000732421875
2022-09-09,191.69000244140625
2022-09-12,192.02999877929688
2022-09-13,184.97999572753906
2022-09-14,179.97000122070312
2022-09-15,176.86000061035156
2022-09-16,177.35000610351562
2022-09-19,178.6300048828125
2022-09-20,177.00999450683594
2022-09-21,174.3000030517578
2022-09-22,173.25
2022-09-23,171.3800048828125
2022-09-26,170.07000732421875
2022-09-27,170.07000732421875
2022-09-28,173.8300018310547
2022-09-29,170.07000732421875
2022-09-30,166.97000122070312
2022-10-03,173.0399932861328
2022-10-04,178.19000244140625
2022-10-05,177.80999755859375
2022-10-06,175.0399932861328
2022-10-07,171.41000366210938
2022-10-10,171.88999938964844
2022-10-11,173.6199951171875
2022-10-12,172.7899932861328
2022-10-13,177.5500030517578
2022-10-14,174.16000366210938
2022-10-17,177.0399932861328
2022-10-18,179.8800048828125
2022-10-19,179.27999877929688
2022-10-20,177.63999938964844
2022-10-21,182.80999755859375
2022-10-24,186.89999389648438
2022-10-25,189.64999389648438
2022-10-26,190.27000427246094
2022-10-27,196.49000549316406
2022-10-28,204.92999267578125
2022-10-31,204.02000427246094
2022-11-01,203.10000610351562
2022-11-02,200.47000122070312
2022-11-03,204.38999938964844
2022-11-04,207.85000610351562
2022-11-07,209.77000427246094
2022-11-08,211.36000061035156
2022-11-09,208.6300048828125
2022-11-10,214.8000030517578
2022-11-11,212.72999572753906
2022-11-14,213.0
2022-11-15,215.42999267578125
2022-11-16,214.0
2022-11-17,214.50999450683594
2022-11-18,214.52999877929688
2022-11-21,216.55999755859375
2022-11-22,218.75999450683594
2022-11-23,218.91000366210938
2022-11-25,220.0500030517578
2022-11-28,215.77000427246094
2022-11-29,216.72000122070312
2022-11-30,219.5500030517578
2022-12-01,217.38999938964844
2022-12-02,219.0800018310547
2022-12-05,215.60000610351562
2022-12-06,213.19000244140625
2022-12-07,213.4499969482422
2022-12-08,213.35000610351562
2022-12-09,211.6300048828125
2022-12-12,214.5
2022-12-13,214.9600067138672
2022-12-14,214.72000122070312
