Date,ROP
2022-02-28,448.2200012207031
2022-03-01,446.260009765625
2022-03-02,449.0799865722656
2022-03-03,449.9100036621094
2022-03-04,454.5799865722656
2022-03-07,445.1700134277344
2022-03-08,438.5299987792969
2022-03-09,443.2900085449219
2022-03-10,436.3900146484375
2022-03-11,432.30999755859375
2022-03-14,435.1000061035156
2022-03-15,445.79998779296875
2022-03-16,453.4599914550781
2022-03-17,461.9800109863281
2022-03-18,468.5400085449219
2022-03-21,462.6700134277344
2022-03-22,463.8599853515625
2022-03-23,462.0199890136719
2022-03-24,461.45001220703125
2022-03-25,465.8599853515625
2022-03-28,472.260009765625
2022-03-29,476.6300048828125
2022-03-30,478.32000732421875
2022-03-31,472.2300109863281
2022-04-01,476.95001220703125
2022-04-04,481.260009765625
2022-04-05,476.7300109863281
2022-04-06,479.3800048828125
2022-04-07,485.2699890136719
2022-04-08,482.1600036621094
2022-04-11,480.7799987792969
2022-04-12,470.5
2022-04-13,469.0
2022-04-14,461.1600036621094
2022-04-18,456.6099853515625
2022-04-19,462.75
2022-04-20,468.7699890136719
2022-04-21,469.2799987792969
2022-04-22,454.0799865722656
2022-04-25,455.2699890136719
2022-04-26,472.010009765625
2022-04-27,474.69000244140625
2022-04-28,483.3900146484375
2022-04-29,469.9200134277344
2022-05-02,459.2799987792969
2022-05-03,451.1300048828125
2022-05-04,464.3900146484375
2022-05-05,443.5
2022-05-06,439.29998779296875
2022-05-09,432.9200134277344
2022-05-10,430.5899963378906
2022-05-11,429.3699951171875
2022-05-12,428.8399963378906
2022-05-13,430.3299865722656
2022-05-16,429.8599853515625
2022-05-17,432.760009765625
2022-05-18,411.4800109863281
2022-05-19,413.17999267578125
2022-05-20,417.4599914550781
2022-05-23,423.9100036621094
2022-05-24,426.9700012207031
2022-05-25,425.739990234375
2022-05-26,432.5199890136719
2022-05-27,443.8800048828125
2022-05-31,442.44000244140625
2022-06-01,430.8299865722656
2022-06-02,441.44000244140625
2022-06-03,432.05999755859375
2022-06-06,425.2099914550781
2022-06-07,428.260009765625
2022-06-08,418.05999755859375
2022-06-09,406.2300109863281
2022-06-10,390.69000244140625
2022-06-13,385.2300109863281
2022-06-14,380.6600036621094
2022-06-15,384.30999755859375
2022-06-16,372.2900085449219
2022-06-17,374.7099914550781
2022-06-21,382.6300048828125
2022-06-22,383.3399963378906
2022-06-23,394.2799987792969
2022-06-24,407.7099914550781
2022-06-27,398.7699890136719
2022-06-28,391.69000244140625
2022-06-29,393.54998779296875
2022-06-30,394.6499938964844
2022-07-01,400.6700134277344
2022-07-05,401.5899963378906
2022-07-06,404.75
2022-07-07,402.3900146484375
2022-07-08,402.0199890136719
2022-07-11,397.3299865722656
2022-07-12,390.94000244140625
2022-07-13,385.0400085449219
2022-07-14,388.1400146484375
2022-07-15,395.1499938964844
2022-07-18,391.8399963378906
2022-07-19,404.1300048828125
2022-07-20,408.3800048828125
2022-07-21,412.7300109863281
2022-07-22,410.9200134277344
2022-07-25,413.3800048828125
2022-07-26,411.239990234375
2022-07-27,418.2900085449219
2022-07-28,435.69000244140625
2022-07-29,436.6700134277344
2022-08-01,432.3900146484375
2022-08-02,426.29998779296875
2022-08-03,429.80999755859375
2022-08-04,430.8500061035156
2022-08-05,431.9200134277344
2022-08-08,431.010009765625
2022-08-09,428.8299865722656
2022-08-10,438.67999267578125
2022-08-11,433.70001220703125
2022-08-12,439.1000061035156
2022-08-15,439.4100036621094
2022-08-16,436.3299865722656
2022-08-17,434.0
2022-08-18,433.75
2022-08-19,433.32000732421875
2022-08-22,422.1300048828125
2022-08-23,416.7300109863281
2022-08-24,418.6199951171875
2022-08-25,424.6199951171875
2022-08-26,409.8299865722656
2022-08-29,409.1600036621094
2022-08-30,407.75
2022-08-31,402.5799865722656
2022-09-01,405.1499938964844
2022-09-02,400.9200134277344
2022-09-06,396.9200134277344
2022-09-07,406.8399963378906
2022-09-08,408.0799865722656
2022-09-09,410.1600036621094
2022-09-12,409.260009765625
2022-09-13,395.1700134277344
2022-09-14,396.19000244140625
2022-09-15,384.0
2022-09-16,382.1000061035156
2022-09-19,382.3500061035156
2022-09-20,378.5400085449219
2022-09-21,372.3999938964844
2022-09-22,375.57000732421875
2022-09-23,378.0
2022-09-26,377.07000732421875
2022-09-27,366.8999938964844
2022-09-28,370.5299987792969
2022-09-29,366.75
2022-09-30,359.6400146484375
2022-10-03,372.239990234375
2022-10-04,379.95001220703125
2022-10-05,380.45001220703125
2022-10-06,380.3299865722656
2022-10-07,369.3699951171875
2022-10-10,365.1199951171875
2022-10-11,364.1300048828125
2022-10-12,365.95001220703125
2022-10-13,370.5
2022-10-14,363.17999267578125
2022-10-17,370.94000244140625
2022-10-18,375.3900146484375
2022-10-19,371.42999267578125
2022-10-20,367.4100036621094
2022-10-21,370.7300109863281
2022-10-24,372.75
2022-10-25,378.0
2022-10-26,388.6499938964844
2022-10-27,400.3699951171875
2022-10-28,413.7099914550781
2022-10-31,414.5400085449219
2022-11-01,413.7099914550781
2022-11-02,403.1199951171875
2022-11-03,397.7200012207031
2022-11-04,396.0299987792969
2022-11-07,412.6199951171875
2022-11-08,416.42999267578125
2022-11-09,416.20001220703125
2022-11-10,438.42999267578125
2022-11-11,438.3599853515625
2022-11-14,432.5899963378906
2022-11-15,435.95001220703125
2022-11-16,431.3999938964844
2022-11-17,429.6199951171875
2022-11-18,433.010009765625
2022-11-21,434.5
2022-11-22,432.739990234375
2022-11-23,433.6199951171875
2022-11-25,436.3800048828125
2022-11-28,424.0299987792969
2022-11-29,425.25
