Date,F
2022-02-28,17.559999465942383
2022-03-01,16.700000762939453
2022-03-02,18.100000381469727
2022-03-03,17.600000381469727
2022-03-04,16.850000381469727
2022-03-07,15.970000267028809
2022-03-08,16.030000686645508
2022-03-09,16.3700008392334
2022-03-10,16.329999923706055
2022-03-11,16.040000915527344
2022-03-14,15.739999771118164
2022-03-15,16.059999465942383
2022-03-16,16.579999923706055
2022-03-17,16.579999923706055
2022-03-18,16.860000610351562
2022-03-21,16.479999542236328
2022-03-22,17.09000015258789
2022-03-23,16.68000030517578
2022-03-24,16.829999923706055
2022-03-25,16.469999313354492
2022-03-28,16.670000076293945
2022-03-29,17.75
2022-03-30,17.270000457763672
2022-03-31,16.90999984741211
2022-04-01,16.649999618530273
2022-04-04,16.65999984741211
2022-04-05,15.819999694824219
2022-04-06,15.390000343322754
2022-04-07,14.960000038146973
2022-04-08,15.050000190734863
2022-04-11,15.279999732971191
2022-04-12,15.359999656677246
2022-04-13,15.510000228881836
2022-04-14,15.479999542236328
2022-04-18,15.670000076293945
2022-04-19,16.149999618530273
2022-04-20,16.049999237060547
2022-04-21,15.699999809265137
2022-04-22,15.130000114440918
2022-04-25,15.1899995803833
2022-04-26,14.710000038146973
2022-04-27,14.850000381469727
2022-04-28,14.619999885559082
2022-04-29,14.15999984741211
2022-05-02,14.270000457763672
2022-05-03,14.5600004196167
2022-05-04,14.979999542236328
2022-05-05,14.529999732971191
2022-05-06,14.210000038146973
2022-05-09,13.369999885559082
2022-05-10,13.350000381469727
2022-05-11,12.829999923706055
2022-05-12,12.4399995803833
2022-05-13,13.5
2022-05-16,13.050000190734863
2022-05-17,13.529999732971191
2022-05-18,12.779999732971191
2022-05-19,12.850000381469727
2022-05-20,12.5
2022-05-23,12.829999923706055
2022-05-24,12.420000076293945
2022-05-25,12.710000038146973
2022-05-26,13.119999885559082
2022-05-27,13.630000114440918
2022-05-31,13.680000305175781
2022-06-01,13.550000190734863
2022-06-02,13.890000343322754
2022-06-03,13.5
2022-06-06,13.460000038146973
2022-06-07,13.739999771118164
2022-06-08,13.529999732971191
2022-06-09,13.279999732971191
2022-06-10,12.75
2022-06-13,11.8100004196167
2022-06-14,12.199999809265137
2022-06-15,12.270000457763672
2022-06-16,11.25
2022-06-17,11.229999542236328
2022-06-21,11.460000038146973
2022-06-22,11.479999542236328
