Date,ENPH
2022-02-28,166.6999969482422
2022-03-01,170.60000610351562
2022-03-02,163.88999938964844
2022-03-03,159.02999877929688
2022-03-04,158.14999389648438
2022-03-07,158.80999755859375
2022-03-08,175.99000549316406
2022-03-09,179.8699951171875
2022-03-10,178.72000122070312
2022-03-11,171.07000732421875
2022-03-14,157.63999938964844
2022-03-15,164.63999938964844
2022-03-16,177.2100067138672
2022-03-17,180.85000610351562
2022-03-18,184.52000427246094
2022-03-21,185.4499969482422
2022-03-22,189.25
2022-03-23,190.19000244140625
2022-03-24,197.83999633789062
2022-03-25,193.80999755859375
2022-03-28,195.52000427246094
2022-03-29,202.36000061035156
2022-03-30,196.64999389648438
2022-03-31,201.77999877929688
2022-04-01,205.88999938964844
2022-04-04,216.3800048828125
2022-04-05,211.22999572753906
2022-04-06,203.99000549316406
2022-04-07,206.9499969482422
2022-04-08,195.13999938964844
2022-04-11,187.8800048828125
2022-04-12,185.9499969482422
2022-04-13,193.22999572753906
2022-04-14,190.50999450683594
2022-04-18,190.02999877929688
2022-04-19,195.60000610351562
2022-04-20,178.52999877929688
2022-04-21,156.55999755859375
2022-04-22,153.6300048828125
2022-04-25,157.60000610351562
2022-04-26,153.8300018310547
2022-04-27,165.7100067138672
2022-04-28,164.47000122070312
2022-04-29,161.39999389648438
2022-05-02,168.3300018310547
2022-05-03,174.52999877929688
2022-05-04,191.94000244140625
2022-05-05,181.13999938964844
2022-05-06,165.88999938964844
2022-05-09,150.50999450683594
2022-05-10,151.64999389648438
2022-05-11,137.5500030517578
2022-05-12,140.94000244140625
2022-05-13,157.7899932861328
2022-05-16,151.02999877929688
2022-05-17,158.11000061035156
2022-05-18,156.1699981689453
2022-05-19,165.5399932861328
2022-05-20,168.25
2022-05-23,169.5500030517578
2022-05-24,162.50999450683594
2022-05-25,169.27999877929688
2022-05-26,178.77999877929688
2022-05-27,188.9499969482422
2022-05-31,186.19000244140625
2022-06-01,182.49000549316406
2022-06-02,198.92999267578125
2022-06-03,196.33999633789062
2022-06-06,206.97000122070312
2022-06-07,209.6300048828125
2022-06-08,204.77000427246094
2022-06-09,200.50999450683594
2022-06-10,196.19000244140625
2022-06-13,178.24000549316406
2022-06-14,179.52000427246094
2022-06-15,188.47999572753906
2022-06-16,169.60000610351562
2022-06-17,184.75
2022-06-21,193.2899932861328
2022-06-22,193.42999267578125
2022-06-23,200.6699981689453
2022-06-24,198.38999938964844
2022-06-27,206.1699981689453
2022-06-28,190.64999389648438
2022-06-29,184.63999938964844
2022-06-30,195.24000549316406
2022-07-01,195.72000122070312
2022-07-05,192.58999633789062
2022-07-06,194.92999267578125
2022-07-07,206.83999633789062
2022-07-08,216.4499969482422
2022-07-11,206.05999755859375
2022-07-12,189.47000122070312
2022-07-13,192.6300048828125
2022-07-14,196.9199981689453
2022-07-15,194.91000366210938
2022-07-18,206.42999267578125
2022-07-19,213.33999633789062
