Date,AIZ
2022-02-28,169.7100067138672
2022-03-01,165.1199951171875
2022-03-02,168.8800048828125
2022-03-03,170.60000610351562
2022-03-04,169.38999938964844
2022-03-07,168.25
2022-03-08,166.19000244140625
2022-03-09,168.77000427246094
2022-03-10,169.39999389648438
2022-03-11,169.9499969482422
2022-03-14,170.63999938964844
2022-03-15,173.50999450683594
2022-03-16,174.36000061035156
2022-03-17,176.11000061035156
2022-03-18,176.4199981689453
2022-03-21,178.17999267578125
2022-03-22,179.61000061035156
2022-03-23,178.97000122070312
2022-03-24,182.8699951171875
2022-03-25,184.47999572753906
2022-03-28,183.6699981689453
2022-03-29,181.30999755859375
2022-03-30,182.1699981689453
2022-03-31,181.8300018310547
2022-04-01,185.4199981689453
2022-04-04,181.8000030517578
2022-04-05,181.8699951171875
2022-04-06,184.55999755859375
2022-04-07,185.74000549316406
2022-04-08,186.1999969482422
2022-04-11,186.85000610351562
2022-04-12,185.97999572753906
2022-04-13,187.77000427246094
2022-04-14,189.3000030517578
2022-04-18,189.32000732421875
2022-04-19,189.52000427246094
2022-04-20,193.1199951171875
2022-04-21,190.3300018310547
2022-04-22,186.57000732421875
2022-04-25,187.16000366210938
2022-04-26,184.88999938964844
2022-04-27,186.02000427246094
2022-04-28,186.22000122070312
2022-04-29,181.8800048828125
2022-05-02,180.83999633789062
2022-05-03,183.0800018310547
2022-05-04,186.8699951171875
2022-05-05,189.42999267578125
2022-05-06,188.5800018310547
2022-05-09,180.97000122070312
2022-05-10,181.8000030517578
2022-05-11,180.52000427246094
2022-05-12,179.35000610351562
2022-05-13,181.6199951171875
2022-05-16,180.47999572753906
2022-05-17,184.44000244140625
2022-05-18,186.85000610351562
2022-05-19,180.44000244140625
2022-05-20,176.1699981689453
2022-05-23,178.49000549316406
2022-05-24,180.75
2022-05-25,181.27000427246094
2022-05-26,180.0500030517578
2022-05-27,181.41000366210938
2022-05-31,176.69000244140625
2022-06-01,178.22999572753906
2022-06-02,179.92999267578125
2022-06-03,180.38999938964844
2022-06-06,183.17999267578125
2022-06-07,185.5800018310547
2022-06-08,182.49000549316406
2022-06-09,178.75999450683594
2022-06-10,173.89999389648438
2022-06-13,172.69000244140625
2022-06-14,176.00999450683594
2022-06-15,173.24000549316406
2022-06-16,169.0800018310547
2022-06-17,169.85000610351562
2022-06-21,171.67999267578125
2022-06-22,171.1999969482422
2022-06-23,169.30999755859375
2022-06-24,172.86000061035156
2022-06-27,173.00999450683594
2022-06-28,173.0
2022-06-29,170.8699951171875
2022-06-30,172.85000610351562
2022-07-01,175.0
2022-07-05,172.57000732421875
2022-07-06,174.67999267578125
2022-07-07,175.1199951171875
2022-07-08,175.08999633789062
2022-07-11,177.49000549316406
2022-07-12,173.1300048828125
2022-07-13,174.52999877929688
2022-07-14,167.49000549316406
2022-07-15,166.8800048828125
2022-07-18,164.27000427246094
2022-07-19,168.2899932861328
2022-07-20,168.41000366210938
2022-07-21,168.77999877929688
2022-07-22,169.74000549316406
2022-07-25,171.9600067138672
2022-07-26,171.94000244140625
2022-07-27,172.13999938964844
2022-07-28,172.14999389648438
2022-07-29,175.77999877929688
2022-08-01,174.61000061035156
2022-08-02,171.57000732421875
2022-08-03,154.10000610351562
2022-08-04,156.24000549316406
2022-08-05,155.2899932861328
2022-08-08,158.07000732421875
2022-08-09,158.1199951171875
2022-08-10,161.91000366210938
2022-08-11,163.44000244140625
2022-08-12,166.27999877929688
2022-08-15,167.25999450683594
2022-08-16,170.22999572753906
2022-08-17,171.5399932861328
2022-08-18,171.77999877929688
2022-08-19,171.85000610351562
2022-08-22,164.83999633789062
2022-08-23,163.97000122070312
2022-08-24,164.5
2022-08-25,165.77000427246094
2022-08-26,161.5500030517578
2022-08-29,161.0500030517578
2022-08-30,158.1699981689453
2022-08-31,158.49000549316406
2022-09-01,160.0
2022-09-02,158.89999389648438
2022-09-06,158.66000366210938
2022-09-07,162.1699981689453
2022-09-08,164.4199981689453
2022-09-09,163.6999969482422
2022-09-12,163.49000549316406
2022-09-13,158.49000549316406
2022-09-14,155.9199981689453
2022-09-15,155.75999450683594
2022-09-16,154.8300018310547
2022-09-19,155.00999450683594
2022-09-20,150.7899932861328
2022-09-21,147.99000549316406
2022-09-22,148.6699981689453
2022-09-23,147.89999389648438
2022-09-26,146.1699981689453
2022-09-27,147.4600067138672
2022-09-28,149.4600067138672
2022-09-29,147.75
2022-09-30,145.27000427246094
2022-10-03,149.67999267578125
2022-10-04,152.94000244140625
2022-10-05,151.92999267578125
2022-10-06,149.92999267578125
2022-10-07,147.69000244140625
2022-10-10,149.57000732421875
2022-10-11,150.11000061035156
2022-10-12,146.55999755859375
2022-10-13,151.82000732421875
2022-10-14,147.35000610351562
2022-10-17,151.52000427246094
2022-10-18,154.42999267578125
2022-10-19,151.99000549316406
2022-10-20,145.3000030517578
2022-10-21,146.91000366210938
2022-10-24,150.61000061035156
2022-10-25,152.74000549316406
2022-10-26,136.75
2022-10-27,132.19000244140625
2022-10-28,134.69000244140625
2022-10-31,135.86000061035156
2022-11-01,134.6999969482422
2022-11-02,131.02000427246094
2022-11-03,123.41000366210938
2022-11-04,121.22000122070312
2022-11-07,120.7300033569336
2022-11-08,123.0
2022-11-09,122.62000274658203
2022-11-10,126.66000366210938
2022-11-11,128.14999389648438
2022-11-14,124.76000213623047
2022-11-15,124.62000274658203
2022-11-16,125.76000213623047
2022-11-17,123.45999908447266
2022-11-18,124.94999694824219
2022-11-21,126.5
2022-11-22,127.18000030517578
2022-11-23,127.04000091552734
