Date,TFX
2022-02-28,336.30999755859375
2022-03-01,333.239990234375
2022-03-02,340.1199951171875
2022-03-03,343.6600036621094
2022-03-04,349.9800109863281
2022-03-07,347.25
2022-03-08,336.9599914550781
2022-03-09,343.1000061035156
2022-03-10,339.3500061035156
2022-03-11,335.989990234375
2022-03-14,334.6099853515625
2022-03-15,335.5799865722656
2022-03-16,341.1199951171875
2022-03-17,347.04998779296875
2022-03-18,349.92999267578125
2022-03-21,348.70001220703125
2022-03-22,346.8500061035156
2022-03-23,328.9700012207031
2022-03-24,334.45001220703125
2022-03-25,339.3999938964844
2022-03-28,344.94000244140625
2022-03-29,346.9800109863281
2022-03-30,348.30999755859375
2022-03-31,354.8299865722656
2022-04-01,354.82000732421875
2022-04-04,344.54998779296875
2022-04-05,342.54998779296875
2022-04-06,341.3299865722656
2022-04-07,343.1700134277344
2022-04-08,346.4700012207031
2022-04-11,338.8800048828125
2022-04-12,339.69000244140625
2022-04-13,338.1000061035156
2022-04-14,336.6199951171875
2022-04-18,327.010009765625
2022-04-19,338.7300109863281
2022-04-20,346.0400085449219
2022-04-21,338.510009765625
2022-04-22,321.1099853515625
2022-04-25,326.3500061035156
2022-04-26,316.8900146484375
2022-04-27,316.17999267578125
2022-04-28,295.5
2022-04-29,285.6199951171875
2022-05-02,282.5299987792969
2022-05-03,284.8500061035156
2022-05-04,286.6499938964844
2022-05-05,277.7799987792969
2022-05-06,269.6099853515625
2022-05-09,259.70001220703125
2022-05-10,267.760009765625
2022-05-11,267.3699951171875
2022-05-12,269.239990234375
2022-05-13,278.4599914550781
2022-05-16,281.3399963378906
2022-05-17,292.760009765625
2022-05-18,286.3399963378906
2022-05-19,288.69000244140625
2022-05-20,287.29998779296875
2022-05-23,289.3599853515625
2022-05-24,285.1099853515625
2022-05-25,283.010009765625
2022-05-26,285.4700012207031
2022-05-27,290.0899963378906
2022-05-31,287.739990234375
2022-06-01,282.8599853515625
2022-06-02,290.57000732421875
2022-06-03,281.8500061035156
2022-06-06,283.79998779296875
2022-06-07,285.3299865722656
2022-06-08,281.30999755859375
2022-06-09,271.8800048828125
2022-06-10,267.6700134277344
2022-06-13,259.510009765625
2022-06-14,252.50999450683594
2022-06-15,257.2200012207031
2022-06-16,249.44000244140625
2022-06-17,244.92999267578125
2022-06-21,249.11000061035156
2022-06-22,247.91000366210938
2022-06-23,251.49000549316406
2022-06-24,258.04998779296875
2022-06-27,259.55999755859375
2022-06-28,253.25999450683594
2022-06-29,256.8299865722656
2022-06-30,245.85000610351562
2022-07-01,255.08999633789062
2022-07-05,252.25
2022-07-06,251.8000030517578
2022-07-07,255.9199981689453
2022-07-08,254.66000366210938
2022-07-11,248.24000549316406
2022-07-12,243.77000427246094
2022-07-13,242.50999450683594
2022-07-14,239.08999633789062
2022-07-15,244.13999938964844
2022-07-18,244.3800048828125
2022-07-19,254.5500030517578
2022-07-20,257.7699890136719
2022-07-21,267.32000732421875
2022-07-22,265.17999267578125
2022-07-25,263.07000732421875
2022-07-26,262.6400146484375
2022-07-27,266.5299987792969
2022-07-28,245.69000244140625
2022-07-29,240.4600067138672
2022-08-01,245.3000030517578
2022-08-02,250.85000610351562
2022-08-03,254.97000122070312
2022-08-04,250.55999755859375
2022-08-05,250.57000732421875
2022-08-08,255.91000366210938
2022-08-09,249.3000030517578
2022-08-10,254.0500030517578
2022-08-11,253.8699951171875
2022-08-12,256.95001220703125
2022-08-15,254.64999389648438
2022-08-16,253.11000061035156
2022-08-17,244.94000244140625
2022-08-18,245.4499969482422
2022-08-19,242.17999267578125
2022-08-22,235.5
2022-08-23,229.69000244140625
2022-08-24,229.97999572753906
2022-08-25,234.72000122070312
2022-08-26,224.13999938964844
2022-08-29,221.92999267578125
2022-08-30,223.0
2022-08-31,226.25999450683594
2022-09-01,226.64999389648438
2022-09-02,222.77000427246094
2022-09-06,221.6999969482422
2022-09-07,233.1300048828125
2022-09-08,237.4600067138672
2022-09-09,242.14999389648438
2022-09-12,245.14999389648438
2022-09-13,237.69000244140625
2022-09-14,238.64999389648438
2022-09-15,232.6699981689453
2022-09-16,227.35000610351562
2022-09-19,222.9499969482422
2022-09-20,220.24000549316406
2022-09-21,214.19000244140625
2022-09-22,211.8800048828125
2022-09-23,207.47999572753906
2022-09-26,204.33999633789062
2022-09-27,201.97000122070312
2022-09-28,207.9600067138672
2022-09-29,203.97000122070312
2022-09-30,201.4600067138672
2022-10-03,208.5
2022-10-04,206.25
