Date,TAP
2022-02-28,52.18000030517578
2022-03-01,50.400001525878906
2022-03-02,51.209999084472656
2022-03-03,51.119998931884766
2022-03-04,50.869998931884766
2022-03-07,51.560001373291016
2022-03-08,51.95000076293945
2022-03-09,52.47999954223633
2022-03-10,50.34000015258789
2022-03-11,50.81999969482422
2022-03-14,50.810001373291016
2022-03-15,50.849998474121094
2022-03-16,52.130001068115234
2022-03-17,52.38999938964844
2022-03-18,52.959999084472656
2022-03-21,52.650001525878906
2022-03-22,52.880001068115234
2022-03-23,52.5
2022-03-24,52.91999816894531
2022-03-25,53.959999084472656
2022-03-28,53.349998474121094
2022-03-29,54.06999969482422
2022-03-30,54.29999923706055
2022-03-31,53.380001068115234
2022-04-01,52.41999816894531
2022-04-04,52.06999969482422
2022-04-05,51.38999938964844
2022-04-06,50.7599983215332
2022-04-07,50.4900016784668
2022-04-08,51.560001373291016
2022-04-11,52.84000015258789
2022-04-12,53.66999816894531
2022-04-13,54.290000915527344
2022-04-14,55.61000061035156
2022-04-18,55.630001068115234
2022-04-19,55.869998931884766
2022-04-20,56.779998779296875
2022-04-21,55.869998931884766
2022-04-22,53.77000045776367
2022-04-25,54.439998626708984
2022-04-26,54.16999816894531
2022-04-27,54.22999954223633
2022-04-28,55.099998474121094
2022-04-29,54.13999938964844
2022-05-02,54.31999969482422
2022-05-03,52.689998626708984
2022-05-04,53.2400016784668
2022-05-05,52.63999938964844
2022-05-06,53.13999938964844
2022-05-09,53.66999816894531
2022-05-10,54.84000015258789
2022-05-11,55.81999969482422
2022-05-12,55.56999969482422
2022-05-13,55.93000030517578
2022-05-16,56.7599983215332
2022-05-17,55.849998474121094
2022-05-18,52.439998626708984
2022-05-19,50.779998779296875
2022-05-20,51.22999954223633
2022-05-23,52.119998931884766
2022-05-24,53.72999954223633
2022-05-25,54.33000183105469
2022-05-26,54.529998779296875
2022-05-27,55.150001525878906
2022-05-31,55.84000015258789
2022-06-01,54.720001220703125
2022-06-02,53.97999954223633
2022-06-03,53.560001373291016
2022-06-06,54.060001373291016
2022-06-07,54.650001525878906
2022-06-08,53.93000030517578
2022-06-09,52.40999984741211
2022-06-10,52.34000015258789
2022-06-13,50.630001068115234
2022-06-14,51.36000061035156
2022-06-15,51.81999969482422
2022-06-16,50.459999084472656
2022-06-17,50.369998931884766
2022-06-21,52.209999084472656
2022-06-22,52.720001220703125
2022-06-23,53.79999923706055
2022-06-24,55.77000045776367
2022-06-27,55.380001068115234
2022-06-28,55.7599983215332
2022-06-29,55.36000061035156
2022-06-30,54.5099983215332
2022-07-01,55.619998931884766
2022-07-05,55.34000015258789
2022-07-06,55.22999954223633
2022-07-07,54.630001068115234
2022-07-08,55.5
2022-07-11,56.060001373291016
2022-07-12,57.400001525878906
2022-07-13,58.25
2022-07-14,58.18000030517578
2022-07-15,58.63999938964844
2022-07-18,58.11000061035156
2022-07-19,58.56999969482422
2022-07-20,57.88999938964844
2022-07-21,57.18000030517578
2022-07-22,57.90999984741211
2022-07-25,58.220001220703125
2022-07-26,58.119998931884766
2022-07-27,58.91999816894531
2022-07-28,59.040000915527344
2022-07-29,59.75
2022-08-01,59.68000030517578
2022-08-02,53.439998626708984
2022-08-03,54.189998626708984
2022-08-04,52.90999984741211
2022-08-05,54.06999969482422
2022-08-08,54.63999938964844
2022-08-09,55.130001068115234
2022-08-10,55.720001220703125
2022-08-11,56.70000076293945
2022-08-12,56.709999084472656
2022-08-15,56.459999084472656
2022-08-16,56.47999954223633
2022-08-17,55.68000030517578
2022-08-18,56.119998931884766
2022-08-19,56.09000015258789
2022-08-22,55.33000183105469
2022-08-23,55.880001068115234
2022-08-24,56.619998931884766
2022-08-25,55.66999816894531
2022-08-26,53.869998931884766
2022-08-29,53.209999084472656
2022-08-30,52.25
2022-08-31,51.66999816894531
2022-09-01,51.369998931884766
2022-09-02,51.70000076293945
2022-09-06,51.650001525878906
2022-09-07,52.22999954223633
2022-09-08,51.81999969482422
2022-09-09,52.16999816894531
2022-09-12,53.279998779296875
2022-09-13,51.22999954223633
2022-09-14,50.650001525878906
2022-09-15,50.939998626708984
2022-09-16,50.439998626708984
2022-09-19,51.11000061035156
2022-09-20,49.91999816894531
2022-09-21,49.290000915527344
2022-09-22,49.150001525878906
2022-09-23,47.68000030517578
2022-09-26,47.4900016784668
2022-09-27,47.59000015258789
2022-09-28,48.31999969482422
2022-09-29,48.16999816894531
2022-09-30,47.9900016784668
2022-10-03,48.58000183105469
2022-10-04,49.25
2022-10-05,48.459999084472656
2022-10-06,47.72999954223633
2022-10-07,47.02000045776367
2022-10-10,47.310001373291016
2022-10-11,47.75
2022-10-12,48.7599983215332
2022-10-13,49.45000076293945
2022-10-14,48.79999923706055
2022-10-17,49.119998931884766
2022-10-18,49.220001220703125
2022-10-19,48.310001373291016
2022-10-20,48.2400016784668
2022-10-21,49.15999984741211
2022-10-24,49.79999923706055
2022-10-25,50.56999969482422
2022-10-26,50.060001373291016
2022-10-27,49.869998931884766
2022-10-28,51.099998474121094
2022-10-31,50.43000030517578
2022-11-01,48.810001373291016
2022-11-02,49.34000015258789
2022-11-03,49.47999954223633
2022-11-04,51.20000076293945
2022-11-07,50.97999954223633
2022-11-08,51.290000915527344
2022-11-09,49.7599983215332
2022-11-10,51.45000076293945
2022-11-11,51.900001525878906
2022-11-14,51.95000076293945
2022-11-15,52.08000183105469
2022-11-16,52.11000061035156
2022-11-17,53.0099983215332
2022-11-18,53.5
2022-11-21,54.33000183105469
2022-11-22,54.79999923706055
2022-11-23,55.27000045776367
