Date,BWA
2022-02-28,36.1003532409668
2022-03-01,34.181339263916016
2022-03-02,35.757041931152344
2022-03-03,35.132041931152344
2022-03-04,32.50880432128906
2022-03-07,30.827465057373047
2022-03-08,31.795774459838867
2022-03-09,32.9753532409668
2022-03-10,32.323944091796875
2022-03-11,31.971830368041992
2022-03-14,31.963027954101562
2022-03-15,32.14788818359375
2022-03-16,33.591548919677734
2022-03-17,33.75880432128906
2022-03-18,33.99647903442383
2022-03-21,33.78520965576172
2022-03-22,33.846832275390625
2022-03-23,32.931339263916016
2022-03-24,33.908451080322266
2022-03-25,33.970069885253906
2022-03-28,33.95246505737305
2022-03-29,35.28168869018555
2022-03-30,34.87676239013672
2022-03-31,34.242958068847656
2022-04-01,34.64788818359375
2022-04-04,34.14612579345703
2022-04-05,32.640846252441406
2022-04-06,32.76408386230469
2022-04-07,31.989437103271484
2022-04-08,32.051055908203125
2022-04-11,32.43838119506836
2022-04-12,32.62323760986328
2022-04-13,32.43838119506836
2022-04-14,32.5792236328125
2022-04-18,32.82570266723633
2022-04-19,33.8292236328125
2022-04-20,34.11971664428711
2022-04-21,34.10211181640625
2022-04-22,33.32746505737305
2022-04-25,33.2042236328125
2022-04-26,31.628520965576172
2022-04-27,32.323944091796875
2022-04-28,33.08979034423828
2022-04-29,32.4207763671875
2022-05-02,32.86091613769531
2022-05-03,33.573944091796875
2022-05-04,34.31338119506836
2022-05-05,33.53873062133789
2022-05-06,33.42429733276367
2022-05-09,32.41197204589844
2022-05-10,31.954225540161133
2022-05-11,31.725351333618164
2022-05-12,32.279930114746094
2022-05-13,33.802818298339844
2022-05-16,32.966548919677734
2022-05-17,34.73591613769531
2022-05-18,33.75880432128906
2022-05-19,34.20774459838867
2022-05-20,33.58274459838867
2022-05-23,33.62676239013672
2022-05-24,32.966548919677734
2022-05-25,33.87323760986328
2022-05-26,34.67429733276367
2022-05-27,34.97359085083008
2022-05-31,35.492958068847656
2022-06-01,35.31690216064453
2022-06-02,35.41373062133789
2022-06-03,34.595069885253906
2022-06-06,35.28168869018555
2022-06-07,35.06161880493164
2022-06-08,34.93838119506836
2022-06-09,34.48063278198242
2022-06-10,33.010562896728516
2022-06-13,31.047534942626953
2022-06-14,30.8626766204834
2022-06-15,31.496479034423828
2022-06-16,29.005281448364258
2022-06-17,29.63908576965332
2022-06-21,31.161972045898438
2022-06-22,31.117958068847656
2022-06-23,30.65140724182129
2022-06-24,31.417253494262695
2022-06-27,31.461267471313477
2022-06-28,31.734155654907227
2022-06-29,30.92429542541504
2022-06-30,29.375
2022-07-01,29.99119758605957
2022-07-05,29.6830997467041
2022-07-06,28.890844345092773
2022-07-07,30.510562896728516
2022-07-08,30.32570457458496
2022-07-11,29.867958068847656
2022-07-12,30.378520965576172
2022-07-13,29.586267471313477
2022-07-14,29.08450698852539
2022-07-15,29.621479034423828
2022-07-18,30.070423126220703
2022-07-19,31.461267471313477
2022-07-20,31.84859275817871
2022-07-21,32.015846252441406
2022-07-22,32.051055908203125
2022-07-25,32.27112579345703
2022-07-26,32.095069885253906
2022-07-27,32.77288818359375
2022-07-28,33.79401397705078
2022-07-29,33.85563278198242
2022-08-01,34.02288818359375
2022-08-02,33.943660736083984
2022-08-03,34.779930114746094
2022-08-04,33.76760482788086
2022-08-05,33.33626937866211
2022-08-08,33.8292236328125
2022-08-09,33.50352096557617
2022-08-10,34.46302795410156
2022-08-11,34.99119567871094
2022-08-12,35.22887420654297
2022-08-15,34.947181701660156
2022-08-16,34.99119567871094
2022-08-17,33.93486022949219
2022-08-18,34.779930114746094
2022-08-19,34.26936721801758
2022-08-22,32.29753494262695
2022-08-23,32.693660736083984
2022-08-24,33.0457763671875
2022-08-25,34.2253532409668
2022-08-26,33.42429733276367
2022-08-29,33.62676239013672
2022-08-30,33.6795768737793
2022-08-31,33.18661880493164
2022-09-01,32.89612579345703
2022-09-02,32.58802795410156
2022-09-06,32.07746505737305
2022-09-07,33.283451080322266
2022-09-08,33.1954231262207
2022-09-09,33.95246505737305
2022-09-12,34.70950698852539
2022-09-13,33.39788818359375
2022-09-14,32.640846252441406
2022-09-15,32.640846252441406
2022-09-16,32.552818298339844
2022-09-19,33.221832275390625
2022-09-20,32.05986022949219
2022-09-21,30.977113723754883
2022-09-22,30.554576873779297
2022-09-23,29.022886276245117
2022-09-26,29.357393264770508
2022-09-27,29.295774459838867
2022-09-28,29.524648666381836
2022-09-29,27.878520965576172
2022-09-30,27.640844345092773
2022-10-03,28.829225540161133
2022-10-04,30.220069885253906
2022-10-05,30.079225540161133
2022-10-06,30.140844345092773
2022-10-07,29.577465057373047
2022-10-10,28.917253494262695
2022-10-11,28.9876766204834
2022-10-12,28.71478843688965
2022-10-13,29.463027954101562
2022-10-14,29.234155654907227
2022-10-17,29.753520965576172
2022-10-18,30.02640724182129
2022-10-19,29.99119758605957
2022-10-20,29.727113723754883
2022-10-21,30.404930114746094
2022-10-24,31.373239517211914
2022-10-25,32.007041931152344
2022-10-26,32.16549301147461
2022-10-27,32.46479034423828
2022-10-28,33.30986022949219
2022-10-31,33.03697204589844
2022-11-01,32.84331130981445
2022-11-02,31.989437103271484
2022-11-03,31.945423126220703
2022-11-04,33.39788818359375
2022-11-07,33.6795768737793
2022-11-08,34.198944091796875
2022-11-09,33.926055908203125
2022-11-10,36.06513977050781
2022-11-11,37.341548919677734
2022-11-14,36.9542236328125
2022-11-15,37.66725540161133
2022-11-16,36.487674713134766
2022-11-17,36.37323760986328
2022-11-18,37.16549301147461
2022-11-21,36.88380432128906
