Date,CDW
2022-02-28,172.4600067138672
2022-03-01,169.41000366210938
2022-03-02,174.02000427246094
2022-03-03,174.35000610351562
2022-03-04,171.57000732421875
2022-03-07,165.44000244140625
2022-03-08,164.77999877929688
2022-03-09,171.0
2022-03-10,170.1199951171875
2022-03-11,170.0
2022-03-14,166.60000610351562
2022-03-15,172.27999877929688
2022-03-16,173.39999389648438
2022-03-17,176.41000366210938
2022-03-18,179.38999938964844
2022-03-21,178.7899932861328
2022-03-22,178.14999389648438
2022-03-23,174.52999877929688
2022-03-24,175.83999633789062
2022-03-25,176.14999389648438
2022-03-28,177.30999755859375
2022-03-29,180.9600067138672
2022-03-30,178.82000732421875
2022-03-31,178.88999938964844
2022-04-01,177.8000030517578
2022-04-04,178.8300018310547
2022-04-05,176.80999755859375
2022-04-06,176.3800048828125
2022-04-07,177.32000732421875
2022-04-08,175.5500030517578
2022-04-11,172.2100067138672
2022-04-12,171.64999389648438
2022-04-13,170.97000122070312
2022-04-14,172.97000122070312
2022-04-18,171.67999267578125
2022-04-19,173.94000244140625
2022-04-20,179.0
2022-04-21,176.41000366210938
2022-04-22,169.5399932861328
2022-04-25,170.64999389648438
2022-04-26,163.1699981689453
2022-04-27,162.52999877929688
2022-04-28,168.63999938964844
2022-04-29,163.17999267578125
2022-05-02,164.1300048828125
2022-05-03,167.67999267578125
2022-05-04,177.11000061035156
2022-05-05,171.2100067138672
2022-05-06,170.6199951171875
2022-05-09,164.8000030517578
2022-05-10,166.5500030517578
2022-05-11,164.4499969482422
2022-05-12,166.7899932861328
2022-05-13,169.33999633789062
2022-05-16,169.1699981689453
2022-05-17,172.64999389648438
2022-05-18,163.72999572753906
2022-05-19,161.9499969482422
2022-05-20,160.1999969482422
2022-05-23,161.25
2022-05-24,158.80999755859375
2022-05-25,161.25999450683594
2022-05-26,166.52000427246094
2022-05-27,171.10000610351562
2022-05-31,169.86000061035156
2022-06-01,171.2100067138672
2022-06-02,176.1300048828125
2022-06-03,175.58999633789062
2022-06-06,175.72999572753906
2022-06-07,178.10000610351562
2022-06-08,174.33999633789062
2022-06-09,173.58999633789062
2022-06-10,167.33999633789062
2022-06-13,160.8800048828125
2022-06-14,162.5
2022-06-15,163.85000610351562
2022-06-16,155.94000244140625
2022-06-17,156.1999969482422
2022-06-21,159.8300018310547
2022-06-22,159.6300048828125
2022-06-23,158.1199951171875
2022-06-24,164.33999633789062
2022-06-27,165.77999877929688
2022-06-28,159.3699951171875
2022-06-29,158.0800018310547
2022-06-30,157.55999755859375
2022-07-01,157.0
2022-07-05,157.75
2022-07-06,158.16000366210938
2022-07-07,159.82000732421875
2022-07-08,161.52999877929688
2022-07-11,158.58999633789062
2022-07-12,158.1999969482422
2022-07-13,158.3000030517578
2022-07-14,158.77000427246094
2022-07-15,161.50999450683594
2022-07-18,159.6699981689453
2022-07-19,167.52999877929688
2022-07-20,169.2100067138672
2022-07-21,171.25
2022-07-22,170.10000610351562
2022-07-25,170.44000244140625
2022-07-26,170.10000610351562
2022-07-27,174.8000030517578
2022-07-28,178.14999389648438
2022-07-29,181.52999877929688
2022-08-01,181.50999450683594
2022-08-02,180.3300018310547
2022-08-03,181.9600067138672
2022-08-04,180.02000427246094
2022-08-05,179.69000244140625
2022-08-08,178.5800018310547
2022-08-09,172.52000427246094
2022-08-10,176.00999450683594
2022-08-11,175.7100067138672
2022-08-12,180.27000427246094
2022-08-15,181.6699981689453
2022-08-16,183.5500030517578
2022-08-17,182.6199951171875
2022-08-18,187.11000061035156
2022-08-19,188.3699951171875
2022-08-22,185.11000061035156
2022-08-23,184.8699951171875
2022-08-24,184.39999389648438
2022-08-25,187.89999389648438
2022-08-26,179.69000244140625
2022-08-29,178.0
2022-08-30,175.07000732421875
2022-08-31,170.6999969482422
2022-09-01,170.50999450683594
2022-09-02,168.5
2022-09-06,169.3699951171875
2022-09-07,173.07000732421875
2022-09-08,174.36000061035156
2022-09-09,175.57000732421875
2022-09-12,177.77999877929688
2022-09-13,172.4499969482422
2022-09-14,172.0399932861328
2022-09-15,169.67999267578125
2022-09-16,170.8300018310547
2022-09-19,170.67999267578125
2022-09-20,168.25
2022-09-21,165.39999389648438
2022-09-22,162.63999938964844
2022-09-23,159.91000366210938
2022-09-26,158.3000030517578
2022-09-27,157.72999572753906
2022-09-28,161.4600067138672
2022-09-29,158.97000122070312
2022-09-30,156.0800018310547
2022-10-03,159.91000366210938
2022-10-04,166.33999633789062
2022-10-05,166.5500030517578
2022-10-06,165.0
2022-10-07,159.6199951171875
2022-10-10,158.42999267578125
2022-10-11,152.60000610351562
