Date,UPS
2022-02-28,210.4199981689453
2022-03-01,205.5800018310547
2022-03-02,211.4600067138672
2022-03-03,212.42999267578125
2022-03-04,210.38999938964844
2022-03-07,201.17999267578125
2022-03-08,203.41000366210938
2022-03-09,206.77999877929688
2022-03-10,207.17999267578125
2022-03-11,203.89999389648438
2022-03-14,204.3000030517578
2022-03-15,210.52999877929688
2022-03-16,217.89999389648438
2022-03-17,222.32000732421875
2022-03-18,219.77999877929688
2022-03-21,218.55999755859375
2022-03-22,218.4199981689453
2022-03-23,214.5800018310547
2022-03-24,214.66000366210938
2022-03-25,215.35000610351562
2022-03-28,219.5500030517578
2022-03-29,222.4499969482422
2022-03-30,220.1999969482422
2022-03-31,214.4600067138672
2022-04-01,206.63999938964844
2022-04-04,205.2100067138672
2022-04-05,197.2100067138672
2022-04-06,194.38999938964844
2022-04-07,192.6999969482422
2022-04-08,190.97000122070312
2022-04-11,190.83999633789062
2022-04-12,187.88999938964844
2022-04-13,188.8699951171875
2022-04-14,188.02000427246094
2022-04-18,187.16000366210938
2022-04-19,190.69000244140625
2022-04-20,190.42999267578125
2022-04-21,188.8000030517578
2022-04-22,187.14999389648438
2022-04-25,189.63999938964844
2022-04-26,183.0500030517578
2022-04-27,186.39999389648438
2022-04-28,190.16000366210938
2022-04-29,179.97999572753906
2022-05-02,178.5800018310547
2022-05-03,178.1199951171875
2022-05-04,183.8000030517578
2022-05-05,179.7899932861328
2022-05-06,179.9199981689453
2022-05-09,181.42999267578125
2022-05-10,182.00999450683594
2022-05-11,177.4600067138672
2022-05-12,178.64999389648438
2022-05-13,178.0399932861328
2022-05-16,179.77000427246094
2022-05-17,183.13999938964844
2022-05-18,172.22999572753906
2022-05-19,167.38999938964844
2022-05-20,171.0399932861328
2022-05-23,174.38999938964844
2022-05-24,174.11000061035156
2022-05-25,173.86000061035156
2022-05-26,178.3800048828125
2022-05-27,182.52999877929688
2022-05-31,182.25
2022-06-01,180.22999572753906
2022-06-02,184.07000732421875
2022-06-03,185.49000549316406
2022-06-06,187.11000061035156
2022-06-07,185.50999450683594
2022-06-08,179.44000244140625
2022-06-09,176.5500030517578
2022-06-10,173.0500030517578
2022-06-13,172.72000122070312
2022-06-14,174.16000366210938
2022-06-15,175.8800048828125
2022-06-16,172.19000244140625
2022-06-17,171.07000732421875
2022-06-21,174.5
2022-06-22,176.14999389648438
2022-06-23,178.6300048828125
2022-06-24,183.3000030517578
2022-06-27,181.80999755859375
2022-06-28,179.9199981689453
2022-06-29,181.1300048828125
2022-06-30,182.5399932861328
2022-07-01,184.99000549316406
2022-07-05,184.6300048828125
2022-07-06,185.1699981689453
2022-07-07,186.19000244140625
2022-07-08,185.39999389648438
2022-07-11,184.63999938964844
2022-07-12,179.3699951171875
2022-07-13,177.9199981689453
2022-07-14,178.27999877929688
2022-07-15,182.58999633789062
2022-07-18,180.0800018310547
2022-07-19,185.80999755859375
2022-07-20,186.85000610351562
2022-07-21,187.00999450683594
2022-07-22,187.97999572753906
2022-07-25,187.91000366210938
2022-07-26,181.52999877929688
2022-07-27,183.89999389648438
2022-07-28,188.24000549316406
2022-07-29,194.88999938964844
2022-08-01,195.33999633789062
2022-08-02,193.52999877929688
2022-08-03,193.4199981689453
2022-08-04,194.52000427246094
2022-08-05,196.75999450683594
2022-08-08,196.08999633789062
2022-08-09,196.64999389648438
2022-08-10,202.3699951171875
2022-08-11,204.42999267578125
2022-08-12,204.88999938964844
2022-08-15,205.8800048828125
2022-08-16,206.35000610351562
2022-08-17,204.97999572753906
2022-08-18,208.0500030517578
2022-08-19,208.42999267578125
2022-08-22,206.39999389648438
2022-08-23,205.27000427246094
2022-08-24,203.0399932861328
2022-08-25,205.0
2022-08-26,198.92999267578125
2022-08-29,197.27000427246094
2022-08-30,195.0500030517578
2022-08-31,194.50999450683594
2022-09-01,196.61000061035156
2022-09-02,196.0500030517578
2022-09-06,195.9600067138672
2022-09-07,196.2899932861328
2022-09-08,196.1300048828125
2022-09-09,198.69000244140625
2022-09-12,200.1699981689453
2022-09-13,192.7100067138672
