Date,AXON
2022-02-28,140.25
2022-03-01,142.1199951171875
2022-03-02,144.61000061035156
2022-03-03,140.14999389648438
2022-03-04,138.1300048828125
2022-03-07,126.12999725341797
2022-03-08,125.02999877929688
2022-03-09,131.6300048828125
2022-03-10,130.3300018310547
2022-03-11,124.66000366210938
2022-03-14,120.30000305175781
2022-03-15,121.18000030517578
2022-03-16,127.30000305175781
2022-03-17,131.33999633789062
2022-03-18,134.88999938964844
2022-03-21,134.3699951171875
2022-03-22,137.6699981689453
2022-03-23,134.82000732421875
2022-03-24,138.14999389648438
2022-03-25,132.69000244140625
2022-03-28,135.11000061035156
2022-03-29,138.99000549316406
2022-03-30,139.0
2022-03-31,137.72999572753906
2022-04-01,139.30999755859375
2022-04-04,140.0
2022-04-05,138.92999267578125
2022-04-06,131.1699981689453
2022-04-07,132.7899932861328
2022-04-08,127.81999969482422
2022-04-11,124.4000015258789
2022-04-12,125.62999725341797
2022-04-13,125.2699966430664
2022-04-14,123.22000122070312
2022-04-18,122.33000183105469
2022-04-19,130.0
2022-04-20,124.63999938964844
2022-04-21,120.6500015258789
2022-04-22,118.0199966430664
2022-04-25,120.79000091552734
2022-04-26,113.33999633789062
2022-04-27,113.63999938964844
2022-04-28,116.05999755859375
2022-04-29,112.19999694824219
2022-05-02,116.26000213623047
2022-05-03,114.8499984741211
2022-05-04,115.54000091552734
2022-05-05,99.51000213623047
2022-05-06,95.98999786376953
2022-05-09,87.88999938964844
2022-05-10,89.45999908447266
2022-05-11,84.37000274658203
2022-05-12,87.04000091552734
2022-05-13,98.22000122070312
2022-05-16,95.44000244140625
2022-05-17,96.80000305175781
2022-05-18,96.25
2022-05-19,98.58000183105469
2022-05-20,99.4000015258789
2022-05-23,94.73999786376953
2022-05-24,92.55999755859375
2022-05-25,95.54000091552734
2022-05-26,98.5199966430664
2022-05-27,102.5199966430664
2022-05-31,101.36000061035156
2022-06-01,99.3499984741211
2022-06-02,105.11000061035156
2022-06-03,103.08999633789062
2022-06-06,102.68000030517578
2022-06-07,104.06999969482422
2022-06-08,102.87999725341797
2022-06-09,101.04000091552734
2022-06-10,96.51000213623047
2022-06-13,89.80999755859375
2022-06-14,87.51000213623047
2022-06-15,90.87999725341797
2022-06-16,85.12000274658203
2022-06-17,87.61000061035156
2022-06-21,84.44000244140625
2022-06-22,86.36000061035156
2022-06-23,91.02999877929688
2022-06-24,96.16000366210938
2022-06-27,96.79000091552734
2022-06-28,95.0
2022-06-29,95.63999938964844
2022-06-30,93.16999816894531
2022-07-01,93.2300033569336
2022-07-05,95.6500015258789
2022-07-06,94.02999877929688
2022-07-07,97.9000015258789
2022-07-08,96.8499984741211
2022-07-11,93.62000274658203
2022-07-12,92.48999786376953
2022-07-13,92.56999969482422
2022-07-14,91.26000213623047
2022-07-15,94.6500015258789
2022-07-18,95.05000305175781
2022-07-19,97.62999725341797
2022-07-20,103.4800033569336
2022-07-21,104.47000122070312
2022-07-22,102.12000274658203
2022-07-25,101.4000015258789
2022-07-26,98.83999633789062
2022-07-27,104.41000366210938
2022-07-28,107.91999816894531
2022-07-29,110.19000244140625
2022-08-01,111.0
2022-08-02,113.01000213623047
2022-08-03,116.66999816894531
2022-08-04,116.5999984741211
2022-08-05,116.29000091552734
2022-08-08,116.2300033569336
2022-08-09,111.62000274658203
2022-08-10,126.06999969482422
2022-08-11,124.0999984741211
2022-08-12,129.49000549316406
2022-08-15,131.9199981689453
2022-08-16,133.22999572753906
2022-08-17,130.57000732421875
2022-08-18,132.13999938964844
2022-08-19,130.6999969482422
2022-08-22,128.13999938964844
2022-08-23,121.86000061035156
2022-08-24,123.37999725341797
2022-08-25,127.66000366210938
2022-08-26,122.23999786376953
2022-08-29,120.62000274658203
2022-08-30,117.70999908447266
2022-08-31,116.68000030517578
2022-09-01,115.0
2022-09-02,115.77999877929688
2022-09-06,117.70999908447266
2022-09-07,123.7300033569336
2022-09-08,122.7300033569336
2022-09-09,124.19000244140625
2022-09-12,124.80000305175781
2022-09-13,118.72000122070312
2022-09-14,120.01000213623047
2022-09-15,120.16999816894531
2022-09-16,118.33999633789062
2022-09-19,117.95999908447266
2022-09-20,117.08999633789062
2022-09-21,116.19000244140625
2022-09-22,111.94999694824219
2022-09-23,113.45999908447266
2022-09-26,110.6500015258789
2022-09-27,113.23999786376953
2022-09-28,115.69000244140625
2022-09-29,114.16000366210938
2022-09-30,115.75
2022-10-03,115.97000122070312
2022-10-04,120.94999694824219
2022-10-05,123.29000091552734
2022-10-06,126.44000244140625
2022-10-07,123.75
2022-10-10,126.16000366210938
2022-10-11,121.3499984741211
2022-10-12,120.58000183105469
2022-10-13,120.91999816894531
2022-10-14,119.44999694824219
2022-10-17,124.7300033569336
2022-10-18,128.16000366210938
2022-10-19,124.3499984741211
2022-10-20,126.61000061035156
