Date,NWS
2022-02-28,22.43000030517578
2022-03-01,21.540000915527344
2022-03-02,22.639999389648438
2022-03-03,21.899999618530273
2022-03-04,21.350000381469727
2022-03-07,20.520000457763672
2022-03-08,20.559999465942383
2022-03-09,21.520000457763672
2022-03-10,21.329999923706055
2022-03-11,21.40999984741211
2022-03-14,21.479999542236328
2022-03-15,21.440000534057617
2022-03-16,22.100000381469727
2022-03-17,22.75
2022-03-18,22.43000030517578
2022-03-21,22.290000915527344
2022-03-22,22.479999542236328
2022-03-23,22.25
2022-03-24,22.850000381469727
2022-03-25,22.950000762939453
2022-03-28,22.860000610351562
2022-03-29,23.209999084472656
2022-03-30,23.059999465942383
2022-03-31,22.520000457763672
2022-04-01,22.309999465942383
2022-04-04,22.450000762939453
2022-04-05,22.350000381469727
2022-04-06,22.040000915527344
2022-04-07,21.68000030517578
2022-04-08,21.68000030517578
2022-04-11,21.479999542236328
2022-04-12,21.3799991607666
2022-04-13,22.079999923706055
2022-04-14,21.479999542236328
2022-04-18,21.469999313354492
2022-04-19,22.1299991607666
2022-04-20,22.190000534057617
2022-04-21,21.709999084472656
2022-04-22,21.110000610351562
2022-04-25,21.1299991607666
2022-04-26,20.290000915527344
2022-04-27,20.440000534057617
2022-04-28,20.469999313354492
2022-04-29,19.90999984741211
2022-05-02,20.309999465942383
2022-05-03,20.25
2022-05-04,20.780000686645508
2022-05-05,19.59000015258789
2022-05-06,16.90999984741211
2022-05-09,17.59000015258789
2022-05-10,17.6200008392334
2022-05-11,17.010000228881836
2022-05-12,17.600000381469727
2022-05-13,17.950000762939453
2022-05-16,17.850000381469727
2022-05-17,18.6299991607666
2022-05-18,17.739999771118164
2022-05-19,17.780000686645508
2022-05-20,17.889999389648438
2022-05-23,17.770000457763672
2022-05-24,16.8700008392334
2022-05-25,17.149999618530273
2022-05-26,17.399999618530273
2022-05-27,17.850000381469727
2022-05-31,17.579999923706055
2022-06-01,17.3799991607666
2022-06-02,18.020000457763672
2022-06-03,17.469999313354492
2022-06-06,17.690000534057617
2022-06-07,17.84000015258789
2022-06-08,17.510000228881836
2022-06-09,17.1299991607666
2022-06-10,16.809999465942383
2022-06-13,15.890000343322754
2022-06-14,15.800000190734863
2022-06-15,15.800000190734863
2022-06-16,15.649999618530273
2022-06-17,15.729999542236328
2022-06-21,15.5
2022-06-22,15.380000114440918
2022-06-23,15.520000457763672
2022-06-24,16.079999923706055
2022-06-27,16.049999237060547
2022-06-28,15.8100004196167
2022-06-29,15.640000343322754
2022-06-30,15.890000343322754
2022-07-01,16.100000381469727
2022-07-05,15.949999809265137
2022-07-06,15.899999618530273
2022-07-07,16.1299991607666
2022-07-08,16.030000686645508
2022-07-11,15.65999984741211
2022-07-12,15.920000076293945
2022-07-13,15.779999732971191
2022-07-14,15.510000228881836
2022-07-15,16.020000457763672
2022-07-18,15.979999542236328
2022-07-19,16.549999237060547
2022-07-20,16.940000534057617
2022-07-21,17.1299991607666
2022-07-22,17.139999389648438
2022-07-25,17.1200008392334
2022-07-26,16.920000076293945
2022-07-27,17.219999313354492
2022-07-28,17.239999771118164
2022-07-29,17.280000686645508
2022-08-01,17.290000915527344
2022-08-02,17.200000762939453
2022-08-03,17.719999313354492
2022-08-04,17.549999237060547
2022-08-05,17.190000534057617
2022-08-08,17.579999923706055
2022-08-09,18.540000915527344
2022-08-10,18.65999984741211
2022-08-11,18.899999618530273
2022-08-12,19.06999969482422
2022-08-15,18.75
2022-08-16,18.899999618530273
2022-08-17,18.639999389648438
2022-08-18,18.579999923706055
2022-08-19,18.219999313354492
2022-08-22,17.780000686645508
2022-08-23,17.65999984741211
2022-08-24,17.81999969482422
2022-08-25,18.110000610351562
2022-08-26,17.709999084472656
2022-08-29,17.6200008392334
2022-08-30,17.450000762939453
2022-08-31,17.239999771118164
2022-09-01,17.270000457763672
2022-09-02,17.299999237060547
2022-09-06,16.790000915527344
2022-09-07,17.100000381469727
2022-09-08,17.040000915527344
2022-09-09,17.719999313354492
2022-09-12,17.950000762939453
2022-09-13,17.110000610351562
2022-09-14,17.1299991607666
2022-09-15,17.450000762939453
2022-09-16,16.90999984741211
2022-09-19,16.920000076293945
2022-09-20,16.860000610351562
2022-09-21,16.329999923706055
2022-09-22,16.030000686645508
2022-09-23,15.670000076293945
2022-09-26,15.350000381469727
2022-09-27,15.270000457763672
2022-09-28,15.680000305175781
2022-09-29,15.319999694824219
2022-09-30,15.420000076293945
2022-10-03,15.899999618530273
2022-10-04,16.68000030517578
2022-10-05,16.43000030517578
2022-10-06,16.190000534057617
2022-10-07,15.850000381469727
2022-10-10,15.819999694824219
2022-10-11,15.760000228881836
2022-10-12,15.859999656677246
2022-10-13,16.280000686645508
2022-10-14,15.960000038146973
2022-10-17,16.360000610351562
2022-10-18,16.469999313354492
2022-10-19,16.75
2022-10-20,16.90999984741211
2022-10-21,17.34000015258789
2022-10-24,17.010000228881836
2022-10-25,17.3700008392334
2022-10-26,17.200000762939453
2022-10-27,16.940000534057617
2022-10-28,17.139999389648438
2022-10-31,17.1299991607666
2022-11-01,17.219999313354492
2022-11-02,16.719999313354492
2022-11-03,16.68000030517578
2022-11-04,16.920000076293945
2022-11-07,16.950000762939453
2022-11-08,17.34000015258789
2022-11-09,16.459999084472656
2022-11-10,17.479999542236328
2022-11-11,18.290000915527344
2022-11-14,18.399999618530273
2022-11-15,18.40999984741211
2022-11-16,18.209999084472656
2022-11-17,18.309999465942383
2022-11-18,18.170000076293945
2022-11-21,17.719999313354492
2022-11-22,18.1299991607666
