Date,TJX
2022-02-28,66.0999984741211
2022-03-01,63.900001525878906
2022-03-02,66.12000274658203
2022-03-03,65.70999908447266
2022-03-04,62.540000915527344
2022-03-07,58.33000183105469
2022-03-08,60.0
2022-03-09,61.189998626708984
2022-03-10,62.04999923706055
2022-03-11,61.43000030517578
2022-03-14,61.25
2022-03-15,61.720001220703125
2022-03-16,62.540000915527344
2022-03-17,62.25
2022-03-18,62.439998626708984
2022-03-21,60.9900016784668
2022-03-22,61.130001068115234
2022-03-23,59.47999954223633
2022-03-24,60.06999969482422
2022-03-25,61.290000915527344
2022-03-28,62.0
2022-03-29,64.30999755859375
2022-03-30,62.0
2022-03-31,60.58000183105469
2022-04-01,60.88999938964844
2022-04-04,62.06999969482422
2022-04-05,61.709999084472656
2022-04-06,60.529998779296875
2022-04-07,61.33000183105469
2022-04-08,61.560001373291016
2022-04-11,61.86000061035156
2022-04-12,62.83000183105469
2022-04-13,63.70000076293945
2022-04-14,62.709999084472656
2022-04-18,62.439998626708984
2022-04-19,65.43000030517578
2022-04-20,66.77999877929688
2022-04-21,65.94000244140625
2022-04-22,62.709999084472656
2022-04-25,63.38999938964844
2022-04-26,61.41999816894531
2022-04-27,61.470001220703125
2022-04-28,63.34000015258789
2022-04-29,61.279998779296875
2022-05-02,62.29999923706055
2022-05-03,62.02000045776367
2022-05-04,64.06999969482422
2022-05-05,61.709999084472656
2022-05-06,60.40999984741211
2022-05-09,59.13999938964844
2022-05-10,56.20000076293945
2022-05-11,54.9900016784668
2022-05-12,56.0
2022-05-13,57.189998626708984
2022-05-16,56.119998931884766
2022-05-17,56.189998626708984
2022-05-18,60.189998626708984
2022-05-19,61.40999984741211
2022-05-20,57.869998931884766
2022-05-23,60.310001373291016
2022-05-24,59.68000030517578
2022-05-25,61.220001220703125
2022-05-26,64.11000061035156
2022-05-27,64.58999633789062
2022-05-31,63.56999969482422
2022-06-01,62.5
2022-06-02,63.77000045776367
2022-06-03,62.029998779296875
2022-06-06,61.72999954223633
2022-06-07,61.04999923706055
2022-06-08,61.43000030517578
2022-06-09,60.650001525878906
2022-06-10,58.970001220703125
2022-06-13,57.33000183105469
2022-06-14,57.33000183105469
2022-06-15,57.630001068115234
2022-06-16,56.7400016784668
2022-06-17,56.619998931884766
2022-06-21,57.4900016784668
2022-06-22,57.06999969482422
2022-06-23,57.29999923706055
2022-06-24,60.2400016784668
2022-06-27,59.810001373291016
2022-06-28,57.47999954223633
2022-06-29,57.09000015258789
2022-06-30,55.849998474121094
2022-07-01,56.040000915527344
2022-07-05,57.58000183105469
2022-07-06,57.970001220703125
2022-07-07,59.4900016784668
