Date,MCO
2022-02-28,322.0299987792969
2022-03-01,322.3500061035156
2022-03-02,325.989990234375
2022-03-03,324.8999938964844
2022-03-04,325.8399963378906
2022-03-07,314.69000244140625
2022-03-08,314.0
2022-03-09,323.30999755859375
2022-03-10,314.0
2022-03-11,304.4700012207031
2022-03-14,301.30999755859375
2022-03-15,306.7099914550781
2022-03-16,314.8599853515625
2022-03-17,321.8299865722656
2022-03-18,331.2300109863281
2022-03-21,326.80999755859375
2022-03-22,330.9800109863281
2022-03-23,326.1199951171875
2022-03-24,329.5
2022-03-25,330.510009765625
2022-03-28,335.760009765625
2022-03-29,339.6199951171875
2022-03-30,338.32000732421875
2022-03-31,337.4100036621094
2022-04-01,340.3299865722656
2022-04-04,342.3800048828125
2022-04-05,342.4599914550781
2022-04-06,341.1099853515625
2022-04-07,343.3800048828125
2022-04-08,342.69000244140625
2022-04-11,334.3699951171875
2022-04-12,332.1400146484375
2022-04-13,333.6600036621094
2022-04-14,328.3999938964844
2022-04-18,328.2300109863281
2022-04-19,333.5400085449219
2022-04-20,335.0400085449219
2022-04-21,329.9200134277344
2022-04-22,322.4200134277344
2022-04-25,325.510009765625
2022-04-26,319.0
2022-04-27,319.489990234375
2022-04-28,326.6000061035156
2022-04-29,316.4800109863281
2022-05-02,301.1300048828125
2022-05-03,309.4200134277344
2022-05-04,317.4100036621094
2022-05-05,304.010009765625
2022-05-06,300.44000244140625
2022-05-09,285.6300048828125
2022-05-10,285.0400085449219
2022-05-11,282.17999267578125
2022-05-12,285.5899963378906
2022-05-13,288.9599914550781
2022-05-16,287.760009765625
2022-05-17,292.8599853515625
2022-05-18,280.6000061035156
2022-05-19,282.760009765625
2022-05-20,289.2699890136719
2022-05-23,295.1499938964844
2022-05-24,292.8800048828125
2022-05-25,291.989990234375
2022-05-26,299.44000244140625
2022-05-27,307.489990234375
2022-05-31,301.57000732421875
2022-06-01,282.3800048828125
2022-06-02,293.57000732421875
2022-06-03,285.2799987792969
2022-06-06,284.5299987792969
2022-06-07,289.3900146484375
2022-06-08,283.8800048828125
2022-06-09,279.44000244140625
2022-06-10,273.2300109863281
2022-06-13,265.3500061035156
2022-06-14,257.67999267578125
2022-06-15,262.29998779296875
2022-06-16,253.63999938964844
2022-06-17,255.8699951171875
2022-06-21,260.05999755859375
2022-06-22,263.1700134277344
2022-06-23,270.0
2022-06-24,277.5
2022-06-27,277.79998779296875
2022-06-28,270.6000061035156
2022-06-29,271.94000244140625
2022-06-30,271.9700012207031
2022-07-01,274.9100036621094
2022-07-05,280.04998779296875
2022-07-06,282.989990234375
2022-07-07,284.94000244140625
2022-07-08,284.1300048828125
2022-07-11,283.6400146484375
2022-07-12,275.45001220703125
2022-07-13,275.7200012207031
2022-07-14,275.20001220703125
2022-07-15,281.6099853515625
2022-07-18,280.8500061035156
2022-07-19,289.1400146484375
2022-07-20,291.0299987792969
2022-07-21,295.95001220703125
2022-07-22,295.4599914550781
2022-07-25,290.5799865722656
2022-07-26,286.57000732421875
2022-07-27,293.6199951171875
2022-07-28,306.2799987792969
2022-07-29,310.25
2022-08-01,307.510009765625
2022-08-02,307.510009765625
2022-08-03,309.9200134277344
2022-08-04,313.2900085449219
2022-08-05,311.07000732421875
2022-08-08,312.8500061035156
2022-08-09,310.5199890136719
2022-08-10,322.5400085449219
2022-08-11,317.6000061035156
2022-08-12,322.9700012207031
2022-08-15,322.29998779296875
2022-08-16,322.19000244140625
2022-08-17,321.55999755859375
2022-08-18,319.8599853515625
2022-08-19,310.8900146484375
2022-08-22,304.42999267578125
2022-08-23,298.6000061035156
2022-08-24,298.8500061035156
2022-08-25,306.04998779296875
2022-08-26,292.9100036621094
2022-08-29,290.1000061035156
2022-08-30,286.79998779296875
2022-08-31,284.5199890136719
2022-09-01,286.7799987792969
2022-09-02,284.3999938964844
2022-09-06,287.8999938964844
2022-09-07,294.42999267578125
2022-09-08,296.1099853515625
2022-09-09,299.5400085449219
2022-09-12,303.3299865722656
2022-09-13,290.7099914550781
2022-09-14,286.2099914550781
2022-09-15,282.30999755859375
2022-09-16,280.2900085449219
2022-09-19,278.510009765625
2022-09-20,270.80999755859375
2022-09-21,266.70001220703125
2022-09-22,255.3000030517578
2022-09-23,254.69000244140625
2022-09-26,250.32000732421875
2022-09-27,249.74000549316406
