Date,HSY
2022-02-28,202.25999450683594
2022-03-01,204.86000061035156
2022-03-02,208.02999877929688
2022-03-03,208.13999938964844
2022-03-04,212.82000732421875
2022-03-07,213.3800048828125
2022-03-08,204.00999450683594
2022-03-09,204.8800048828125
2022-03-10,205.13999938964844
2022-03-11,204.69000244140625
2022-03-14,206.7100067138672
2022-03-15,208.82000732421875
2022-03-16,205.6999969482422
2022-03-17,206.7100067138672
2022-03-18,206.72999572753906
2022-03-21,208.36000061035156
2022-03-22,208.3000030517578
2022-03-23,207.75999450683594
2022-03-24,211.24000549316406
2022-03-25,214.3699951171875
2022-03-28,214.64999389648438
2022-03-29,214.74000549316406
2022-03-30,216.64999389648438
2022-03-31,216.6300048828125
2022-04-01,218.77000427246094
2022-04-04,216.52000427246094
2022-04-05,218.41000366210938
2022-04-06,221.75
2022-04-07,222.7100067138672
2022-04-08,223.72000122070312
2022-04-11,223.92999267578125
2022-04-12,226.02000427246094
2022-04-13,225.5800018310547
2022-04-14,225.97999572753906
2022-04-18,224.41000366210938
2022-04-19,226.97999572753906
2022-04-20,229.67999267578125
2022-04-21,228.7899932861328
2022-04-22,224.13999938964844
2022-04-25,224.97999572753906
2022-04-26,220.1300048828125
2022-04-27,222.24000549316406
2022-04-28,227.97999572753906
2022-04-29,225.77000427246094
2022-05-02,217.52999877929688
2022-05-03,220.07000732421875
2022-05-04,225.3300018310547
2022-05-05,223.83999633789062
2022-05-06,226.0500030517578
2022-05-09,223.1999969482422
2022-05-10,223.14999389648438
2022-05-11,224.6300048828125
2022-05-12,222.52999877929688
2022-05-13,225.91000366210938
2022-05-16,229.32000732421875
2022-05-17,225.41000366210938
2022-05-18,207.69000244140625
2022-05-19,205.1199951171875
2022-05-20,206.97999572753906
2022-05-23,209.25
2022-05-24,213.4499969482422
2022-05-25,211.42999267578125
2022-05-26,209.5399932861328
2022-05-27,212.61000061035156
2022-05-31,211.7100067138672
2022-06-01,209.69000244140625
2022-06-02,209.22999572753906
2022-06-03,209.17999267578125
2022-06-06,211.41000366210938
2022-06-07,211.77000427246094
2022-06-08,210.5500030517578
2022-06-09,209.4499969482422
2022-06-10,213.35000610351562
2022-06-13,210.05999755859375
2022-06-14,206.7899932861328
2022-06-15,206.19000244140625
2022-06-16,202.25999450683594
2022-06-17,206.02999877929688
2022-06-21,215.07000732421875
2022-06-22,214.89999389648438
2022-06-23,218.11000061035156
2022-06-24,220.9600067138672
2022-06-27,220.9600067138672
2022-06-28,218.4199981689453
2022-06-29,218.91000366210938
2022-06-30,215.16000366210938
2022-07-01,221.0
2022-07-05,218.33999633789062
2022-07-06,220.63999938964844
2022-07-07,219.92999267578125
2022-07-08,219.7899932861328
2022-07-11,220.5
2022-07-12,220.1300048828125
2022-07-13,219.77999877929688
2022-07-14,217.8699951171875
2022-07-15,216.8000030517578
2022-07-18,215.05999755859375
2022-07-19,216.11000061035156
2022-07-20,215.3800048828125
2022-07-21,215.91000366210938
2022-07-22,215.9199981689453
2022-07-25,216.86000061035156
2022-07-26,218.00999450683594
2022-07-27,218.22999572753906
2022-07-28,224.27000427246094
2022-07-29,227.9600067138672
2022-08-01,229.77999877929688
2022-08-02,229.16000366210938
2022-08-03,228.1199951171875
2022-08-04,225.24000549316406
2022-08-05,227.11000061035156
2022-08-08,226.33999633789062
2022-08-09,228.2899932861328
2022-08-10,226.4600067138672
2022-08-11,225.17999267578125
2022-08-12,225.75999450683594
2022-08-15,230.32000732421875
2022-08-16,230.72000122070312
2022-08-17,230.47999572753906
2022-08-18,230.64999389648438
2022-08-19,233.17999267578125
2022-08-22,231.4199981689453
2022-08-23,232.55999755859375
2022-08-24,233.3800048828125
2022-08-25,233.36000061035156
2022-08-26,228.6699981689453
2022-08-29,227.88999938964844
2022-08-30,226.2100067138672
2022-08-31,224.6699981689453
2022-09-01,227.55999755859375
2022-09-02,224.0500030517578
2022-09-06,222.75
2022-09-07,228.25
2022-09-08,225.47999572753906
2022-09-09,226.25
2022-09-12,227.17999267578125
2022-09-13,222.89999389648438
2022-09-14,221.75
2022-09-15,219.6199951171875
2022-09-16,219.88999938964844
2022-09-19,222.8699951171875
2022-09-20,222.47000122070312
2022-09-21,223.41000366210938
2022-09-22,225.52000427246094
2022-09-23,223.94000244140625
2022-09-26,223.77999877929688
2022-09-27,221.42999267578125
2022-09-28,226.3000030517578
2022-09-29,223.8000030517578
2022-09-30,220.47000122070312
2022-10-03,224.55999755859375
2022-10-04,225.6699981689453
2022-10-05,225.08999633789062
2022-10-06,220.64999389648438
2022-10-07,220.52000427246094
2022-10-10,223.5500030517578
2022-10-11,225.4600067138672
2022-10-12,224.52999877929688
