Date,CPRT
2022-02-28,30.719999313354492
2022-03-01,30.209999084472656
2022-03-02,30.71500015258789
2022-03-03,30.309999465942383
2022-03-04,29.602500915527344
2022-03-07,27.40999984741211
2022-03-08,27.212499618530273
2022-03-09,28.975000381469727
2022-03-10,28.947500228881836
2022-03-11,28.8799991607666
2022-03-14,29.024999618530273
2022-03-15,30.0674991607666
2022-03-16,31.322500228881836
2022-03-17,31.899999618530273
2022-03-18,32.310001373291016
2022-03-21,31.565000534057617
2022-03-22,31.842500686645508
2022-03-23,31.217500686645508
2022-03-24,31.65999984741211
2022-03-25,31.5575008392334
2022-03-28,31.547500610351562
2022-03-29,32.692501068115234
2022-03-30,31.857500076293945
2022-03-31,31.36750030517578
2022-04-01,31.420000076293945
2022-04-04,31.897499084472656
2022-04-05,31.587499618530273
2022-04-06,31.1924991607666
2022-04-07,31.219999313354492
2022-04-08,31.40999984741211
2022-04-11,30.842500686645508
2022-04-12,30.25
2022-04-13,30.34749984741211
2022-04-14,29.2450008392334
2022-04-18,29.082500457763672
2022-04-19,30.104999542236328
2022-04-20,30.190000534057617
2022-04-21,29.712499618530273
2022-04-22,29.037500381469727
2022-04-25,29.552499771118164
2022-04-26,28.52750015258789
2022-04-27,28.229999542236328
2022-04-28,29.1825008392334
2022-04-29,28.412500381469727
2022-05-02,28.739999771118164
2022-05-03,28.61750030517578
2022-05-04,29.707500457763672
2022-05-05,28.272499084472656
2022-05-06,27.405000686645508
2022-05-09,27.172500610351562
2022-05-10,27.389999389648438
2022-05-11,26.74250030517578
2022-05-12,26.997499465942383
2022-05-13,27.989999771118164
2022-05-16,27.552499771118164
2022-05-17,28.364999771118164
2022-05-18,26.637500762939453
2022-05-19,27.725000381469727
2022-05-20,28.02750015258789
2022-05-23,27.622499465942383
2022-05-24,27.037500381469727
2022-05-25,27.822500228881836
2022-05-26,28.602500915527344
2022-05-27,29.172500610351562
2022-05-31,28.63249969482422
2022-06-01,28.227500915527344
2022-06-02,29.170000076293945
2022-06-03,28.815000534057617
2022-06-06,28.732500076293945
2022-06-07,29.125
2022-06-08,28.68000030517578
2022-06-09,28.09749984741211
2022-06-10,27.075000762939453
2022-06-13,26.217500686645508
2022-06-14,25.897499084472656
2022-06-15,26.612499237060547
2022-06-16,25.69499969482422
2022-06-17,26.237499237060547
2022-06-21,26.489999771118164
2022-06-22,26.612499237060547
2022-06-23,27.540000915527344
2022-06-24,28.219999313354492
2022-06-27,28.0625
