Date,AME
2022-02-28,129.7899932861328
2022-03-01,127.38999938964844
2022-03-02,130.99000549316406
2022-03-03,131.0500030517578
2022-03-04,130.99000549316406
2022-03-07,129.5
2022-03-08,128.8300018310547
2022-03-09,130.50999450683594
2022-03-10,128.17999267578125
2022-03-11,126.33999633789062
2022-03-14,127.08999633789062
2022-03-15,129.3800048828125
2022-03-16,131.3800048828125
2022-03-17,132.75
2022-03-18,134.75999450683594
2022-03-21,134.69000244140625
2022-03-22,134.6199951171875
2022-03-23,132.5500030517578
2022-03-24,132.5
2022-03-25,133.55999755859375
2022-03-28,133.6699981689453
2022-03-29,135.97000122070312
2022-03-30,135.42999267578125
2022-03-31,133.17999267578125
2022-04-01,134.3800048828125
2022-04-04,134.0
2022-04-05,131.7899932861328
2022-04-06,131.92999267578125
2022-04-07,132.3000030517578
2022-04-08,131.82000732421875
2022-04-11,129.8800048828125
2022-04-12,128.69000244140625
2022-04-13,129.5399932861328
2022-04-14,127.05000305175781
2022-04-18,127.27999877929688
2022-04-19,130.1300048828125
2022-04-20,132.11000061035156
2022-04-21,132.25
2022-04-22,127.16999816894531
2022-04-25,127.6500015258789
2022-04-26,125.33000183105469
2022-04-27,126.37999725341797
2022-04-28,128.1300048828125
2022-04-29,126.26000213623047
2022-05-02,126.31999969482422
2022-05-03,124.30999755859375
2022-05-04,127.12999725341797
2022-05-05,122.16999816894531
2022-05-06,123.12999725341797
2022-05-09,121.83999633789062
2022-05-10,120.88999938964844
2022-05-11,120.44000244140625
2022-05-12,120.41000366210938
2022-05-13,121.04000091552734
2022-05-16,120.2699966430664
2022-05-17,121.44999694824219
2022-05-18,116.37000274658203
2022-05-19,116.70999908447266
2022-05-20,117.36000061035156
2022-05-23,119.13999938964844
2022-05-24,118.48999786376953
2022-05-25,118.05000305175781
2022-05-26,120.44000244140625
2022-05-27,122.45999908447266
2022-05-31,121.47000122070312
2022-06-01,120.43000030517578
2022-06-02,123.20999908447266
2022-06-03,122.41000366210938
2022-06-06,122.43000030517578
2022-06-07,123.66999816894531
2022-06-08,121.75
2022-06-09,118.81999969482422
2022-06-10,115.45999908447266
2022-06-13,111.70999908447266
2022-06-14,111.33999633789062
2022-06-15,112.27999877929688
2022-06-16,108.2300033569336
2022-06-17,107.13999938964844
2022-06-21,108.29000091552734
2022-06-22,108.51000213623047
2022-06-23,108.95999908447266
2022-06-24,113.5
2022-06-27,112.70999908447266
2022-06-28,110.12000274658203
2022-06-29,110.54000091552734
2022-06-30,109.88999938964844
2022-07-01,111.45999908447266
2022-07-05,111.4000015258789
2022-07-06,112.33999633789062
2022-07-07,113.41000366210938
2022-07-08,112.3499984741211
2022-07-11,111.93000030517578
2022-07-12,110.26000213623047
2022-07-13,109.58000183105469
2022-07-14,109.7300033569336
2022-07-15,111.69999694824219
2022-07-18,109.0999984741211
2022-07-19,112.9000015258789
2022-07-20,113.81999969482422
2022-07-21,115.62999725341797
2022-07-22,115.33000183105469
2022-07-25,115.5
2022-07-26,116.12999725341797
2022-07-27,118.5999984741211
2022-07-28,120.6500015258789
2022-07-29,123.5
2022-08-01,122.37999725341797
2022-08-02,124.80999755859375
2022-08-03,126.23999786376953
2022-08-04,125.37999725341797
2022-08-05,126.25
2022-08-08,125.66000366210938
2022-08-09,124.83999633789062
2022-08-10,127.05999755859375
2022-08-11,127.18000030517578
2022-08-12,129.30999755859375
2022-08-15,129.5500030517578
2022-08-16,130.30999755859375
2022-08-17,129.63999938964844
2022-08-18,130.1300048828125
2022-08-19,128.89999389648438
2022-08-22,126.1500015258789
2022-08-23,126.37999725341797
2022-08-24,126.56999969482422
2022-08-25,127.30999755859375
2022-08-26,122.66000366210938
2022-08-29,121.94999694824219
2022-08-30,120.3499984741211
2022-08-31,120.16000366210938
2022-09-01,120.43000030517578
2022-09-02,117.83000183105469
2022-09-06,119.51000213623047
2022-09-07,122.62999725341797
2022-09-08,123.98999786376953
2022-09-09,125.77999877929688
2022-09-12,126.83000183105469
2022-09-13,123.25
2022-09-14,123.05999755859375
2022-09-15,121.44000244140625
2022-09-16,118.94999694824219
2022-09-19,120.52999877929688
2022-09-20,118.86000061035156
2022-09-21,117.55999755859375
2022-09-22,115.51000213623047
2022-09-23,114.43000030517578
2022-09-26,113.66999816894531
2022-09-27,111.80999755859375
2022-09-28,114.36000061035156
2022-09-29,113.27999877929688
2022-09-30,113.41000366210938
2022-10-03,117.55000305175781
2022-10-04,121.12000274658203
2022-10-05,121.08000183105469
2022-10-06,119.70999908447266
2022-10-07,116.29000091552734
2022-10-10,115.52999877929688
2022-10-11,115.05999755859375
2022-10-12,113.98999786376953
2022-10-13,115.80000305175781
2022-10-14,113.26000213623047
2022-10-17,116.95999908447266
2022-10-18,119.12000274658203
2022-10-19,117.98999786376953
2022-10-20,115.0999984741211
2022-10-21,119.18000030517578
2022-10-24,120.44999694824219
2022-10-25,123.04000091552734
2022-10-26,123.73999786376953
2022-10-27,124.62000274658203
2022-10-28,129.27999877929688
2022-10-31,129.66000366210938
2022-11-01,132.02999877929688
2022-11-02,130.08999633789062
2022-11-03,131.72000122070312
2022-11-04,135.25
2022-11-07,136.39999389648438
2022-11-08,137.22000122070312
2022-11-09,135.69000244140625
2022-11-10,140.67999267578125
2022-11-11,138.85000610351562
2022-11-14,137.77999877929688
2022-11-15,138.5800018310547
2022-11-16,138.57000732421875
2022-11-17,138.02999877929688
2022-11-18,139.32000732421875
2022-11-21,140.47999572753906
2022-11-22,141.63999938964844
2022-11-23,142.0800018310547
2022-11-25,142.57000732421875
