Date,MMM
2022-02-28,124.28929901123047
2022-03-01,121.02842712402344
2022-03-02,123.09364318847656
2022-03-03,123.99665832519531
2022-03-04,122.68394470214844
2022-03-07,119.79933166503906
2022-03-08,121.57190704345703
2022-03-09,122.57524871826172
2022-03-10,120.34281158447266
2022-03-11,117.85953521728516
2022-03-14,119.966552734375
2022-03-15,120.66053771972656
2022-03-16,121.66387939453125
2022-03-17,123.48662567138672
2022-03-18,124.01337432861328
2022-03-21,124.23076629638672
2022-03-22,125.36788940429688
2022-03-23,123.47826385498047
2022-03-24,124.56521606445312
2022-03-25,125.80267333984375
2022-03-28,124.97491455078125
2022-03-29,127.15718841552734
2022-03-30,126.61370849609375
2022-03-31,124.48160552978516
2022-04-01,125.15885925292969
2022-04-04,125.02508544921875
2022-04-05,124.49832916259766
2022-04-06,125.66889953613281
2022-04-07,125.37625122070312
2022-04-08,125.25919342041016
2022-04-11,125.51839447021484
2022-04-12,124.23076629638672
2022-04-13,124.29766082763672
2022-04-14,123.22742462158203
2022-04-18,122.22408294677734
2022-04-19,125.50167083740234
2022-04-20,125.91136932373047
2022-04-21,126.89799499511719
2022-04-22,124.72408294677734
2022-04-25,124.24748992919922
2022-04-26,120.58528137207031
2022-04-27,120.57691955566406
2022-04-28,123.0267562866211
2022-04-29,120.58528137207031
2022-05-02,121.99832916259766
2022-05-03,123.81270599365234
2022-05-04,128.95484924316406
2022-05-05,124.966552734375
2022-05-06,125.02508544921875
2022-05-09,127.40802764892578
2022-05-10,124.6822738647461
2022-05-11,122.41638946533203
2022-05-12,125.07524871826172
2022-05-13,124.83277893066406
2022-05-16,125.83612060546875
2022-05-17,127.37458038330078
2022-05-18,124.5234146118164
2022-05-19,122.87625122070312
2022-05-20,120.25919342041016
2022-05-23,120.71906280517578
2022-05-24,121.86454772949219
2022-05-25,121.89799499511719
2022-05-26,122.94314575195312
2022-05-27,125.00836181640625
2022-05-31,124.82441711425781
2022-06-01,122.42475128173828
2022-06-02,123.89632415771484
2022-06-03,122.04849243164062
2022-06-06,122.24916076660156
2022-06-07,122.8010025024414
2022-06-08,121.58863067626953
2022-06-09,120.55184173583984
2022-06-10,115.09197235107422
2022-06-13,114.02173614501953
2022-06-14,113.08528137207031
2022-06-15,112.31605529785156
2022-06-16,109.48160552978516
2022-06-17,108.56187438964844
2022-06-21,108.70401000976562
2022-06-22,109.03009796142578
2022-06-23,108.8210678100586
2022-06-24,112.31605529785156
2022-06-27,111.03678894042969
2022-06-28,108.97157287597656
2022-06-29,108.50334167480469
2022-06-30,108.20233917236328
2022-07-01,107.43311309814453
2022-07-05,108.03511810302734
2022-07-06,108.56187438964844
2022-07-07,108.73745727539062
2022-07-08,107.62541961669922
2022-07-11,107.86788940429688
2022-07-12,108.86287689208984
2022-07-13,107.33277893066406
2022-07-14,107.28260803222656
2022-07-15,108.80435180664062
2022-07-18,107.7842788696289
2022-07-19,110.4765853881836
2022-07-20,111.21237182617188
2022-07-21,111.99832916259766
2022-07-22,112.14046478271484
2022-07-25,112.14046478271484
2022-07-26,117.68394470214844
2022-07-27,116.10367584228516
2022-07-28,117.36621856689453
2022-07-29,119.76588439941406
2022-08-01,119.86621856689453
2022-08-02,118.52006530761719
2022-08-03,119.97491455078125
2022-08-04,123.84615325927734
2022-08-05,123.25251007080078
2022-08-08,124.14715576171875
2022-08-09,123.6120376586914
2022-08-10,124.89966583251953
2022-08-11,125.13378143310547
2022-08-12,127.29096984863281
2022-08-15,126.61370849609375
2022-08-16,125.63545227050781
2022-08-17,123.26923370361328
2022-08-18,122.64214324951172
2022-08-19,121.40467834472656
2022-08-22,118.38629150390625
2022-08-23,118.52006530761719
2022-08-24,117.92642211914062
2022-08-25,119.36454772949219
2022-08-26,107.9765853881836
2022-08-29,105.71906280517578
2022-08-30,104.39799499511719
2022-08-31,103.97157287597656
2022-09-01,105.04180908203125
2022-09-02,101.71405029296875
2022-09-06,97.49163818359375
2022-09-07,100.7943115234375
2022-09-08,99.72408294677734
2022-09-09,102.92642211914062
2022-09-12,103.8879623413086
2022-09-13,100.72742462158203
2022-09-14,98.26923370361328
2022-09-15,97.34114074707031
2022-09-16,97.5
2022-09-19,97.52508544921875
2022-09-20,97.42475128173828
2022-09-21,95.99497985839844
2022-09-22,95.43478393554688
2022-09-23,94.4732437133789
2022-09-26,94.48160552978516
2022-09-27,93.98829650878906
2022-09-28,95.55184173583984
2022-09-29,93.89632415771484
2022-09-30,92.39130401611328
2022-10-03,94.6655502319336
2022-10-04,96.6722412109375
2022-10-05,96.29598999023438
2022-10-06,92.90969848632812
