Date,FSLR
2022-02-28,75.29000091552734
2022-03-01,75.62000274658203
2022-03-02,69.51000213623047
2022-03-03,67.37000274658203
2022-03-04,71.8499984741211
2022-03-07,75.0
2022-03-08,79.5199966430664
2022-03-09,78.88999938964844
2022-03-10,76.5
2022-03-11,75.38999938964844
2022-03-14,71.98999786376953
2022-03-15,74.95999908447266
2022-03-16,77.58999633789062
2022-03-17,78.22000122070312
2022-03-18,77.5999984741211
2022-03-21,77.38999938964844
2022-03-22,79.08000183105469
2022-03-23,77.98999786376953
2022-03-24,79.52999877929688
2022-03-25,79.6500015258789
2022-03-28,84.08999633789062
2022-03-29,84.58999633789062
2022-03-30,81.94000244140625
2022-03-31,83.73999786376953
2022-04-01,84.01000213623047
2022-04-04,83.95999908447266
2022-04-05,80.33000183105469
2022-04-06,78.12999725341797
2022-04-07,78.54000091552734
2022-04-08,77.61000061035156
2022-04-11,78.86000061035156
2022-04-12,79.0999984741211
2022-04-13,79.69999694824219
2022-04-14,78.12000274658203
2022-04-18,78.66000366210938
2022-04-19,78.7300033569336
2022-04-20,76.93000030517578
2022-04-21,74.43000030517578
2022-04-22,72.37000274658203
2022-04-25,72.44999694824219
2022-04-26,71.44000244140625
2022-04-27,72.13999938964844
2022-04-28,72.26000213623047
2022-04-29,73.02999877929688
2022-05-02,73.63999938964844
2022-05-03,75.11000061035156
2022-05-04,78.69999694824219
2022-05-05,76.41000366210938
2022-05-06,72.13999938964844
2022-05-09,68.25
2022-05-10,67.58000183105469
2022-05-11,61.720001220703125
2022-05-12,61.400001525878906
2022-05-13,64.25
2022-05-16,62.77000045776367
2022-05-17,65.4000015258789
2022-05-18,65.36000061035156
2022-05-19,66.47000122070312
2022-05-20,65.7699966430664
2022-05-23,66.05999755859375
2022-05-24,64.58999633789062
2022-05-25,66.04000091552734
2022-05-26,68.08000183105469
2022-05-27,72.01000213623047
2022-05-31,70.61000061035156
2022-06-01,70.87000274658203
2022-06-02,74.23999786376953
2022-06-03,74.93000030517578
2022-06-06,71.98999786376953
2022-06-07,72.0
2022-06-08,71.69000244140625
2022-06-09,69.83000183105469
2022-06-10,68.0
2022-06-13,63.130001068115234
2022-06-14,61.95000076293945
2022-06-15,64.02999877929688
2022-06-16,62.0099983215332
2022-06-17,66.70999908447266
2022-06-21,68.19999694824219
2022-06-22,67.5999984741211
2022-06-23,69.5999984741211
2022-06-24,70.06999969482422
2022-06-27,70.62000274658203
2022-06-28,67.75
2022-06-29,66.83999633789062
2022-06-30,68.12999725341797
2022-07-01,68.1500015258789
2022-07-05,66.2300033569336
2022-07-06,66.16000366210938
2022-07-07,70.63999938964844
2022-07-08,72.51000213623047
2022-07-11,69.29000091552734
2022-07-12,68.41999816894531
2022-07-13,69.16000366210938
2022-07-14,71.04000091552734
2022-07-15,65.2699966430664
2022-07-18,67.01000213623047
2022-07-19,70.6500015258789
2022-07-20,72.9800033569336
2022-07-21,73.26000213623047
2022-07-22,72.58999633789062
2022-07-25,74.1500015258789
2022-07-26,73.56999969482422
2022-07-27,76.76000213623047
2022-07-28,88.5
2022-07-29,99.16999816894531
2022-08-01,99.48999786376953
2022-08-02,99.72000122070312
2022-08-03,97.88999938964844
2022-08-04,99.16999816894531
2022-08-05,101.9000015258789
2022-08-08,106.73999786376953
2022-08-09,109.01000213623047
2022-08-10,114.51000213623047
2022-08-11,114.58000183105469
2022-08-12,117.97000122070312
2022-08-15,118.22000122070312
2022-08-16,116.98999786376953
