Date,FCX
2022-02-28,46.95000076293945
2022-03-01,47.90999984741211
2022-03-02,48.15999984741211
2022-03-03,49.09000015258789
2022-03-04,50.11000061035156
2022-03-07,47.150001525878906
2022-03-08,46.66999816894531
2022-03-09,46.9900016784668
2022-03-10,47.709999084472656
2022-03-11,46.93000030517578
2022-03-14,44.52000045776367
2022-03-15,44.279998779296875
2022-03-16,46.41999816894531
2022-03-17,48.59000015258789
2022-03-18,48.08000183105469
2022-03-21,49.5099983215332
2022-03-22,49.86000061035156
2022-03-23,49.810001373291016
2022-03-24,51.45000076293945
2022-03-25,51.93000030517578
2022-03-28,50.27000045776367
2022-03-29,50.09000015258789
2022-03-30,50.779998779296875
2022-03-31,49.7400016784668
2022-04-01,50.959999084472656
2022-04-04,50.900001525878906
2022-04-05,49.09000015258789
2022-04-06,48.060001373291016
2022-04-07,48.47999954223633
2022-04-08,48.970001220703125
2022-04-11,47.720001220703125
2022-04-12,48.0
2022-04-13,49.43000030517578
2022-04-14,49.189998626708984
2022-04-18,50.77000045776367
2022-04-19,50.63999938964844
2022-04-20,49.900001525878906
2022-04-21,44.95000076293945
2022-04-22,41.90999984741211
2022-04-25,41.650001525878906
2022-04-26,40.18000030517578
2022-04-27,41.689998626708984
2022-04-28,41.84000015258789
2022-04-29,40.54999923706055
2022-05-02,40.18000030517578
2022-05-03,40.150001525878906
2022-05-04,41.29999923706055
2022-05-05,39.63999938964844
2022-05-06,37.880001068115234
2022-05-09,35.52000045776367
2022-05-10,36.06999969482422
2022-05-11,35.90999984741211
2022-05-12,34.34000015258789
2022-05-13,35.040000915527344
2022-05-16,35.150001525878906
2022-05-17,37.63999938964844
2022-05-18,35.34000015258789
2022-05-19,36.720001220703125
2022-05-20,36.310001373291016
2022-05-23,38.349998474121094
2022-05-24,37.47999954223633
2022-05-25,37.83000183105469
2022-05-26,38.4900016784668
2022-05-27,39.650001525878906
2022-05-31,39.08000183105469
2022-06-01,39.63999938964844
2022-06-02,41.720001220703125
2022-06-03,41.33000183105469
2022-06-06,42.779998779296875
2022-06-07,43.38999938964844
2022-06-08,42.20000076293945
2022-06-09,40.52000045776367
2022-06-10,40.209999084472656
2022-06-13,37.16999816894531
2022-06-14,36.81999969482422
2022-06-15,36.900001525878906
2022-06-16,34.869998931884766
2022-06-17,33.81999969482422
2022-06-21,34.029998779296875
2022-06-22,31.31999969482422
2022-06-23,29.56999969482422
2022-06-24,30.989999771118164
2022-06-27,31.020000457763672
2022-06-28,30.780000686645508
2022-06-29,30.290000915527344
2022-06-30,29.260000228881836
2022-07-01,29.200000762939453
2022-07-05,27.260000228881836
2022-07-06,27.3799991607666
2022-07-07,29.219999313354492
2022-07-08,28.0
2022-07-11,26.90999984741211
2022-07-12,26.299999237060547
2022-07-13,26.440000534057617
2022-07-14,25.09000015258789
2022-07-15,25.81999969482422
2022-07-18,27.420000076293945
2022-07-19,28.5
2022-07-20,28.56999969482422
2022-07-21,28.90999984741211
2022-07-22,27.760000228881836
2022-07-25,28.290000915527344
2022-07-26,27.93000030517578
2022-07-27,29.290000915527344
2022-07-28,29.829999923706055
