Date,IEX
2022-02-28,191.89999389648438
2022-03-01,188.72000122070312
2022-03-02,193.08999633789062
2022-03-03,194.5399932861328
2022-03-04,192.16000366210938
2022-03-07,188.3800048828125
2022-03-08,183.2899932861328
2022-03-09,191.94000244140625
2022-03-10,188.83999633789062
2022-03-11,189.63999938964844
2022-03-14,189.08999633789062
2022-03-15,192.67999267578125
2022-03-16,196.1300048828125
2022-03-17,197.97000122070312
2022-03-18,198.99000549316406
2022-03-21,198.47000122070312
2022-03-22,197.25
2022-03-23,193.39999389648438
2022-03-24,194.2100067138672
2022-03-25,195.1699981689453
2022-03-28,194.7100067138672
2022-03-29,198.4499969482422
2022-03-30,195.3699951171875
2022-03-31,191.72999572753906
2022-04-01,192.16000366210938
2022-04-04,193.47999572753906
2022-04-05,192.1300048828125
2022-04-06,194.58999633789062
2022-04-07,198.72000122070312
2022-04-08,196.83999633789062
2022-04-11,195.1300048828125
2022-04-12,193.75999450683594
2022-04-13,195.10000610351562
2022-04-14,190.55999755859375
2022-04-18,189.0500030517578
2022-04-19,193.61000061035156
2022-04-20,197.1699981689453
2022-04-21,196.02999877929688
2022-04-22,191.4199981689453
2022-04-25,191.7100067138672
2022-04-26,186.85000610351562
2022-04-27,192.14999389648438
2022-04-28,195.94000244140625
2022-04-29,189.82000732421875
2022-05-02,190.0800018310547
2022-05-03,191.13999938964844
2022-05-04,197.49000549316406
2022-05-05,189.75999450683594
2022-05-06,188.05999755859375
2022-05-09,189.0
2022-05-10,184.7899932861328
2022-05-11,182.5399932861328
2022-05-12,184.47999572753906
2022-05-13,186.1699981689453
2022-05-16,185.47000122070312
2022-05-17,189.1300048828125
2022-05-18,181.52999877929688
2022-05-19,183.19000244140625
2022-05-20,185.49000549316406
2022-05-23,185.5
2022-05-24,187.47000122070312
2022-05-25,185.24000549316406
2022-05-26,189.11000061035156
2022-05-27,192.13999938964844
2022-05-31,191.5500030517578
2022-06-01,191.39999389648438
2022-06-02,196.17999267578125
2022-06-03,195.16000366210938
2022-06-06,195.00999450683594
2022-06-07,196.82000732421875
2022-06-08,194.42999267578125
2022-06-09,191.14999389648438
2022-06-10,185.27999877929688
