Date,TGT
2022-02-28,199.77000427246094
2022-03-01,219.42999267578125
2022-03-02,224.89999389648438
2022-03-03,223.83999633789062
2022-03-04,224.10000610351562
2022-03-07,211.0399932861328
2022-03-08,208.80999755859375
2022-03-09,216.0
2022-03-10,214.77999877929688
2022-03-11,206.97000122070312
2022-03-14,208.75999450683594
2022-03-15,215.35000610351562
2022-03-16,215.58999633789062
2022-03-17,220.6300048828125
2022-03-18,226.0500030517578
2022-03-21,223.0
2022-03-22,222.77000427246094
2022-03-23,216.72000122070312
2022-03-24,217.0399932861328
2022-03-25,218.61000061035156
2022-03-28,219.52000427246094
2022-03-29,222.92999267578125
2022-03-30,221.9600067138672
2022-03-31,212.22000122070312
2022-04-01,210.5399932861328
2022-04-04,214.41000366210938
2022-04-05,214.7899932861328
2022-04-06,215.94000244140625
2022-04-07,228.19000244140625
2022-04-08,233.33999633789062
2022-04-11,229.30999755859375
2022-04-12,231.33999633789062
2022-04-13,233.82000732421875
2022-04-14,237.1999969482422
2022-04-18,239.38999938964844
2022-04-19,246.0500030517578
2022-04-20,249.32000732421875
2022-04-21,248.1699981689453
2022-04-22,241.67999267578125
2022-04-25,241.66000366210938
2022-04-26,236.5
2022-04-27,230.97000122070312
2022-04-28,236.38999938964844
2022-04-29,228.64999389648438
2022-05-02,229.77999877929688
2022-05-03,232.5399932861328
2022-05-04,237.42999267578125
2022-05-05,230.75999450683594
2022-05-06,225.2100067138672
2022-05-09,224.1999969482422
2022-05-10,219.11000061035156
2022-05-11,213.49000549316406
2022-05-12,217.27000427246094
2022-05-13,219.72999572753906
2022-05-16,219.25
2022-05-17,215.27999877929688
2022-05-18,161.61000061035156
2022-05-19,153.42999267578125
2022-05-20,155.36000061035156
2022-05-23,153.89999389648438
2022-05-24,149.9499969482422
2022-05-25,156.4199981689453
2022-05-26,163.1999969482422
2022-05-27,167.13999938964844
2022-05-31,161.8800048828125
2022-06-01,156.52000427246094
2022-06-02,160.91000366210938
2022-06-03,161.0399932861328
2022-06-06,159.6699981689453
2022-06-07,155.97999572753906
2022-06-08,156.6999969482422
2022-06-09,154.5500030517578
2022-06-10,149.6699981689453
2022-06-13,144.80999755859375
2022-06-14,142.6999969482422
2022-06-15,147.44000244140625
2022-06-16,142.88999938964844
2022-06-17,139.3000030517578
2022-06-21,144.6999969482422
2022-06-22,140.80999755859375
2022-06-23,146.80999755859375
2022-06-24,150.4199981689453
2022-06-27,149.61000061035156
2022-06-28,144.52000427246094
2022-06-29,141.89999389648438
2022-06-30,141.22999572753906
2022-07-01,142.3800048828125
2022-07-05,145.7100067138672
2022-07-06,144.80999755859375
2022-07-07,149.9600067138672
2022-07-08,147.99000549316406
2022-07-11,146.38999938964844
2022-07-12,144.55999755859375
2022-07-13,145.44000244140625
2022-07-14,146.2899932861328
2022-07-15,146.6699981689453
2022-07-18,149.36000061035156
2022-07-19,153.36000061035156
2022-07-20,156.5
2022-07-21,158.66000366210938
2022-07-22,157.74000549316406
2022-07-25,157.49000549316406
2022-07-26,151.80999755859375
2022-07-27,154.60000610351562
2022-07-28,159.4199981689453
2022-07-29,163.3800048828125
2022-08-01,165.5500030517578
2022-08-02,163.47999572753906
2022-08-03,167.9199981689453
2022-08-04,166.55999755859375
2022-08-05,166.1300048828125
2022-08-08,166.97000122070312
2022-08-09,165.1199951171875
2022-08-10,169.6699981689453
2022-08-11,169.60000610351562
2022-08-12,172.47999572753906
2022-08-15,173.38999938964844
2022-08-16,180.19000244140625
2022-08-17,175.33999633789062
2022-08-18,173.0500030517578
2022-08-19,167.0399932861328
2022-08-22,161.9600067138672
2022-08-23,161.97000122070312
2022-08-24,163.1300048828125
2022-08-25,167.5
2022-08-26,160.6199951171875
2022-08-29,158.69000244140625
2022-08-30,160.77999877929688
2022-08-31,160.33999633789062
2022-09-01,164.83999633789062
2022-09-02,164.60000610351562
2022-09-06,163.5800018310547
2022-09-07,170.7899932861328
2022-09-08,171.89999389648438
2022-09-09,173.64999389648438
2022-09-12,173.85000610351562
2022-09-13,166.24000549316406
2022-09-14,165.3800048828125
2022-09-15,165.00999450683594
2022-09-16,164.08999633789062
2022-09-19,164.75999450683594
2022-09-20,160.02999877929688
2022-09-21,159.02999877929688
2022-09-22,152.9600067138672
2022-09-23,152.61000061035156
2022-09-26,148.7100067138672
2022-09-27,148.47000122070312
2022-09-28,155.8699951171875
2022-09-29,151.7899932861328
2022-09-30,148.38999938964844
2022-10-03,151.7899932861328
2022-10-04,156.9600067138672
2022-10-05,156.41000366210938
2022-10-06,155.75
2022-10-07,152.33999633789062
2022-10-10,153.10000610351562
2022-10-11,154.5
2022-10-12,154.16000366210938
2022-10-13,154.1199951171875
2022-10-14,145.69000244140625
2022-10-17,149.25
2022-10-18,157.22999572753906
2022-10-19,155.38999938964844
2022-10-20,154.39999389648438
2022-10-21,159.19000244140625
2022-10-24,161.82000732421875
2022-10-25,165.8000030517578
2022-10-26,166.77000427246094
2022-10-27,166.89999389648438
2022-10-28,167.52000427246094
2022-10-31,164.25
2022-11-01,164.58999633789062
2022-11-02,160.1999969482422
2022-11-03,159.8000030517578
2022-11-04,159.6300048828125
2022-11-07,159.8699951171875
2022-11-08,161.6199951171875
2022-11-09,152.99000549316406
2022-11-10,164.3800048828125
2022-11-11,173.32000732421875
2022-11-14,173.25999450683594
2022-11-15,178.97999572753906
2022-11-16,155.47000122070312
