Date,GL
2022-02-28,100.95999908447266
2022-03-01,97.0
2022-03-02,99.94000244140625
2022-03-03,99.62999725341797
2022-03-04,97.19000244140625
2022-03-07,94.23999786376953
2022-03-08,94.63999938964844
2022-03-09,97.44999694824219
2022-03-10,96.08000183105469
2022-03-11,96.8499984741211
2022-03-14,97.13999938964844
2022-03-15,97.72000122070312
2022-03-16,99.45999908447266
2022-03-17,98.62000274658203
2022-03-18,98.2300033569336
2022-03-21,99.51000213623047
2022-03-22,101.38999938964844
2022-03-23,99.63999938964844
2022-03-24,100.43000030517578
2022-03-25,102.2699966430664
2022-03-28,102.02999877929688
2022-03-29,102.88999938964844
2022-03-30,102.0999984741211
2022-03-31,100.5999984741211
2022-04-01,100.5
2022-04-04,99.01000213623047
2022-04-05,100.83000183105469
2022-04-06,101.56999969482422
2022-04-07,101.5
2022-04-08,102.52999877929688
2022-04-11,102.81999969482422
2022-04-12,101.44000244140625
2022-04-13,102.30999755859375
2022-04-14,102.93000030517578
2022-04-18,101.87000274658203
2022-04-19,102.69000244140625
2022-04-20,105.3499984741211
2022-04-21,105.91000366210938
2022-04-22,103.45999908447266
2022-04-25,102.02999877929688
2022-04-26,100.02999877929688
2022-04-27,100.55000305175781
2022-04-28,101.79000091552734
2022-04-29,98.08000183105469
2022-05-02,98.0999984741211
2022-05-03,99.04000091552734
2022-05-04,102.08999633789062
2022-05-05,99.45999908447266
2022-05-06,100.02999877929688
2022-05-09,98.54000091552734
2022-05-10,97.3499984741211
2022-05-11,97.16000366210938
2022-05-12,95.1500015258789
2022-05-13,96.18000030517578
2022-05-16,96.2699966430664
2022-05-17,98.27999877929688
2022-05-18,95.80999755859375
2022-05-19,93.87999725341797
2022-05-20,93.55999755859375
2022-05-23,95.66000366210938
2022-05-24,94.73999786376953
2022-05-25,95.20999908447266
2022-05-26,96.93000030517578
2022-05-27,98.0999984741211
2022-05-31,97.56999969482422
2022-06-01,97.31999969482422
2022-06-02,98.04000091552734
2022-06-03,96.4000015258789
2022-06-06,97.72000122070312
2022-06-07,99.0199966430664
2022-06-08,97.22000122070312
2022-06-09,95.43000030517578
2022-06-10,91.81999969482422
2022-06-13,88.37999725341797
2022-06-14,89.44999694824219
2022-06-15,93.26000213623047
2022-06-16,90.44000244140625
2022-06-17,92.11000061035156
2022-06-21,94.76000213623047
2022-06-22,94.41000366210938
2022-06-23,94.7699966430664
2022-06-24,99.16000366210938
2022-06-27,98.86000061035156
2022-06-28,98.05999755859375
2022-06-29,97.94000244140625
2022-06-30,97.47000122070312
2022-07-01,100.33999633789062
2022-07-05,97.54000091552734
2022-07-06,98.43000030517578
2022-07-07,98.94000244140625
2022-07-08,99.2699966430664
2022-07-11,100.51000213623047
2022-07-12,100.13999938964844
2022-07-13,97.98999786376953
2022-07-14,97.2300033569336
2022-07-15,98.81999969482422
2022-07-18,98.16000366210938
2022-07-19,100.5
2022-07-20,99.7300033569336
2022-07-21,100.72000122070312
2022-07-22,100.66999816894531
2022-07-25,101.41000366210938
2022-07-26,100.6500015258789
2022-07-27,101.33999633789062
2022-07-28,99.5
2022-07-29,100.7300033569336
2022-08-01,99.08999633789062
2022-08-02,97.81999969482422
2022-08-03,98.9800033569336
2022-08-04,97.72000122070312
2022-08-05,97.87999725341797
2022-08-08,98.1500015258789
2022-08-09,100.16000366210938
2022-08-10,101.58999633789062
2022-08-11,101.55000305175781
2022-08-12,103.26000213623047
2022-08-15,102.81999969482422
2022-08-16,103.5199966430664
2022-08-17,103.41999816894531
2022-08-18,105.0199966430664
2022-08-19,103.97000122070312
2022-08-22,100.95999908447266
2022-08-23,100.29000091552734
2022-08-24,100.62000274658203
2022-08-25,101.19000244140625
2022-08-26,98.76000213623047
2022-08-29,97.94000244140625
2022-08-30,97.83000183105469
2022-08-31,97.19000244140625
2022-09-01,97.51000213623047
2022-09-02,96.79000091552734
2022-09-06,97.4800033569336
2022-09-07,99.80000305175781
2022-09-08,100.91999816894531
2022-09-09,102.75
2022-09-12,103.5
2022-09-13,101.97000122070312
2022-09-14,101.16999816894531
2022-09-15,101.77999877929688
2022-09-16,102.26000213623047
2022-09-19,103.4000015258789
2022-09-20,103.6500015258789
2022-09-21,103.73999786376953
2022-09-22,102.80000305175781
2022-09-23,99.94999694824219
2022-09-26,99.04000091552734
2022-09-27,98.48999786376953
2022-09-28,100.93000030517578
2022-09-29,100.23999786376953
2022-09-30,99.69999694824219
2022-10-03,102.08999633789062
2022-10-04,106.66000366210938
2022-10-05,106.5199966430664
2022-10-06,106.66000366210938
2022-10-07,105.9800033569336
2022-10-10,107.20999908447266
2022-10-11,106.69000244140625
2022-10-12,106.83999633789062
2022-10-13,110.30000305175781
2022-10-14,109.04000091552734
2022-10-17,110.63999938964844
2022-10-18,113.3499984741211
2022-10-19,112.55999755859375
2022-10-20,109.80000305175781
2022-10-21,113.5
2022-10-24,115.06999969482422
2022-10-25,114.63999938964844
2022-10-26,114.36000061035156
2022-10-27,111.91000366210938
2022-10-28,113.70999908447266
2022-10-31,115.5199966430664
2022-11-01,114.19999694824219
2022-11-02,112.26000213623047
2022-11-03,112.31999969482422
2022-11-04,113.98999786376953
2022-11-07,113.44000244140625
2022-11-08,113.41000366210938
2022-11-09,112.5
2022-11-10,113.8499984741211
2022-11-11,109.70999908447266
2022-11-14,110.63999938964844
2022-11-15,112.63999938964844
2022-11-16,112.66000366210938
2022-11-17,112.87999725341797
2022-11-18,113.72000122070312
2022-11-21,115.08999633789062
2022-11-22,116.27999877929688
2022-11-23,116.7699966430664
2022-11-25,117.30000305175781
2022-11-28,116.12999725341797
2022-11-29,117.30000305175781
2022-11-30,119.95999908447266
2022-12-01,120.41000366210938
2022-12-02,121.13999938964844
2022-12-05,118.79000091552734
2022-12-06,119.20999908447266
2022-12-07,119.12999725341797
2022-12-08,117.61000061035156
2022-12-09,116.5199966430664
2022-12-12,117.38999938964844
2022-12-13,116.79000091552734
2022-12-14,118.08000183105469
2022-12-15,116.25
2022-12-16,116.5
2022-12-19,117.86000061035156
2022-12-20,118.19000244140625
2022-12-21,120.48999786376953
2022-12-22,118.41000366210938
2022-12-23,120.13999938964844
2022-12-27,120.69999694824219
2022-12-28,119.83999633789062
2022-12-29,120.69999694824219
2022-12-30,120.55000305175781
2023-01-03,119.58999633789062
2023-01-04,120.01000213623047
2023-01-05,120.19000244140625
2023-01-06,123.37000274658203
2023-01-09,120.27999877929688
2023-01-10,121.52999877929688
2023-01-11,121.94000244140625
2023-01-12,121.37999725341797
2023-01-13,121.27999877929688
2023-01-17,120.55999755859375
2023-01-18,118.62999725341797
2023-01-19,117.31999969482422
2023-01-20,117.41999816894531
2023-01-23,117.6500015258789
2023-01-24,119.43000030517578
2023-01-25,120.73999786376953
2023-01-26,121.31999969482422
2023-01-27,119.6500015258789
2023-01-30,119.86000061035156
2023-01-31,120.8499984741211
2023-02-01,120.19999694824219
2023-02-02,116.75
2023-02-03,120.16000366210938
2023-02-06,121.48999786376953
2023-02-07,121.70999908447266
2023-02-08,121.73999786376953
2023-02-09,120.1500015258789
2023-02-10,121.52999877929688
2023-02-13,122.75
2023-02-14,120.69000244140625
2023-02-15,121.04000091552734
2023-02-16,121.54000091552734
2023-02-17,122.93000030517578
2023-02-21,120.79000091552734
2023-02-22,120.48999786376953
2023-02-23,120.4800033569336
2023-02-24,122.02999877929688
2023-02-27,120.91000366210938
2023-02-28,121.69000244140625
2023-03-01,121.66000366210938
2023-03-02,120.80999755859375
2023-03-03,120.58000183105469
2023-03-06,120.7300033569336
2023-03-07,120.0199966430664
2023-03-08,118.4000015258789
2023-03-09,116.20999908447266
2023-03-10,113.97000122070312
2023-03-13,106.77999877929688
2023-03-14,111.0199966430664
2023-03-15,107.62000274658203
2023-03-16,108.79000091552734
2023-03-17,105.05000305175781
2023-03-20,107.55000305175781
2023-03-21,109.88999938964844
2023-03-22,107.04000091552734
2023-03-23,106.36000061035156
2023-03-24,106.69000244140625
2023-03-27,108.51000213623047
2023-03-28,108.77999877929688
2023-03-29,109.23999786376953
2023-03-30,109.58000183105469
2023-03-31,110.0199966430664
2023-04-03,109.47000122070312
2023-04-04,107.4000015258789
2023-04-05,108.25
2023-04-06,107.73999786376953
2023-04-10,108.1500015258789
2023-04-11,107.37000274658203
2023-04-12,107.33000183105469
2023-04-13,107.1500015258789
2023-04-14,107.27999877929688
2023-04-17,108.94000244140625
2023-04-18,109.69000244140625
2023-04-19,109.7300033569336
2023-04-20,109.69999694824219
2023-04-21,107.62000274658203
2023-04-24,107.30999755859375
2023-04-25,106.22000122070312
2023-04-26,105.30999755859375
2023-04-27,107.30000305175781
2023-04-28,108.5199966430664
2023-05-01,109.01000213623047
2023-05-02,107.47000122070312
2023-05-03,106.22000122070312
2023-05-04,105.8499984741211
2023-05-05,108.29000091552734
2023-05-08,108.29000091552734
2023-05-09,108.66999816894531
2023-05-10,107.79000091552734
2023-05-11,107.83000183105469
2023-05-12,107.0999984741211
2023-05-15,107.58000183105469
2023-05-16,106.29000091552734
2023-05-17,107.93000030517578
2023-05-18,108.88999938964844
2023-05-19,108.27999877929688
2023-05-22,108.37999725341797
2023-05-23,107.44999694824219
2023-05-24,105.95999908447266
2023-05-25,105.44999694824219
2023-05-26,105.23999786376953
2023-05-30,105.13999938964844
