Date,AMP
2022-02-28,299.7900085449219
2022-03-01,279.07000732421875
2022-03-02,289.8999938964844
2022-03-03,290.3999938964844
2022-03-04,281.489990234375
2022-03-07,264.9200134277344
2022-03-08,261.3900146484375
2022-03-09,274.5199890136719
2022-03-10,272.5400085449219
2022-03-11,271.8699951171875
2022-03-14,273.6000061035156
2022-03-15,279.5899963378906
2022-03-16,294.4700012207031
2022-03-17,299.8999938964844
2022-03-18,300.82000732421875
2022-03-21,298.8500061035156
2022-03-22,307.4800109863281
2022-03-23,303.1600036621094
2022-03-24,311.7200012207031
2022-03-25,314.6300048828125
2022-03-28,311.1000061035156
2022-03-29,312.2200012207031
2022-03-30,310.6000061035156
2022-03-31,300.3599853515625
2022-04-01,297.4100036621094
2022-04-04,297.5299987792969
2022-04-05,298.5400085449219
2022-04-06,292.260009765625
2022-04-07,289.29998779296875
2022-04-08,293.0400085449219
2022-04-11,290.760009765625
2022-04-12,287.94000244140625
2022-04-13,292.739990234375
2022-04-14,290.7300109863281
2022-04-18,290.3999938964844
2022-04-19,297.6300048828125
2022-04-20,300.8399963378906
2022-04-21,291.7099914550781
2022-04-22,280.0799865722656
2022-04-25,280.9599914550781
2022-04-26,264.54998779296875
2022-04-27,266.2099914550781
2022-04-28,272.9100036621094
2022-04-29,265.489990234375
2022-05-02,268.80999755859375
2022-05-03,272.0899963378906
2022-05-04,283.5199890136719
2022-05-05,270.70001220703125
2022-05-06,266.6000061035156
2022-05-09,259.6400146484375
2022-05-10,259.3900146484375
2022-05-11,256.4100036621094
2022-05-12,250.97000122070312
2022-05-13,261.6099853515625
2022-05-16,260.55999755859375
2022-05-17,269.04998779296875
2022-05-18,259.9200134277344
2022-05-19,253.9199981689453
2022-05-20,256.010009765625
2022-05-23,263.0400085449219
2022-05-24,260.6300048828125
2022-05-25,265.25
2022-05-26,274.3299865722656
2022-05-27,278.489990234375
2022-05-31,276.2699890136719
2022-06-01,270.44000244140625
2022-06-02,275.6099853515625
2022-06-03,271.3500061035156
2022-06-06,274.2799987792969
2022-06-07,277.05999755859375
2022-06-08,272.1600036621094
2022-06-09,265.70001220703125
2022-06-10,251.5800018310547
2022-06-13,240.39999389648438
2022-06-14,243.07000732421875
2022-06-15,246.47999572753906
2022-06-16,235.60000610351562
2022-06-17,235.10000610351562
2022-06-21,242.60000610351562
2022-06-22,241.11000061035156
2022-06-23,239.55999755859375
2022-06-24,249.2899932861328
2022-06-27,247.22999572753906
2022-06-28,243.75999450683594
2022-06-29,240.0
2022-06-30,237.67999267578125
2022-07-01,237.97000122070312
2022-07-05,235.30999755859375
2022-07-06,233.57000732421875
2022-07-07,238.27000427246094
2022-07-08,236.52999877929688
2022-07-11,231.39999389648438
2022-07-12,231.64999389648438
2022-07-13,228.02999877929688
2022-07-14,223.1199951171875
2022-07-15,230.3300018310547
2022-07-18,230.17999267578125
2022-07-19,238.0800018310547
2022-07-20,242.02999877929688
2022-07-21,245.33999633789062
2022-07-22,245.05999755859375
2022-07-25,246.0399932861328
2022-07-26,241.5800018310547
2022-07-27,256.5199890136719
2022-07-28,262.5899963378906
2022-07-29,269.9200134277344
2022-08-01,266.55999755859375
2022-08-02,264.1099853515625
2022-08-03,270.05999755859375
2022-08-04,270.4800109863281
2022-08-05,269.05999755859375
2022-08-08,270.1700134277344
2022-08-09,271.3699951171875
2022-08-10,280.8999938964844
2022-08-11,283.32000732421875
2022-08-12,289.1700134277344
2022-08-15,286.3399963378906
2022-08-16,289.05999755859375
2022-08-17,288.1499938964844
2022-08-18,291.8299865722656
2022-08-19,284.739990234375
2022-08-22,276.989990234375
2022-08-23,277.3399963378906
2022-08-24,277.739990234375
2022-08-25,283.6499938964844
2022-08-26,274.8399963378906
2022-08-29,271.1400146484375
2022-08-30,268.4200134277344
2022-08-31,268.010009765625
2022-09-01,269.17999267578125
2022-09-02,268.4200134277344
2022-09-06,268.489990234375
2022-09-07,276.8599853515625
2022-09-08,282.3399963378906
2022-09-09,286.6099853515625
2022-09-12,289.239990234375
2022-09-13,277.7200012207031
2022-09-14,277.9599914550781
2022-09-15,277.3500061035156
2022-09-16,272.260009765625
2022-09-19,278.1400146484375
2022-09-20,275.1400146484375
2022-09-21,269.8699951171875
2022-09-22,264.4800109863281
2022-09-23,257.3599853515625
2022-09-26,253.16000366210938
2022-09-27,252.52000427246094
2022-09-28,259.42999267578125
2022-09-29,253.92999267578125
2022-09-30,251.9499969482422
2022-10-03,262.4100036621094
2022-10-04,277.69000244140625
2022-10-05,276.2799987792969
2022-10-06,275.0299987792969
2022-10-07,271.8599853515625
