Date,RMD
2022-02-28,246.75
2022-03-01,251.14999389648438
2022-03-02,249.6199951171875
2022-03-03,249.91000366210938
2022-03-04,254.60000610351562
2022-03-07,247.27999877929688
2022-03-08,238.85000610351562
2022-03-09,245.22999572753906
2022-03-10,242.6199951171875
2022-03-11,238.07000732421875
2022-03-14,236.5800018310547
2022-03-15,244.30999755859375
2022-03-16,255.36000061035156
2022-03-17,259.2200012207031
2022-03-18,261.4700012207031
2022-03-21,256.95001220703125
2022-03-22,255.0500030517578
2022-03-23,233.0
2022-03-24,241.3699951171875
2022-03-25,240.3300018310547
2022-03-28,242.47999572753906
2022-03-29,247.22000122070312
2022-03-30,249.00999450683594
2022-03-31,242.50999450683594
2022-04-01,246.44000244140625
2022-04-04,245.7100067138672
2022-04-05,245.47999572753906
2022-04-06,247.2899932861328
2022-04-07,252.0800018310547
2022-04-08,249.3300018310547
2022-04-11,242.14999389648438
2022-04-12,237.3699951171875
2022-04-13,236.60000610351562
2022-04-14,234.2100067138672
2022-04-18,231.99000549316406
2022-04-19,239.4199981689453
2022-04-20,245.0399932861328
2022-04-21,239.0
2022-04-22,227.41000366210938
2022-04-25,225.9499969482422
2022-04-26,216.66000366210938
2022-04-27,214.72000122070312
2022-04-28,213.50999450683594
2022-04-29,199.97000122070312
2022-05-02,199.77000427246094
2022-05-03,196.4199981689453
2022-05-04,205.24000549316406
2022-05-05,203.72999572753906
2022-05-06,202.0500030517578
2022-05-09,192.74000549316406
2022-05-10,195.22000122070312
2022-05-11,191.4600067138672
2022-05-12,192.30999755859375
2022-05-13,196.86000061035156
2022-05-16,196.91000366210938
2022-05-17,197.8300018310547
2022-05-18,191.41000366210938
2022-05-19,197.58999633789062
2022-05-20,197.66000366210938
2022-05-23,198.4600067138672
2022-05-24,195.52000427246094
2022-05-25,195.39999389648438
2022-05-26,202.05999755859375
2022-05-27,208.3000030517578
2022-05-31,203.4600067138672
2022-06-01,202.7100067138672
2022-06-02,211.25999450683594
2022-06-03,208.30999755859375
2022-06-06,210.85000610351562
2022-06-07,214.5
2022-06-08,212.27000427246094
2022-06-09,208.61000061035156
2022-06-10,208.50999450683594
2022-06-13,202.38999938964844
2022-06-14,202.00999450683594
2022-06-15,203.27999877929688
2022-06-16,196.22999572753906
2022-06-17,197.57000732421875
2022-06-21,201.50999450683594
2022-06-22,202.97000122070312
2022-06-23,207.49000549316406
2022-06-24,211.5
2022-06-27,212.6199951171875
2022-06-28,211.27000427246094
2022-06-29,212.91000366210938
2022-06-30,209.6300048828125
