Date,AES
2022-02-28,21.229999542236328
2022-03-01,20.670000076293945
2022-03-02,21.40999984741211
2022-03-03,21.459999084472656
2022-03-04,21.81999969482422
2022-03-07,21.8700008392334
2022-03-08,21.559999465942383
2022-03-09,21.959999084472656
2022-03-10,22.350000381469727
2022-03-11,22.200000762939453
2022-03-14,21.719999313354492
2022-03-15,22.34000015258789
2022-03-16,22.649999618530273
2022-03-17,23.40999984741211
2022-03-18,23.690000534057617
2022-03-21,23.479999542236328
2022-03-22,23.719999313354492
2022-03-23,23.399999618530273
2022-03-24,24.239999771118164
2022-03-25,24.3700008392334
2022-03-28,24.649999618530273
2022-03-29,25.450000762939453
2022-03-30,25.450000762939453
2022-03-31,25.729999542236328
2022-04-01,26.219999313354492
2022-04-04,26.15999984741211
2022-04-05,25.940000534057617
2022-04-06,25.479999542236328
2022-04-07,25.229999542236328
2022-04-08,24.829999923706055
2022-04-11,24.690000534057617
2022-04-12,24.450000762939453
2022-04-13,24.469999313354492
2022-04-14,24.40999984741211
2022-04-18,24.100000381469727
2022-04-19,24.420000076293945
2022-04-20,24.90999984741211
2022-04-21,23.010000228881836
2022-04-22,22.489999771118164
2022-04-25,22.079999923706055
2022-04-26,21.34000015258789
2022-04-27,21.100000381469727
2022-04-28,21.040000915527344
2022-04-29,20.420000076293945
2022-05-02,20.600000381469727
2022-05-03,20.719999313354492
2022-05-04,21.920000076293945
2022-05-05,21.329999923706055
2022-05-06,20.940000534057617
2022-05-09,20.059999465942383
2022-05-10,19.959999084472656
2022-05-11,19.959999084472656
2022-05-12,19.450000762939453
2022-05-13,20.239999771118164
2022-05-16,20.059999465942383
2022-05-17,20.760000228881836
2022-05-18,20.229999542236328
2022-05-19,20.670000076293945
2022-05-20,20.530000686645508
2022-05-23,21.1299991607666
2022-05-24,21.239999771118164
2022-05-25,21.43000030517578
2022-05-26,22.0
2022-05-27,22.43000030517578
2022-05-31,22.040000915527344
2022-06-01,21.8799991607666
2022-06-02,22.139999389648438
2022-06-03,22.270000457763672
2022-06-06,22.709999084472656
2022-06-07,22.690000534057617
2022-06-08,22.219999313354492
2022-06-09,21.549999237060547
2022-06-10,20.690000534057617
2022-06-13,19.360000610351562
2022-06-14,18.90999984741211
2022-06-15,19.549999237060547
2022-06-16,18.940000534057617
2022-06-17,19.25
2022-06-21,19.889999389648438
2022-06-22,20.25
2022-06-23,20.700000762939453
2022-06-24,21.420000076293945
2022-06-27,21.450000762939453
2022-06-28,21.190000534057617
2022-06-29,20.360000610351562
2022-06-30,21.010000228881836
2022-07-01,21.479999542236328
2022-07-05,21.18000030517578
2022-07-06,21.040000915527344
2022-07-07,21.40999984741211
2022-07-08,21.5
2022-07-11,21.299999237060547
2022-07-12,21.06999969482422
2022-07-13,20.90999984741211
2022-07-14,20.520000457763672
2022-07-15,20.350000381469727
2022-07-18,20.280000686645508
2022-07-19,20.6200008392334
2022-07-20,19.979999542236328
2022-07-21,19.90999984741211
2022-07-22,19.729999542236328
2022-07-25,20.0
2022-07-26,20.139999389648438
2022-07-27,20.350000381469727
2022-07-28,22.280000686645508
2022-07-29,22.219999313354492
2022-08-01,22.360000610351562
2022-08-02,22.229999542236328
2022-08-03,22.549999237060547
2022-08-04,23.0
2022-08-05,24.219999313354492
2022-08-08,23.8700008392334
2022-08-09,23.84000015258789
2022-08-10,24.43000030517578
2022-08-11,24.350000381469727
2022-08-12,24.889999389648438
2022-08-15,25.18000030517578
2022-08-16,25.059999465942383
2022-08-17,25.010000228881836
2022-08-18,26.020000457763672
2022-08-19,25.579999923706055
2022-08-22,24.969999313354492
2022-08-23,24.809999465942383
2022-08-24,25.56999969482422
2022-08-25,26.270000457763672
2022-08-26,25.6299991607666
2022-08-29,25.479999542236328
2022-08-30,25.440000534057617
2022-08-31,25.450000762939453
2022-09-01,25.850000381469727
2022-09-02,26.149999618530273
2022-09-06,26.049999237060547
2022-09-07,27.18000030517578
2022-09-08,27.3700008392334
2022-09-09,27.43000030517578
2022-09-12,27.59000015258789
2022-09-13,26.829999923706055
2022-09-14,27.030000686645508
2022-09-15,26.690000534057617
2022-09-16,25.920000076293945
2022-09-19,26.600000381469727
2022-09-20,25.889999389648438
2022-09-21,25.399999618530273
2022-09-22,25.030000686645508
2022-09-23,24.290000915527344
2022-09-26,22.959999084472656
2022-09-27,22.239999771118164
2022-09-28,23.030000686645508
2022-09-29,22.75
2022-09-30,22.600000381469727
2022-10-03,23.559999465942383
2022-10-04,25.270000457763672
2022-10-05,25.420000076293945
2022-10-06,25.399999618530273
2022-10-07,24.920000076293945
2022-10-10,24.889999389648438
2022-10-11,24.68000030517578
2022-10-12,24.1299991607666
2022-10-13,24.399999618530273
2022-10-14,23.309999465942383
2022-10-17,23.8799991607666
2022-10-18,24.399999618530273
2022-10-19,24.1299991607666
2022-10-20,23.479999542236328
2022-10-21,24.479999542236328
2022-10-24,24.600000381469727
2022-10-25,25.190000534057617
2022-10-26,25.450000762939453
2022-10-27,25.770000457763672
2022-10-28,26.459999084472656
2022-10-31,26.15999984741211
2022-11-01,26.34000015258789
2022-11-02,25.829999923706055
2022-11-03,26.190000534057617
2022-11-04,26.459999084472656
2022-11-07,26.780000686645508
2022-11-08,26.489999771118164
2022-11-09,26.25
2022-11-10,28.219999313354492
2022-11-11,28.079999923706055
2022-11-14,27.530000686645508
2022-11-15,27.780000686645508
2022-11-16,27.959999084472656
2022-11-17,27.469999313354492
2022-11-18,27.65999984741211
2022-11-21,28.06999969482422
2022-11-22,28.079999923706055
2022-11-23,28.479999542236328
