Date,GS
2022-02-28,341.2900085449219
2022-03-01,328.20001220703125
2022-03-02,336.3800048828125
2022-03-03,333.4200134277344
2022-03-04,329.6700134277344
2022-03-07,321.8900146484375
2022-03-08,321.3699951171875
2022-03-09,333.5899963378906
2022-03-10,329.8999938964844
2022-03-11,327.0
2022-03-14,324.9800109863281
2022-03-15,329.1600036621094
2022-03-16,340.760009765625
2022-03-17,343.2699890136719
2022-03-18,345.3800048828125
2022-03-21,339.0
2022-03-22,343.010009765625
2022-03-23,335.6099853515625
2022-03-24,336.2300109863281
2022-03-25,337.489990234375
2022-03-28,335.29998779296875
2022-03-29,339.6600036621094
2022-03-30,335.5899963378906
2022-03-31,330.1000061035156
2022-04-01,330.2200012207031
2022-04-04,328.2099914550781
2022-04-05,323.9599914550781
2022-04-06,316.260009765625
2022-04-07,314.1499938964844
2022-04-08,321.3900146484375
2022-04-11,320.760009765625
2022-04-12,319.7799987792969
2022-04-13,321.9700012207031
2022-04-14,321.6400146484375
2022-04-18,329.8800048828125
2022-04-19,335.95001220703125
2022-04-20,341.05999755859375
2022-04-21,334.29998779296875
2022-04-22,319.7699890136719
2022-04-25,321.4200134277344
2022-04-26,313.1199951171875
2022-04-27,313.2300109863281
2022-04-28,318.4100036621094
2022-04-29,305.489990234375
2022-05-02,310.4200134277344
2022-05-03,314.6600036621094
2022-05-04,324.1099853515625
2022-05-05,313.07000732421875
2022-05-06,312.9599914550781
2022-05-09,308.8900146484375
2022-05-10,305.05999755859375
2022-05-11,301.54998779296875
2022-05-12,299.4100036621094
2022-05-13,306.989990234375
2022-05-16,303.44000244140625
2022-05-17,312.9700012207031
2022-05-18,306.7300109863281
2022-05-19,308.20001220703125
2022-05-20,306.79998779296875
2022-05-23,316.6099853515625
2022-05-24,313.95001220703125
2022-05-25,314.8999938964844
2022-05-26,323.6300048828125
2022-05-27,328.5799865722656
2022-05-31,326.8500061035156
2022-06-01,321.8500061035156
2022-06-02,324.25
2022-06-03,318.67999267578125
2022-06-06,320.510009765625
2022-06-07,321.510009765625
2022-06-08,314.67999267578125
2022-06-09,304.2200012207031
2022-06-10,287.0199890136719
2022-06-13,283.32000732421875
2022-06-14,282.5400085449219
2022-06-15,290.07000732421875
2022-06-16,284.9800109863281
2022-06-17,279.7900085449219
2022-06-21,284.80999755859375
2022-06-22,284.5400085449219
2022-06-23,286.1700134277344
2022-06-24,302.75
2022-06-27,300.7799987792969
2022-06-28,299.489990234375
2022-06-29,303.2799987792969
2022-06-30,297.0199890136719
2022-07-01,299.2300109863281
2022-07-05,297.20001220703125
2022-07-06,293.760009765625
2022-07-07,298.6000061035156
2022-07-08,296.4700012207031
2022-07-11,293.17999267578125
2022-07-12,292.5299987792969
2022-07-13,290.1499938964844
2022-07-14,281.5899963378906
2022-07-15,293.8699951171875
2022-07-18,301.260009765625
2022-07-19,318.04998779296875
2022-07-20,321.45001220703125
2022-07-21,326.5400085449219
2022-07-22,323.92999267578125
2022-07-25,324.1199951171875
2022-07-26,318.54998779296875
2022-07-27,324.5400085449219
2022-07-28,329.1099853515625
2022-07-29,333.3900146484375
2022-08-01,332.0799865722656
2022-08-02,327.8800048828125
2022-08-03,333.1700134277344
2022-08-04,331.8699951171875
2022-08-05,334.6700134277344
2022-08-08,334.67999267578125
2022-08-09,336.6199951171875
2022-08-10,347.9100036621094
2022-08-11,351.67999267578125
2022-08-12,353.82000732421875
2022-08-15,355.8500061035156
2022-08-16,354.9700012207031
2022-08-17,353.739990234375
2022-08-18,354.5199890136719
2022-08-19,349.2699890136719
2022-08-22,342.4200134277344
2022-08-23,340.17999267578125
2022-08-24,341.94000244140625
2022-08-25,346.489990234375
2022-08-26,336.3999938964844
2022-08-29,333.9200134277344
2022-08-30,333.6300048828125
2022-08-31,332.6700134277344
2022-09-01,333.5
2022-09-02,331.4800109863281
2022-09-06,326.489990234375
2022-09-07,330.55999755859375
2022-09-08,335.3800048828125
2022-09-09,340.1000061035156
2022-09-12,342.5799865722656
2022-09-13,328.3900146484375
2022-09-14,327.260009765625
2022-09-15,331.6199951171875
2022-09-16,326.2099914550781
2022-09-19,328.6600036621094
2022-09-20,323.260009765625
2022-09-21,320.7099914550781
2022-09-22,312.9200134277344
2022-09-23,301.9700012207031
2022-09-26,294.6199951171875
2022-09-27,291.3800048828125
2022-09-28,300.7900085449219
2022-09-29,296.1099853515625
2022-09-30,293.04998779296875
2022-10-03,299.1499938964844
2022-10-04,314.8699951171875
2022-10-05,309.0
2022-10-06,304.6700134277344
2022-10-07,301.0799865722656
2022-10-10,300.5400085449219
2022-10-11,294.2099914550781
2022-10-12,295.30999755859375
2022-10-13,307.07000732421875
2022-10-14,299.989990234375
2022-10-17,306.7099914550781
2022-10-18,313.8500061035156
2022-10-19,311.760009765625
2022-10-20,310.80999755859375
2022-10-21,325.1000061035156
2022-10-24,328.70001220703125
2022-10-25,332.3999938964844
2022-10-26,335.69000244140625
2022-10-27,337.17999267578125
2022-10-28,341.82000732421875
2022-10-31,344.510009765625
2022-11-01,348.5799865722656
2022-11-02,349.7900085449219
2022-11-03,348.8699951171875
2022-11-04,357.9100036621094
2022-11-07,362.55999755859375
2022-11-08,364.0199890136719
2022-11-09,362.0
2022-11-10,378.30999755859375
2022-11-11,385.1700134277344
2022-11-14,382.3599853515625
2022-11-15,382.8800048828125
2022-11-16,382.3299865722656
2022-11-17,379.7799987792969
2022-11-18,379.20001220703125
2022-11-21,380.2099914550781
2022-11-22,383.8699951171875
2022-11-23,386.25
2022-11-25,388.8599853515625
2022-11-28,382.3599853515625
2022-11-29,383.7099914550781
2022-11-30,386.1499938964844
2022-12-01,383.80999755859375
2022-12-02,380.5799865722656
2022-12-05,371.5400085449219
2022-12-06,362.9100036621094
2022-12-07,359.9200134277344
2022-12-08,358.0799865722656
2022-12-09,359.1400146484375
2022-12-12,363.17999267578125
2022-12-13,368.69000244140625
2022-12-14,360.3800048828125
2022-12-15,349.8299865722656
2022-12-16,346.3500061035156
2022-12-19,344.6099853515625
2022-12-20,344.489990234375
2022-12-21,350.1600036621094
2022-12-22,345.5799865722656
2022-12-23,345.510009765625
2022-12-27,341.9700012207031
2022-12-28,340.8699951171875
2022-12-29,343.42999267578125
2022-12-30,343.3800048828125
2023-01-03,346.2200012207031
2023-01-04,347.70001220703125
2023-01-05,343.760009765625
2023-01-06,348.0799865722656
2023-01-09,353.0
2023-01-10,357.3599853515625
2023-01-11,364.4800109863281
2023-01-12,369.94000244140625
2023-01-13,374.0
2023-01-17,349.9200134277344
