Date,NRG
2022-02-28,37.84000015258789
2022-03-01,36.540000915527344
2022-03-02,37.72999954223633
2022-03-03,37.380001068115234
2022-03-04,37.560001373291016
2022-03-07,38.0099983215332
2022-03-08,37.439998626708984
2022-03-09,37.900001525878906
2022-03-10,37.650001525878906
2022-03-11,38.47999954223633
2022-03-14,38.689998626708984
2022-03-15,38.91999816894531
2022-03-16,39.20000076293945
2022-03-17,38.68000030517578
2022-03-18,37.90999984741211
2022-03-21,37.189998626708984
2022-03-22,37.56999969482422
2022-03-23,36.29999923706055
2022-03-24,36.45000076293945
2022-03-25,37.029998779296875
2022-03-28,37.61000061035156
2022-03-29,38.150001525878906
2022-03-30,38.02000045776367
2022-03-31,38.36000061035156
2022-04-01,38.400001525878906
2022-04-04,37.66999816894531
2022-04-05,37.619998931884766
2022-04-06,39.209999084472656
2022-04-07,39.040000915527344
2022-04-08,39.54999923706055
2022-04-11,38.540000915527344
2022-04-12,38.869998931884766
2022-04-13,38.77000045776367
2022-04-14,39.189998626708984
2022-04-18,39.83000183105469
2022-04-19,39.709999084472656
2022-04-20,41.27000045776367
2022-04-21,39.7400016784668
2022-04-22,37.90999984741211
2022-04-25,37.61000061035156
2022-04-26,37.27000045776367
2022-04-27,36.560001373291016
2022-04-28,37.150001525878906
2022-04-29,35.900001525878906
2022-05-02,36.84000015258789
2022-05-03,37.099998474121094
2022-05-04,38.25
2022-05-05,37.709999084472656
2022-05-06,41.400001525878906
2022-05-09,41.43000030517578
2022-05-10,41.689998626708984
2022-05-11,41.790000915527344
2022-05-12,41.38999938964844
2022-05-13,42.290000915527344
2022-05-16,44.06999969482422
2022-05-17,45.20000076293945
2022-05-18,45.7599983215332
2022-05-19,46.209999084472656
2022-05-20,45.720001220703125
2022-05-23,46.18000030517578
2022-05-24,45.810001373291016
2022-05-25,46.849998474121094
2022-05-26,46.709999084472656
2022-05-27,46.45000076293945
2022-05-31,46.040000915527344
2022-06-01,45.4900016784668
2022-06-02,45.91999816894531
2022-06-03,45.47999954223633
