Date,HIG
2022-02-28,69.4800033569336
2022-03-01,66.48999786376953
2022-03-02,69.18000030517578
2022-03-03,69.2699966430664
2022-03-04,67.47000122070312
2022-03-07,65.37999725341797
2022-03-08,65.91999816894531
2022-03-09,67.88999938964844
2022-03-10,66.86000061035156
2022-03-11,66.94999694824219
2022-03-14,67.5
2022-03-15,68.08999633789062
2022-03-16,69.73999786376953
2022-03-17,70.33999633789062
2022-03-18,70.8499984741211
2022-03-21,71.51000213623047
2022-03-22,71.77999877929688
2022-03-23,70.87999725341797
2022-03-24,71.63999938964844
2022-03-25,72.70999908447266
2022-03-28,72.4000015258789
2022-03-29,73.37999725341797
2022-03-30,73.5199966430664
2022-03-31,71.80999755859375
2022-04-01,72.54000091552734
2022-04-04,71.0199966430664
2022-04-05,71.47000122070312
2022-04-06,71.93000030517578
2022-04-07,72.44999694824219
2022-04-08,74.12999725341797
2022-04-11,74.12000274658203
2022-04-12,74.41000366210938
2022-04-13,75.3499984741211
2022-04-14,74.94999694824219
2022-04-18,75.05000305175781
2022-04-19,73.47000122070312
2022-04-20,74.6500015258789
2022-04-21,73.11000061035156
2022-04-22,71.51000213623047
2022-04-25,71.4000015258789
2022-04-26,69.94000244140625
2022-04-27,69.98999786376953
2022-04-28,71.2699966430664
2022-04-29,69.93000030517578
2022-05-02,70.0999984741211
2022-05-03,70.66999816894531
2022-05-04,73.26000213623047
2022-05-05,72.01000213623047
2022-05-06,72.11000061035156
2022-05-09,70.80000305175781
2022-05-10,70.0199966430664
2022-05-11,69.80000305175781
2022-05-12,69.0999984741211
2022-05-13,69.55000305175781
2022-05-16,69.26000213623047
2022-05-17,70.9800033569336
2022-05-18,68.76000213623047
2022-05-19,67.44000244140625
2022-05-20,66.79000091552734
2022-05-23,68.62999725341797
2022-05-24,68.94999694824219
2022-05-25,69.8499984741211
2022-05-26,70.69999694824219
2022-05-27,72.69999694824219
2022-05-31,72.51000213623047
2022-06-01,71.27999877929688
2022-06-02,71.94999694824219
2022-06-03,71.87999725341797
2022-06-06,72.7699966430664
2022-06-07,73.43000030517578
2022-06-08,71.79000091552734
2022-06-09,69.77999877929688
2022-06-10,68.27999877929688
2022-06-13,66.08999633789062
2022-06-14,66.5999984741211
2022-06-15,67.02999877929688
2022-06-16,64.37000274658203
2022-06-17,64.3499984741211
2022-06-21,65.06999969482422
2022-06-22,65.2300033569336
2022-06-23,62.810001373291016
2022-06-24,65.69000244140625
2022-06-27,65.7699966430664
2022-06-28,65.45999908447266
2022-06-29,64.93000030517578
2022-06-30,65.43000030517578
2022-07-01,66.23999786376953
2022-07-05,65.0199966430664
2022-07-06,65.38999938964844
2022-07-07,66.16000366210938
2022-07-08,65.66999816894531
2022-07-11,65.0999984741211
2022-07-12,64.93000030517578
2022-07-13,64.16000366210938
2022-07-14,61.63999938964844
2022-07-15,62.9900016784668
2022-07-18,61.90999984741211
2022-07-19,63.47999954223633
2022-07-20,63.290000915527344
2022-07-21,63.060001373291016
2022-07-22,63.779998779296875
2022-07-25,64.79000091552734
2022-07-26,64.36000061035156
2022-07-27,64.33999633789062
2022-07-28,62.849998474121094
2022-07-29,64.47000122070312
2022-08-01,63.43000030517578
2022-08-02,62.959999084472656
2022-08-03,63.45000076293945
2022-08-04,63.130001068115234
2022-08-05,64.16000366210938
2022-08-08,64.5999984741211
2022-08-09,65.76000213623047
2022-08-10,66.81999969482422
2022-08-11,67.66000366210938
2022-08-12,68.95999908447266
2022-08-15,68.87999725341797
2022-08-16,69.69000244140625
2022-08-17,69.37999725341797
2022-08-18,69.80000305175781
2022-08-19,68.80999755859375
2022-08-22,67.25
2022-08-23,67.16999816894531
2022-08-24,67.04000091552734
2022-08-25,67.68000030517578
2022-08-26,66.19999694824219
2022-08-29,65.7300033569336
2022-08-30,65.05000305175781
2022-08-31,64.30999755859375
2022-09-01,65.16000366210938
2022-09-02,64.98999786376953
2022-09-06,65.0
2022-09-07,65.75
2022-09-08,66.37000274658203
2022-09-09,67.0199966430664
2022-09-12,67.80000305175781
2022-09-13,66.31999969482422
2022-09-14,65.66000366210938
2022-09-15,65.69999694824219
2022-09-16,65.3499984741211
2022-09-19,65.81999969482422
2022-09-20,64.95999908447266
2022-09-21,63.06999969482422
2022-09-22,62.38999938964844
2022-09-23,61.91999816894531
2022-09-26,60.630001068115234
2022-09-27,61.970001220703125
2022-09-28,63.060001373291016
2022-09-29,62.650001525878906
2022-09-30,61.939998626708984
2022-10-03,63.56999969482422
2022-10-04,65.95999908447266
2022-10-05,65.76000213623047
2022-10-06,64.83999633789062
2022-10-07,64.04000091552734
2022-10-10,63.79999923706055
2022-10-11,64.22000122070312
2022-10-12,63.66999816894531
2022-10-13,66.5199966430664
2022-10-14,64.75
2022-10-17,66.0199966430664
2022-10-18,66.80000305175781
2022-10-19,68.0
2022-10-20,65.61000061035156
2022-10-21,67.19000244140625
2022-10-24,69.33000183105469
2022-10-25,69.48999786376953
2022-10-26,69.25
2022-10-27,70.25
2022-10-28,72.16000366210938
2022-10-31,72.41000366210938
2022-11-01,73.73999786376953
2022-11-02,72.37000274658203
2022-11-03,72.81999969482422
2022-11-04,73.79000091552734
2022-11-07,73.97000122070312
2022-11-08,73.5
2022-11-09,71.91000366210938
2022-11-10,74.30000305175781
2022-11-11,73.62999725341797
2022-11-14,72.30999755859375
2022-11-15,72.87999725341797
2022-11-16,72.88999938964844
2022-11-17,73.08000183105469
2022-11-18,73.69000244140625
2022-11-21,73.62999725341797
2022-11-22,74.75
2022-11-23,75.52999877929688
