Date,PAYX
2022-02-28,119.05999755859375
2022-03-01,117.55000305175781
2022-03-02,120.37999725341797
2022-03-03,120.41999816894531
2022-03-04,123.58000183105469
2022-03-07,122.41000366210938
2022-03-08,118.43000030517578
2022-03-09,122.30000305175781
2022-03-10,122.19000244140625
2022-03-11,120.58999633789062
2022-03-14,119.88999938964844
2022-03-15,121.81999969482422
2022-03-16,124.55000305175781
2022-03-17,125.62000274658203
2022-03-18,128.1300048828125
2022-03-21,126.66000366210938
2022-03-22,127.44999694824219
2022-03-23,125.37999725341797
2022-03-24,127.73999786376953
2022-03-25,128.7100067138672
2022-03-28,129.8699951171875
2022-03-29,132.52999877929688
2022-03-30,136.88999938964844
2022-03-31,136.47000122070312
2022-04-01,138.8699951171875
2022-04-04,139.30999755859375
2022-04-05,139.25
2022-04-06,141.22999572753906
2022-04-07,139.83999633789062
2022-04-08,139.2899932861328
2022-04-11,136.83999633789062
2022-04-12,136.58999633789062
2022-04-13,137.88999938964844
2022-04-14,136.69000244140625
2022-04-18,135.75
2022-04-19,137.4600067138672
2022-04-20,139.6300048828125
2022-04-21,138.32000732421875
2022-04-22,131.35000610351562
2022-04-25,132.25
2022-04-26,129.50999450683594
2022-04-27,130.69000244140625
2022-04-28,132.39999389648438
2022-04-29,126.7300033569336
2022-05-02,127.6500015258789
2022-05-03,128.5500030517578
2022-05-04,132.47000122070312
2022-05-05,124.58999633789062
2022-05-06,124.16000366210938
2022-05-09,120.2699966430664
2022-05-10,120.12999725341797
2022-05-11,118.22000122070312
2022-05-12,117.93000030517578
2022-05-13,119.69000244140625
2022-05-16,120.05999755859375
2022-05-17,121.62000274658203
2022-05-18,117.44000244140625
2022-05-19,115.83999633789062
2022-05-20,117.33000183105469
2022-05-23,118.20999908447266
2022-05-24,117.83999633789062
2022-05-25,117.98999786376953
2022-05-26,121.19999694824219
2022-05-27,124.08000183105469
2022-05-31,123.83000183105469
2022-06-01,122.26000213623047
2022-06-02,125.94999694824219
2022-06-03,125.80999755859375
2022-06-06,125.93000030517578
2022-06-07,126.75
2022-06-08,125.5999984741211
2022-06-09,122.5999984741211
2022-06-10,120.62999725341797
2022-06-13,117.20999908447266
2022-06-14,117.47000122070312
2022-06-15,117.94999694824219
2022-06-16,113.80999755859375
2022-06-17,113.0
2022-06-21,116.27999877929688
2022-06-22,115.62999725341797
2022-06-23,117.30999755859375
2022-06-24,122.43000030517578
2022-06-27,122.66000366210938
2022-06-28,119.87999725341797
2022-06-29,114.8499984741211
2022-06-30,113.87000274658203
2022-07-01,116.36000061035156
2022-07-05,115.56999969482422
2022-07-06,116.97000122070312
2022-07-07,116.5199966430664
2022-07-08,116.80000305175781
2022-07-11,116.22000122070312
2022-07-12,114.8499984741211
2022-07-13,113.33999633789062
2022-07-14,113.13999938964844
2022-07-15,115.0
2022-07-18,114.58999633789062
2022-07-19,119.16999816894531
2022-07-20,120.30000305175781
2022-07-21,122.05000305175781
2022-07-22,122.44000244140625
2022-07-25,121.5199966430664
2022-07-26,121.2300033569336
2022-07-27,125.41000366210938
2022-07-28,128.27000427246094
2022-07-29,128.27999877929688
