Date,KHC
2022-02-28,39.220001220703125
2022-03-01,38.68000030517578
2022-03-02,39.06999969482422
2022-03-03,39.95000076293945
2022-03-04,39.84000015258789
2022-03-07,40.150001525878906
2022-03-08,38.65999984741211
2022-03-09,38.18000030517578
2022-03-10,37.540000915527344
2022-03-11,37.36000061035156
2022-03-14,37.689998626708984
2022-03-15,37.81999969482422
2022-03-16,37.68000030517578
2022-03-17,37.75
2022-03-18,37.619998931884766
2022-03-21,37.619998931884766
2022-03-22,37.95000076293945
2022-03-23,38.279998779296875
2022-03-24,38.630001068115234
2022-03-25,39.290000915527344
2022-03-28,39.38999938964844
2022-03-29,39.369998931884766
2022-03-30,39.400001525878906
2022-03-31,39.38999938964844
2022-04-01,39.93000030517578
2022-04-04,39.88999938964844
2022-04-05,39.59000015258789
2022-04-06,40.040000915527344
2022-04-07,40.310001373291016
2022-04-08,40.939998626708984
2022-04-11,41.25
2022-04-12,41.119998931884766
2022-04-13,42.0
2022-04-14,42.290000915527344
2022-04-18,42.15999984741211
2022-04-19,42.61000061035156
2022-04-20,43.349998474121094
2022-04-21,44.0
2022-04-22,43.18000030517578
2022-04-25,43.040000915527344
2022-04-26,42.310001373291016
2022-04-27,42.880001068115234
2022-04-28,43.61000061035156
2022-04-29,42.630001068115234
2022-05-02,41.97999954223633
2022-05-03,42.380001068115234
2022-05-04,43.31999969482422
2022-05-05,43.13999938964844
2022-05-06,43.59000015258789
2022-05-09,44.189998626708984
2022-05-10,43.459999084472656
2022-05-11,43.5
2022-05-12,43.04999923706055
2022-05-13,44.290000915527344
2022-05-16,44.08000183105469
2022-05-17,43.15999984741211
2022-05-18,39.040000915527344
2022-05-19,38.560001373291016
2022-05-20,38.369998931884766
2022-05-23,38.9900016784668
2022-05-24,39.61000061035156
2022-05-25,39.880001068115234
2022-05-26,37.06999969482422
2022-05-27,37.83000183105469
2022-05-31,37.83000183105469
2022-06-01,37.25
2022-06-02,36.38999938964844
2022-06-03,36.29999923706055
2022-06-06,36.689998626708984
2022-06-07,37.08000183105469
2022-06-08,37.400001525878906
2022-06-09,37.27000045776367
2022-06-10,37.45000076293945
2022-06-13,36.040000915527344
2022-06-14,36.13999938964844
2022-06-15,36.18000030517578
2022-06-16,36.029998779296875
