Date,JBL
2022-02-28,57.810001373291016
2022-03-01,55.18000030517578
2022-03-02,57.790000915527344
2022-03-03,57.029998779296875
2022-03-04,54.790000915527344
2022-03-07,52.599998474121094
2022-03-08,53.220001220703125
2022-03-09,55.65999984741211
2022-03-10,55.52000045776367
2022-03-11,55.63999938964844
2022-03-14,54.16999816894531
2022-03-15,55.810001373291016
2022-03-16,61.209999084472656
2022-03-17,62.11000061035156
2022-03-18,62.689998626708984
2022-03-21,62.43000030517578
2022-03-22,61.7400016784668
2022-03-23,61.04999923706055
2022-03-24,62.11000061035156
2022-03-25,62.45000076293945
2022-03-28,61.16999816894531
2022-03-29,61.869998931884766
2022-03-30,60.4900016784668
2022-03-31,61.72999954223633
2022-04-01,61.79999923706055
2022-04-04,61.93000030517578
2022-04-05,59.880001068115234
2022-04-06,57.459999084472656
2022-04-07,57.459999084472656
2022-04-08,57.52000045776367
2022-04-11,56.810001373291016
2022-04-12,57.310001373291016
2022-04-13,58.25
2022-04-14,56.95000076293945
2022-04-18,57.540000915527344
2022-04-19,58.66999816894531
2022-04-20,59.599998474121094
2022-04-21,59.15999984741211
2022-04-22,57.459999084472656
2022-04-25,58.310001373291016
2022-04-26,56.63999938964844
2022-04-27,57.0099983215332
2022-04-28,59.38999938964844
2022-04-29,57.72999954223633
2022-05-02,58.09000015258789
2022-05-03,58.90999984741211
2022-05-04,60.38999938964844
2022-05-05,58.40999984741211
2022-05-06,58.09000015258789
2022-05-09,56.540000915527344
2022-05-10,57.81999969482422
2022-05-11,56.380001068115234
2022-05-12,56.279998779296875
2022-05-13,58.16999816894531
2022-05-16,57.81999969482422
2022-05-17,61.11000061035156
2022-05-18,58.38999938964844
2022-05-19,57.56999969482422
2022-05-20,57.45000076293945
2022-05-23,58.029998779296875
2022-05-24,56.630001068115234
2022-05-25,57.790000915527344
2022-05-26,59.7599983215332
2022-05-27,61.97999954223633
2022-05-31,61.52000045776367
2022-06-01,60.630001068115234
2022-06-02,62.189998626708984
2022-06-03,61.45000076293945
2022-06-06,62.2400016784668
2022-06-07,62.77000045776367
2022-06-08,61.70000076293945
2022-06-09,60.970001220703125
2022-06-10,59.36000061035156
2022-06-13,56.130001068115234
2022-06-14,57.25
2022-06-15,58.810001373291016
2022-06-16,53.02000045776367
2022-06-17,53.61000061035156
2022-06-21,54.43000030517578
2022-06-22,53.560001373291016
2022-06-23,52.88999938964844
2022-06-24,54.68000030517578
2022-06-27,55.150001525878906
2022-06-28,53.040000915527344
2022-06-29,51.9900016784668
2022-06-30,51.209999084472656
2022-07-01,51.09000015258789
2022-07-05,50.52000045776367
2022-07-06,50.779998779296875
2022-07-07,51.9900016784668
2022-07-08,52.060001373291016
2022-07-11,51.709999084472656
2022-07-12,51.72999954223633
2022-07-13,52.33000183105469
2022-07-14,51.939998626708984
2022-07-15,53.27000045776367
2022-07-18,52.77000045776367
2022-07-19,54.91999816894531
2022-07-20,56.11000061035156
2022-07-21,56.599998474121094
2022-07-22,54.81999969482422
2022-07-25,54.79999923706055
2022-07-26,54.66999816894531
2022-07-27,56.5099983215332
2022-07-28,58.150001525878906
2022-07-29,59.34000015258789
2022-08-01,59.2400016784668
2022-08-02,59.060001373291016
2022-08-03,60.41999816894531
2022-08-04,60.91999816894531
2022-08-05,61.119998931884766
2022-08-08,60.56999969482422
2022-08-09,58.869998931884766
2022-08-10,61.06999969482422
2022-08-11,61.72999954223633
2022-08-12,62.380001068115234
2022-08-15,62.189998626708984
2022-08-16,62.88999938964844
2022-08-17,63.08000183105469
2022-08-18,65.3499984741211
2022-08-19,63.18000030517578
2022-08-22,61.650001525878906
2022-08-23,62.060001373291016
2022-08-24,62.11000061035156
2022-08-25,64.16000366210938
2022-08-26,62.13999938964844
2022-08-29,61.95000076293945
2022-08-30,60.97999954223633
2022-08-31,60.29999923706055
2022-09-01,58.290000915527344
2022-09-02,57.810001373291016
2022-09-06,57.16999816894531
2022-09-07,58.060001373291016
2022-09-08,58.9900016784668
2022-09-09,60.72999954223633
2022-09-12,61.459999084472656
2022-09-13,59.099998474121094
2022-09-14,59.06999969482422
2022-09-15,59.029998779296875
2022-09-16,58.400001525878906
2022-09-19,59.59000015258789
2022-09-20,59.0
2022-09-21,58.900001525878906
2022-09-22,57.560001373291016
2022-09-23,56.2400016784668
2022-09-26,56.15999984741211
2022-09-27,57.41999816894531
2022-09-28,60.119998931884766
2022-09-29,59.119998931884766
2022-09-30,57.709999084472656
2022-10-03,58.779998779296875
2022-10-04,61.2400016784668
2022-10-05,62.33000183105469
2022-10-06,61.68000030517578
2022-10-07,60.20000076293945
2022-10-10,59.33000183105469
2022-10-11,57.86000061035156
2022-10-12,57.119998931884766
2022-10-13,59.22999954223633
2022-10-14,58.91999816894531
2022-10-17,60.75
2022-10-18,60.79999923706055
2022-10-19,59.779998779296875
2022-10-20,59.709999084472656
2022-10-21,62.540000915527344
2022-10-24,62.880001068115234
2022-10-25,64.70999908447266
2022-10-26,64.13999938964844
2022-10-27,63.97999954223633
2022-10-28,65.3499984741211
2022-10-31,64.25
2022-11-01,66.05000305175781
2022-11-02,63.66999816894531
2022-11-03,63.040000915527344
2022-11-04,63.97999954223633
2022-11-07,62.720001220703125
2022-11-08,63.54999923706055
2022-11-09,62.40999984741211
2022-11-10,64.38999938964844
2022-11-11,66.12000274658203
2022-11-14,66.5
2022-11-15,67.30999755859375
2022-11-16,66.66999816894531
2022-11-17,67.58999633789062
2022-11-18,69.37000274658203
2022-11-21,69.22000122070312
2022-11-22,70.7699966430664
