Date,L
2022-02-28,61.34000015258789
2022-03-01,59.709999084472656
2022-03-02,61.4900016784668
2022-03-03,61.540000915527344
2022-03-04,60.880001068115234
2022-03-07,59.68000030517578
2022-03-08,60.060001373291016
2022-03-09,61.029998779296875
2022-03-10,60.900001525878906
2022-03-11,60.880001068115234
2022-03-14,61.66999816894531
2022-03-15,62.66999816894531
2022-03-16,63.310001373291016
2022-03-17,63.79999923706055
2022-03-18,63.2599983215332
2022-03-21,63.9900016784668
2022-03-22,64.52999877929688
2022-03-23,63.900001525878906
2022-03-24,64.61000061035156
2022-03-25,65.5
2022-03-28,65.33999633789062
2022-03-29,65.62000274658203
2022-03-30,65.52999877929688
2022-03-31,64.81999969482422
2022-04-01,65.26000213623047
2022-04-04,63.86000061035156
2022-04-05,63.29999923706055
2022-04-06,63.36000061035156
2022-04-07,63.560001373291016
2022-04-08,64.43000030517578
2022-04-11,64.66000366210938
2022-04-12,64.51000213623047
2022-04-13,64.76000213623047
2022-04-14,65.1500015258789
2022-04-18,65.5
2022-04-19,65.68000030517578
2022-04-20,67.36000061035156
2022-04-21,66.66000366210938
2022-04-22,64.70999908447266
2022-04-25,64.68000030517578
2022-04-26,63.439998626708984
2022-04-27,64.11000061035156
2022-04-28,64.58000183105469
2022-04-29,62.84000015258789
2022-05-02,61.56999969482422
2022-05-03,62.790000915527344
2022-05-04,64.8499984741211
2022-05-05,63.7599983215332
2022-05-06,64.44000244140625
2022-05-09,63.08000183105469
2022-05-10,62.72999954223633
2022-05-11,62.380001068115234
2022-05-12,61.939998626708984
2022-05-13,63.150001525878906
2022-05-16,63.099998474121094
2022-05-17,64.80000305175781
2022-05-18,63.459999084472656
2022-05-19,62.939998626708984
2022-05-20,62.790000915527344
2022-05-23,64.0999984741211
2022-05-24,63.93000030517578
2022-05-25,64.19999694824219
2022-05-26,64.77999877929688
2022-05-27,65.93000030517578
2022-05-31,65.48999786376953
2022-06-01,64.75
2022-06-02,65.37000274658203
2022-06-03,64.73999786376953
2022-06-06,64.48999786376953
2022-06-07,64.8499984741211
2022-06-08,63.40999984741211
2022-06-09,61.56999969482422
2022-06-10,60.34000015258789
2022-06-13,58.310001373291016
2022-06-14,58.540000915527344
2022-06-15,58.90999984741211
2022-06-16,56.900001525878906
2022-06-17,57.540000915527344
2022-06-21,58.4900016784668
2022-06-22,58.40999984741211
2022-06-23,58.02000045776367
2022-06-24,59.77000045776367
2022-06-27,59.790000915527344
2022-06-28,59.529998779296875
2022-06-29,59.040000915527344
2022-06-30,59.2599983215332
2022-07-01,60.150001525878906
2022-07-05,58.47999954223633
2022-07-06,58.529998779296875
2022-07-07,58.630001068115234
2022-07-08,57.93000030517578
2022-07-11,57.95000076293945
2022-07-12,57.72999954223633
2022-07-13,57.279998779296875
2022-07-14,55.61000061035156
2022-07-15,56.45000076293945
2022-07-18,56.2400016784668
2022-07-19,57.72999954223633
2022-07-20,57.70000076293945
2022-07-21,57.400001525878906
2022-07-22,57.04999923706055
2022-07-25,57.81999969482422
2022-07-26,57.869998931884766
2022-07-27,58.0099983215332
2022-07-28,57.7400016784668
2022-07-29,58.25
2022-08-01,55.650001525878906
2022-08-02,55.34000015258789
2022-08-03,55.34000015258789
2022-08-04,54.380001068115234
2022-08-05,55.119998931884766
2022-08-08,55.369998931884766
2022-08-09,56.060001373291016
2022-08-10,56.9900016784668
2022-08-11,57.5099983215332
2022-08-12,58.709999084472656
2022-08-15,58.47999954223633
2022-08-16,58.79999923706055
2022-08-17,58.470001220703125
2022-08-18,58.95000076293945
2022-08-19,58.2400016784668
2022-08-22,56.959999084472656
2022-08-23,57.0
2022-08-24,57.189998626708984
2022-08-25,57.95000076293945
2022-08-26,56.79999923706055
2022-08-29,56.47999954223633
2022-08-30,55.7400016784668
2022-08-31,55.310001373291016
2022-09-01,55.5099983215332
2022-09-02,55.43000030517578
2022-09-06,55.33000183105469
2022-09-07,56.22999954223633
2022-09-08,56.66999816894531
2022-09-09,56.86000061035156
2022-09-12,57.45000076293945
2022-09-13,55.849998474121094
2022-09-14,55.369998931884766
2022-09-15,55.41999816894531
2022-09-16,53.959999084472656
2022-09-19,55.11000061035156
2022-09-20,53.79999923706055
2022-09-21,52.880001068115234
2022-09-22,51.81999969482422
2022-09-23,51.0
2022-09-26,49.66999816894531
2022-09-27,50.119998931884766
2022-09-28,50.91999816894531
2022-09-29,50.77000045776367
2022-09-30,49.84000015258789
2022-10-03,51.52000045776367
2022-10-04,53.189998626708984
2022-10-05,52.79999923706055
2022-10-06,52.150001525878906
2022-10-07,51.349998474121094
2022-10-10,51.43000030517578
2022-10-11,51.91999816894531
2022-10-12,51.47999954223633
2022-10-13,53.65999984741211
2022-10-14,53.0
2022-10-17,53.599998474121094
2022-10-18,54.61000061035156
2022-10-19,54.540000915527344
2022-10-20,53.63999938964844
2022-10-21,55.5
2022-10-24,55.849998474121094
2022-10-25,55.7599983215332
2022-10-26,55.970001220703125
2022-10-27,56.36000061035156
2022-10-28,57.9900016784668
2022-10-31,57.02000045776367
2022-11-01,56.4900016784668
2022-11-02,55.5099983215332
2022-11-03,55.220001220703125
2022-11-04,55.470001220703125
2022-11-07,55.599998474121094
2022-11-08,55.650001525878906
2022-11-09,54.459999084472656
2022-11-10,56.59000015258789
2022-11-11,55.970001220703125
2022-11-14,55.4900016784668
2022-11-15,55.58000183105469
2022-11-16,55.630001068115234
2022-11-17,56.029998779296875
2022-11-18,56.619998931884766
2022-11-21,56.810001373291016
2022-11-22,57.099998474121094
2022-11-23,57.310001373291016
