Date,PSA
2022-02-28,355.0199890136719
2022-03-01,358.9800109863281
2022-03-02,365.2900085449219
2022-03-03,372.9599914550781
2022-03-04,377.3599853515625
2022-03-07,376.1499938964844
2022-03-08,367.20001220703125
2022-03-09,369.6300048828125
2022-03-10,369.6700134277344
2022-03-11,365.989990234375
2022-03-14,360.07000732421875
2022-03-15,355.1400146484375
2022-03-16,357.7200012207031
2022-03-17,365.7799987792969
2022-03-18,365.7099914550781
2022-03-21,367.55999755859375
2022-03-22,370.3800048828125
2022-03-23,368.04998779296875
2022-03-24,373.1199951171875
2022-03-25,376.0
2022-03-28,383.3599853515625
2022-03-29,396.4700012207031
2022-03-30,396.1600036621094
2022-03-31,390.2799987792969
2022-04-01,396.510009765625
2022-04-04,394.1000061035156
2022-04-05,395.7200012207031
2022-04-06,408.5799865722656
2022-04-07,409.20001220703125
2022-04-08,408.95001220703125
2022-04-11,401.79998779296875
2022-04-12,406.7699890136719
2022-04-13,405.6499938964844
2022-04-14,408.5
2022-04-18,409.6099853515625
2022-04-19,413.1700134277344
2022-04-20,419.8999938964844
2022-04-21,412.57000732421875
2022-04-22,402.3599853515625
2022-04-25,399.0
2022-04-26,394.20001220703125
2022-04-27,391.3800048828125
2022-04-28,398.9700012207031
2022-04-29,371.5
2022-05-02,360.04998779296875
2022-05-03,357.010009765625
2022-05-04,355.1700134277344
2022-05-05,349.2699890136719
2022-05-06,336.8800048828125
2022-05-09,313.69000244140625
2022-05-10,312.3699951171875
2022-05-11,312.7900085449219
2022-05-12,314.1400146484375
2022-05-13,318.5299987792969
2022-05-16,319.1700134277344
2022-05-17,316.4599914550781
2022-05-18,306.8999938964844
2022-05-19,309.7699890136719
2022-05-20,312.9100036621094
2022-05-23,320.1000061035156
2022-05-24,325.989990234375
2022-05-25,324.8699951171875
2022-05-26,325.8999938964844
2022-05-27,335.7699890136719
2022-05-31,330.6400146484375
2022-06-01,330.6199951171875
2022-06-02,332.9200134277344
2022-06-03,330.7200012207031
2022-06-06,322.510009765625
