Date,AEP
2022-02-28,90.6500015258789
2022-03-01,90.20999908447266
2022-03-02,91.23999786376953
2022-03-03,93.9800033569336
2022-03-04,96.33000183105469
2022-03-07,97.26000213623047
2022-03-08,95.25
2022-03-09,95.01000213623047
2022-03-10,95.98999786376953
2022-03-11,95.54000091552734
2022-03-14,94.73999786376953
2022-03-15,96.11000061035156
2022-03-16,95.06999969482422
2022-03-17,94.94000244140625
2022-03-18,94.06999969482422
2022-03-21,94.69000244140625
2022-03-22,95.25
2022-03-23,96.01000213623047
2022-03-24,96.44000244140625
2022-03-25,96.83999633789062
2022-03-28,97.61000061035156
2022-03-29,98.69000244140625
2022-03-30,99.41999816894531
2022-03-31,99.7699966430664
2022-04-01,101.51000213623047
2022-04-04,100.6500015258789
2022-04-05,101.30999755859375
2022-04-06,104.48999786376953
2022-04-07,103.37000274658203
2022-04-08,102.98999786376953
2022-04-11,101.4000015258789
2022-04-12,102.30999755859375
2022-04-13,102.25
2022-04-14,102.04000091552734
2022-04-18,101.66000366210938
2022-04-19,102.43000030517578
2022-04-20,102.83000183105469
2022-04-21,102.12000274658203
2022-04-22,100.25
2022-04-25,100.5
2022-04-26,99.23999786376953
2022-04-27,99.52999877929688
2022-04-28,102.43000030517578
2022-04-29,99.11000061035156
2022-05-02,98.12999725341797
2022-05-03,98.58000183105469
2022-05-04,100.72000122070312
2022-05-05,99.66000366210938
2022-05-06,99.6500015258789
2022-05-09,99.69000244140625
2022-05-10,99.08000183105469
2022-05-11,99.77999877929688
2022-05-12,98.52999877929688
2022-05-13,99.69000244140625
2022-05-16,99.38999938964844
2022-05-17,100.4000015258789
2022-05-18,99.87999725341797
2022-05-19,99.04000091552734
2022-05-20,99.69999694824219
2022-05-23,100.2699966430664
2022-05-24,102.22000122070312
2022-05-25,102.4800033569336
2022-05-26,102.58000183105469
2022-05-27,103.56999969482422
2022-05-31,102.02999877929688
2022-06-01,102.04000091552734
2022-06-02,102.25
2022-06-03,101.94999694824219
2022-06-06,102.05999755859375
2022-06-07,102.43000030517578
2022-06-08,100.52999877929688
2022-06-09,98.26000213623047
2022-06-10,98.26000213623047
2022-06-13,93.01000213623047
2022-06-14,90.44000244140625
2022-06-15,90.6500015258789
2022-06-16,89.19000244140625
2022-06-17,88.41000366210938
2022-06-21,89.94999694824219
2022-06-22,90.30999755859375
2022-06-23,92.41000366210938
2022-06-24,93.5999984741211
2022-06-27,94.9800033569336
2022-06-28,95.08000183105469
2022-06-29,95.37000274658203
2022-06-30,95.94000244140625
2022-07-01,97.94999694824219
2022-07-05,93.58000183105469
2022-07-06,94.80000305175781
2022-07-07,94.5199966430664
2022-07-08,94.33999633789062
2022-07-11,95.01000213623047
2022-07-12,94.37000274658203
2022-07-13,93.9000015258789
2022-07-14,94.2699966430664
2022-07-15,95.22000122070312
2022-07-18,93.37000274658203
